-- Logs begin at Tue 2019-12-17 22:38:51 UTC, end at Thu 2019-12-19 09:13:15 UTC. --
Dec 19 08:52:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:52:32.406590 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000637-0000000002f4f6f8.wal is created
Dec 19 08:57:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:13.953992 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28555" took too long (107.375394ms) to execute
Dec 19 08:57:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:34.681564 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (406.734236ms) to execute
Dec 19 08:57:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:41.323974 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (285.110582ms) to execute
Dec 19 08:57:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:41.324385 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (501.731162ms) to execute
Dec 19 08:57:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:41.324507 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wmksv\" " with result "range_response_count:1 size:1855" took too long (191.648985ms) to execute
Dec 19 08:57:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:41.324815 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (309.397294ms) to execute
Dec 19 08:57:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:52.911176 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (162.28158ms) to execute
Dec 19 08:57:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:59.292709 W | wal: sync duration of 1.9520152s, expected less than 1s
Dec 19 08:57:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:59.298739 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.888063207s) to execute
Dec 19 08:57:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:59.299150 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rq4ch\" " with result "range_response_count:1 size:1850" took too long (969.008015ms) to execute
Dec 19 08:57:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:59.299724 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (201.977516ms) to execute
Dec 19 08:57:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:57:59.299965 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (362.665505ms) to execute
Dec 19 08:58:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:58:10.131643 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (485.989315ms) to execute
Dec 19 08:58:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:58:10.162078 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rq4jm.15e1b9ef2dcdaba8\" " with result "range_response_count:1 size:591" took too long (284.754336ms) to execute
Dec 19 08:58:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:58:29.711780 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rq4ch\" " with result "range_response_count:1 size:1730" took too long (385.314139ms) to execute
Dec 19 08:58:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:58:30.231898 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (792.297073ms) to execute
Dec 19 08:58:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:58:30.232238 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (789.248718ms) to execute
Dec 19 08:58:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:58:34.373299 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (108.18083ms) to execute
Dec 19 08:58:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:58:34.388439 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (122.597072ms) to execute
Dec 19 08:58:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:58:34.388583 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (114.30672ms) to execute
Dec 19 08:59:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:00.845846 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (320.168126ms) to execute
Dec 19 08:59:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:00.880579 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (314.950889ms) to execute
Dec 19 08:59:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:00.880645 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (110.985086ms) to execute
Dec 19 08:59:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:03.887731 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (239.522447ms) to execute
Dec 19 08:59:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:03.887879 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (484.509921ms) to execute
Dec 19 08:59:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:04.436167 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (531.969785ms) to execute
Dec 19 08:59:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:04.441614 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (166.156501ms) to execute
Dec 19 08:59:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:10.679308 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (605.285955ms) to execute
Dec 19 08:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:24.037437 W | wal: sync duration of 1.045593919s, expected less than 1s
Dec 19 08:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:24.037978 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.045694226s) to execute
Dec 19 08:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:24.047883 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bbwsg\" " with result "range_response_count:1 size:1855" took too long (222.254559ms) to execute
Dec 19 08:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:24.048195 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (827.81465ms) to execute
Dec 19 08:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:24.048263 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.019704801s) to execute
Dec 19 08:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:24.048539 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:694" took too long (826.678018ms) to execute
Dec 19 08:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:24.048867 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.007247378s) to execute
Dec 19 08:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:24.048915 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (827.429584ms) to execute
Dec 19 08:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:24.049063 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (828.592991ms) to execute
Dec 19 08:59:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:24.049159 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:668" took too long (828.677344ms) to execute
Dec 19 08:59:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:31.143635 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (123.514567ms) to execute
Dec 19 08:59:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:40.567679 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (448.297755ms) to execute
Dec 19 08:59:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 08:59:40.567826 W | etcdserver: failed to revoke 4f0b6e20ca534e53 ("lease not found")
Dec 19 09:00:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:04.917602 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (642.811144ms) to execute
Dec 19 09:00:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:04.942618 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (303.211319ms) to execute
Dec 19 09:00:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:04.942842 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (262.243696ms) to execute
Dec 19 09:00:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:04.943053 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (386.849743ms) to execute
Dec 19 09:00:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:12.697202 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (116.680082ms) to execute
Dec 19 09:00:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:13.947343 W | wal: sync duration of 1.241889318s, expected less than 1s
Dec 19 09:00:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:13.950591 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.096509546s) to execute
Dec 19 09:00:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:13.987195 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (638.381147ms) to execute
Dec 19 09:00:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:13.987249 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (993.526957ms) to execute
Dec 19 09:00:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:16.520316 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (314.170859ms) to execute
Dec 19 09:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:23.405450 W | wal: sync duration of 1.366428091s, expected less than 1s
Dec 19 09:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:23.408430 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (937.602153ms) to execute
Dec 19 09:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:23.408501 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (185.427485ms) to execute
Dec 19 09:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:23.408936 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (186.073321ms) to execute
Dec 19 09:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:23.409011 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (117.789726ms) to execute
Dec 19 09:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:23.409319 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (187.447785ms) to execute
Dec 19 09:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:23.409352 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (186.531332ms) to execute
Dec 19 09:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:23.409411 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (415.698975ms) to execute
Dec 19 09:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:23.409476 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (732.301151ms) to execute
Dec 19 09:00:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:23.409589 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta2.autoscaling\" " with result "range_response_count:1 size:640" took too long (187.667244ms) to execute
Dec 19 09:00:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:41.237130 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (140.429524ms) to execute
Dec 19 09:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:44.251379 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (119.108706ms) to execute
Dec 19 09:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:44.251442 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (114.303334ms) to execute
Dec 19 09:00:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:50.563503 I | mvcc: store.index: compact 45004610
Dec 19 09:00:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:50.574362 I | mvcc: finished scheduled compaction at 45004610 (took 7.823334ms)
Dec 19 09:00:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:52.112745 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (361.925837ms) to execute
Dec 19 09:00:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:52.112913 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (554.619854ms) to execute
Dec 19 09:00:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:00:52.113071 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (578.969805ms) to execute
Dec 19 09:01:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:01:02.644721 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (299.720443ms) to execute
Dec 19 09:01:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:01:11.890526 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (541.743868ms) to execute
Dec 19 09:01:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:01:11.890630 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (449.105902ms) to execute
Dec 19 09:02:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:02:37.594557 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (108.459489ms) to execute
Dec 19 09:02:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:02:39.079828 W | etcdserver: request "header:<ID:14919139277707367676 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-whlcs.15e1ba4719d02d2f\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-whlcs.15e1ba4719d02d2f\" value_size:363 lease:5695767240852591824 >> failure:<>>" with result "size:20" took too long (187.439666ms) to execute
Dec 19 09:03:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:03:36.483427 W | wal: sync duration of 1.779811019s, expected less than 1s
Dec 19 09:03:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:03:36.488267 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.266780943s) to execute
Dec 19 09:03:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:03:37.427443 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.519401132s) to execute
Dec 19 09:03:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:03:37.427781 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (2.026234563s) to execute
Dec 19 09:03:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:03:37.427958 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.018411049s) to execute
Dec 19 09:03:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:03:37.428152 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (2.191718738s) to execute
Dec 19 09:03:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 09:03:38.756410 W | wal: sync duration of 1.330919271s, expected less than 1s
