-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 07:35:41 UTC. --
Feb 01 07:12:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:28.000753 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (273.586268ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.578945 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (210.697701ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.579459 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (209.915732ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.579596 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (207.404142ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.579748 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (212.614699ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.580071 W | etcdserver: request "header:<ID:14919139277751071637 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-qq86p\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-qq86p\" value_size:2804 >> failure:<>>" with result "size:20" took too long (158.607732ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.593321 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hzcdg\" " with result "range_response_count:1 size:2946" took too long (185.990835ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.593592 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vrx7d\" " with result "range_response_count:1 size:2946" took too long (192.796378ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.648308 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7gt7b\" " with result "range_response_count:1 size:2946" took too long (211.246738ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.649435 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7trh7\" " with result "range_response_count:1 size:2943" took too long (164.311794ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.649493 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (184.021105ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.649762 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (185.055082ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.650110 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (185.468057ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.896541 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (228.852743ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.945494 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (243.677191ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.945820 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g86wj\" " with result "range_response_count:1 size:2946" took too long (255.417644ms) to execute
Feb 01 07:12:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:30.946124 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-75zjl\" " with result "range_response_count:1 size:2946" took too long (274.070665ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.176635 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (216.138708ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.215146 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (220.255041ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.215243 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jnnhr\" " with result "range_response_count:1 size:2946" took too long (213.32078ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.215444 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (221.057289ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.215990 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4fh8l\" " with result "range_response_count:1 size:2946" took too long (175.766031ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.434079 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (207.777465ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.434131 W | etcdserver: request "header:<ID:14919139277751071708 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-7k26h.15ef35cd6e71c415\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-7k26h.15ef35cd6e71c415\" value_size:389 lease:5695767240896295563 >> failure:<>>" with result "size:20" took too long (152.904535ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.449170 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8fqkk\" " with result "range_response_count:1 size:2946" took too long (195.108964ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.449236 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef35cd81e49526\" " with result "range_response_count:1 size:485" took too long (195.669659ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.449336 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jf4tn\" " with result "range_response_count:1 size:2946" took too long (189.027537ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.453966 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (122.273013ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.454182 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-q84bf\" " with result "range_response_count:1 size:2946" took too long (123.493612ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.672686 W | etcdserver: request "header:<ID:14919139277751071724 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-jf4tn.15ef35cd7fbbcc6b\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-jf4tn.15ef35cd7fbbcc6b\" value_size:392 lease:5695767240896295563 >> failure:<>>" with result "size:20" took too long (133.09293ms) to execute
Feb 01 07:12:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:31.673033 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef35cd81e49526\" " with result "range_response_count:1 size:485" took too long (146.47881ms) to execute
Feb 01 07:12:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:32.670205 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:71864" took too long (115.250276ms) to execute
Feb 01 07:12:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:33.757823 W | etcdserver: request "header:<ID:14919139277751071836 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-vrx7d\" mod_revision:53137242 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-vrx7d\" value_size:3678 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-vrx7d\" > >>" with result "size:20" took too long (230.482666ms) to execute
Feb 01 07:12:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:33.761096 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4fh8l\" " with result "range_response_count:1 size:3579" took too long (115.009772ms) to execute
Feb 01 07:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:34.324805 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (480.172405ms) to execute
Feb 01 07:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:34.325020 W | etcdserver: request "header:<ID:14919139277751071873 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-jf4tn\" mod_revision:53137283 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-jf4tn\" value_size:3707 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-jf4tn\" > >>" with result "size:20" took too long (461.013294ms) to execute
Feb 01 07:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:34.325742 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-bttzl\" " with result "range_response_count:1 size:2440" took too long (360.23446ms) to execute
Feb 01 07:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:34.331546 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (198.611727ms) to execute
Feb 01 07:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:34.331876 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (205.664878ms) to execute
Feb 01 07:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:34.676306 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-75zjl\" " with result "range_response_count:1 size:3754" took too long (149.819011ms) to execute
Feb 01 07:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:35.086286 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8fqkk\" " with result "range_response_count:1 size:3754" took too long (314.833588ms) to execute
Feb 01 07:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:35.086354 W | etcdserver: request "header:<ID:14919139277751071927 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-qq86p.15ef35c72d0eaced\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-qq86p.15ef35c72d0eaced\" value_size:445 lease:5695767240896295563 >> failure:<>>" with result "size:20" took too long (292.798395ms) to execute
Feb 01 07:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:35.086750 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (206.650494ms) to execute
Feb 01 07:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:35.433241 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qq86p\" " with result "range_response_count:1 size:3580" took too long (237.77808ms) to execute
Feb 01 07:12:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:35.433395 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hzcdg\" " with result "range_response_count:1 size:3782" took too long (176.492792ms) to execute
Feb 01 07:12:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:36.003247 W | etcdserver: request "header:<ID:14919139277751071990 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:53137475 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:3021 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (130.313889ms) to execute
Feb 01 07:12:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:36.022726 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (116.204053ms) to execute
Feb 01 07:12:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:38.443765 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jnnhr\" " with result "range_response_count:1 size:3784" took too long (699.445579ms) to execute
Feb 01 07:12:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:38.444388 W | etcdserver: request "header:<ID:14919139277751072080 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-qq86p.15ef35c7770806a1\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-qq86p.15ef35c7770806a1\" value_size:367 lease:5695767240896295563 >> failure:<>>" with result "size:20" took too long (656.680232ms) to execute
Feb 01 07:12:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:38.446167 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:80775" took too long (559.240733ms) to execute
Feb 01 07:12:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:38.446343 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (387.65518ms) to execute
Feb 01 07:12:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:39.806716 W | wal: sync duration of 1.259943566s, expected less than 1s
Feb 01 07:12:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:39.810261 W | etcdserver: request "header:<ID:14919139277751072106 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-8fqkk\" mod_revision:53137440 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-8fqkk\" value_size:4098 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-8fqkk\" > >>" with result "size:20" took too long (1.263231156s) to execute
Feb 01 07:12:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:39.810538 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-n5ss6\" " with result "range_response_count:1 size:3779" took too long (1.223267754s) to execute
Feb 01 07:12:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:39.822138 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (699.59551ms) to execute
Feb 01 07:12:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:39.822377 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:81945" took too long (1.139353612s) to execute
Feb 01 07:12:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:39.823058 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-hzcdg.15ef35cef707b0eb\" " with result "range_response_count:1 size:520" took too long (769.252078ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.418122 W | wal: sync duration of 1.299873597s, expected less than 1s
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.421834 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-4fh8l.15ef35cf3538162a\" " with result "range_response_count:1 size:520" took too long (1.315372847s) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.422364 W | etcdserver: request "header:<ID:14919139277751072144 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53137189 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (1.303807652s) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.422837 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-75zjl.15ef35c944eca9e3\" " with result "range_response_count:1 size:520" took too long (1.256118719s) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.433102 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-qq86p.15ef35c7c0063575\" " with result "range_response_count:1 size:520" took too long (1.245704571s) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.433151 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (210.101649ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.433384 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (963.26622ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.433591 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (253.674471ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.433729 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (975.669957ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.433863 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pxz5r\" " with result "range_response_count:1 size:4149" took too long (429.78395ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.746069 W | etcdserver: request "header:<ID:14919139277751072184 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-vrx7d.15ef35c9607f99c6\" mod_revision:53137572 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-vrx7d.15ef35c9607f99c6\" value_size:415 lease:5695767240896295563 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f-vrx7d.15ef35c9607f99c6\" > >>" with result "size:20" took too long (223.570386ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.746247 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (226.812302ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.746555 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (226.894342ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.746607 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rghmp.15ef35c85b77e4bd\" " with result "range_response_count:1 size:520" took too long (147.178682ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.746847 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-jf4tn.15ef35c5ae485083\" " with result "range_response_count:1 size:520" took too long (225.895699ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.746872 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-hzcdg.15ef35cef707b0eb\" " with result "range_response_count:1 size:520" took too long (225.292284ms) to execute
Feb 01 07:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:12:41.747029 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7k26h.15ef35c7bbf28e61\" " with result "range_response_count:1 size:517" took too long (168.532348ms) to execute
