-- Logs begin at Mon 2019-11-04 19:08:25 UTC, end at Thu 2019-11-07 20:09:16 UTC. --
Nov 07 19:48:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:48:02.766535 N | compactor: Starting auto-compaction at revision 36777775
Nov 07 19:53:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:47.319555 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6487" took too long (350.03795ms) to execute
Nov 07 19:53:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:47.319685 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (609.105845ms) to execute
Nov 07 19:53:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:47.320065 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vl7jz\" " with result "range_response_count:1 size:4260" took too long (160.780831ms) to execute
Nov 07 19:53:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:47.320420 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (511.807422ms) to execute
Nov 07 19:53:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:47.320837 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (629.003572ms) to execute
Nov 07 19:53:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:52.559769 I | mvcc: store.index: compact 36858233
Nov 07 19:53:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:52.568122 I | mvcc: finished scheduled compaction at 36858233 (took 7.25376ms)
Nov 07 19:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:54.134357 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.427138717s) to execute
Nov 07 19:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:54.134451 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (970.616476ms) to execute
Nov 07 19:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:54.134482 W | etcdserver: request "header:<ID:14919139277663071129 > lease_revoke:<id:4f0b6e20c7af6b09>" with result "size:29" took too long (901.196658ms) to execute
Nov 07 19:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:54.134556 W | etcdserver: failed to revoke 4f0b6e20c7af6b09 ("lease not found")
Nov 07 19:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:54.134664 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (784.046022ms) to execute
Nov 07 19:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:54.137097 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (782.203806ms) to execute
Nov 07 19:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:54.137309 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-sidecar-injector-service-account-token-9b5vr\" " with result "range_response_count:1 size:2510" took too long (482.806807ms) to execute
Nov 07 19:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:53:54.137536 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (755.229286ms) to execute
Nov 07 19:58:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:58:52.571060 I | mvcc: store.index: compact 36859077
Nov 07 19:58:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:58:52.578849 I | mvcc: finished scheduled compaction at 36859077 (took 5.978757ms)
Nov 07 19:59:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 19:59:49.478358 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-q78j6\" " with result "range_response_count:1 size:2440" took too long (184.739606ms) to execute
Nov 07 20:03:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:03:52.608015 I | mvcc: store.index: compact 36859777
Nov 07 20:03:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:03:52.614757 I | mvcc: finished scheduled compaction at 36859777 (took 5.183573ms)
Nov 07 20:05:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:05:41.105457 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (239.956478ms) to execute
Nov 07 20:05:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-07 20:05:49.841604 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (154.619864ms) to execute
