-- Logs begin at Wed 2019-12-18 15:20:13 UTC, end at Fri 2019-12-20 01:54:35 UTC. --
Dec 20 01:32:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:32:33.519224 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (542.02593ms) to execute
Dec 20 01:33:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:56.510533 W | etcdserver: request "header:<ID:14919139277708003380 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:45168100 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (254.59434ms) to execute
Dec 20 01:33:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:57.135689 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (200.019764ms) to execute
Dec 20 01:33:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:57.136017 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (386.003306ms) to execute
Dec 20 01:33:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:57.136293 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ljqgl.15e1f058101cc331\" " with result "range_response_count:1 size:591" took too long (222.657465ms) to execute
Dec 20 01:33:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:57.762735 W | etcdserver: request "header:<ID:14919139277708003392 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:45168104 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (119.644263ms) to execute
Dec 20 01:33:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:59.153803 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4pqdf\" " with result "range_response_count:1 size:1740" took too long (248.133129ms) to execute
Dec 20 01:33:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:59.154158 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (459.567672ms) to execute
Dec 20 01:33:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:33:59.154469 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (411.965308ms) to execute
Dec 20 01:34:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:06.084337 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (290.70209ms) to execute
Dec 20 01:34:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:06.620369 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (309.967175ms) to execute
Dec 20 01:34:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:15.673621 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (112.904327ms) to execute
Dec 20 01:34:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:15.673790 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (166.672534ms) to execute
Dec 20 01:34:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:28.397567 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (257.743331ms) to execute
Dec 20 01:34:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:28.398047 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (294.157658ms) to execute
Dec 20 01:34:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:35.032350 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (221.250616ms) to execute
Dec 20 01:34:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:35.032458 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (231.476694ms) to execute
Dec 20 01:34:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:40.275722 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (234.390158ms) to execute
Dec 20 01:34:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:49.383147 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (279.323577ms) to execute
Dec 20 01:34:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:49.383227 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (277.306103ms) to execute
Dec 20 01:34:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:49.383307 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (298.309658ms) to execute
Dec 20 01:34:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:54.802719 W | etcdserver: request "header:<ID:14919139277708003977 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-68929\" mod_revision:45168307 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-68929\" value_size:1658 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-68929\" > >>" with result "size:20" took too long (218.145492ms) to execute
Dec 20 01:34:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:57.972088 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (796.08154ms) to execute
Dec 20 01:34:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:57.972178 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (366.830976ms) to execute
Dec 20 01:34:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:57.972225 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (547.063271ms) to execute
Dec 20 01:34:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:57.972602 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (539.487944ms) to execute
Dec 20 01:34:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:34:57.972731 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (921.572993ms) to execute
Dec 20 01:35:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:35:28.775806 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (457.486316ms) to execute
Dec 20 01:35:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:35:28.775941 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (591.77494ms) to execute
Dec 20 01:35:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:35:28.776161 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (569.787342ms) to execute
Dec 20 01:35:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:35:31.654704 W | etcdserver: request "header:<ID:14919139277708004359 > lease_revoke:<id:4f0b6e20ca5d0b5b>" with result "size:29" took too long (266.795006ms) to execute
Dec 20 01:35:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:35:48.602512 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (341.183665ms) to execute
Dec 20 01:35:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:35:48.602696 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (372.399796ms) to execute
Dec 20 01:35:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:35:52.127318 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (122.504809ms) to execute
Dec 20 01:35:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:35:57.071981 W | etcdserver: request "header:<ID:14919139277708004592 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:45168490 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (215.252158ms) to execute
Dec 20 01:35:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:35:57.072322 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:7" took too long (149.659938ms) to execute
Dec 20 01:35:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:35:57.072466 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (148.999626ms) to execute
Dec 20 01:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:04.741156 I | mvcc: store.index: compact 45167146
Dec 20 01:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:04.743628 W | etcdserver: request "header:<ID:14919139277708004663 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:45167146 > " with result "size:7" took too long (131.790483ms) to execute
Dec 20 01:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:04.750691 I | mvcc: finished scheduled compaction at 45167146 (took 6.965755ms)
Dec 20 01:36:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:05.229089 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (116.226055ms) to execute
Dec 20 01:36:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:08.197339 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (959.425467ms) to execute
Dec 20 01:36:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:08.198181 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (793.476509ms) to execute
Dec 20 01:36:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:14.607902 W | etcdserver: request "header:<ID:14919139277708004754 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend.15e1f066e127178b\" mod_revision:45168514 > success:<request_put:<key:\"/registry/events/default/backend.15e1f066e127178b\" value_size:374 lease:5695767240853228526 >> failure:<request_range:<key:\"/registry/events/default/backend.15e1f066e127178b\" > >>" with result "size:20" took too long (285.300677ms) to execute
Dec 20 01:36:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:26.662411 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (179.28501ms) to execute
Dec 20 01:36:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:29.708227 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (385.76829ms) to execute
Dec 20 01:36:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:31.267773 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (159.711862ms) to execute
Dec 20 01:36:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:31.267884 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (301.927941ms) to execute
Dec 20 01:36:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:31.922560 I | etcdserver: start to snapshot (applied: 49786121, lastsnap: 49776120)
Dec 20 01:36:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:31.979412 I | etcdserver: saved snapshot at index 49786121
Dec 20 01:36:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:31.980517 I | etcdserver: compacted raft log at 49781121
Dec 20 01:36:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:41.666405 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (383.417894ms) to execute
Dec 20 01:36:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:41.666698 W | etcdserver: request "header:<ID:14919139277708005020 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:45168602 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (266.283085ms) to execute
Dec 20 01:36:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:43.091421 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (399.893253ms) to execute
Dec 20 01:36:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:43.091819 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:4 size:6908" took too long (360.786464ms) to execute
Dec 20 01:36:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:45.619360 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002f6e9b4.snap successfully
Dec 20 01:36:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:36:52.134527 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (429.750133ms) to execute
Dec 20 01:37:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:37:00.555118 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-68929.15e1f055fdbd2ad9\" " with result "range_response_count:1 size:590" took too long (328.27803ms) to execute
Dec 20 01:37:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:37:01.537236 W | etcdserver: request "header:<ID:14919139277708005234 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-tlkmb.15e1f08517e15ed8\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-tlkmb.15e1f08517e15ed8\" value_size:360 lease:5695767240853229375 >> failure:<>>" with result "size:20" took too long (122.013436ms) to execute
Dec 20 01:37:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:37:07.294360 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (267.358278ms) to execute
Dec 20 01:37:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:37:21.224468 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (326.831602ms) to execute
Dec 20 01:37:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:37:25.202813 W | etcdserver: request "header:<ID:14919139277708005468 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:45168759 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (334.56698ms) to execute
Dec 20 01:37:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:37:33.223428 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (409.317911ms) to execute
Dec 20 01:37:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:37:33.223640 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (275.957778ms) to execute
Dec 20 01:37:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:37:33.793229 W | etcdserver: request "header:<ID:14919139277708005539 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:45168779 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:4548 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (202.189921ms) to execute
Dec 20 01:37:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:37:41.277813 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (243.134411ms) to execute
Dec 20 01:38:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:38:02.985143 W | etcdserver: request "header:<ID:14919139277708005787 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-tlkmb.15e1f0910dfe1263\" mod_revision:45168844 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-tlkmb.15e1f0910dfe1263\" value_size:484 lease:5695767240853229977 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f-tlkmb.15e1f0910dfe1263\" > >>" with result "size:20" took too long (191.201189ms) to execute
Dec 20 01:38:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:38:02.985887 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (184.55553ms) to execute
