-- Logs begin at Fri 2020-01-31 10:16:36 UTC, end at Sat 2020-02-01 22:20:19 UTC. --
Feb 01 21:57:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:16.108329 W | wal: sync duration of 2.560027638s, expected less than 1s
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.259038 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (2.54900774s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.259130 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7ljh9\" " with result "range_response_count:1 size:1118" took too long (2.548902703s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.259316 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-z5ks5.15ef660c8057bc11\" " with result "range_response_count:1 size:561" took too long (2.548624446s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.259369 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (2.549438988s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.259592 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (2.54969263s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.259664 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (2.549286696s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.260286 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:0 size:7" took too long (2.558107215s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.260426 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7swx2.15ef660cfe1952b7\" " with result "range_response_count:1 size:558" took too long (2.549679375s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.260596 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.136291757s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.260802 W | etcdserver: request "header:<ID:14919139277751652302 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-kv9ml.15ef66151cdeffe5\" mod_revision:53282183 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-kv9ml.15ef66151cdeffe5\" value_size:456 lease:5695767240896876277 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f-kv9ml.15ef66151cdeffe5\" > >>" with result "size:20" took too long (244.507228ms) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.980269 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (1.693184562s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.980376 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.100221463s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.980586 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (1.694684692s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.984380 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2101" took too long (1.692528344s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.984696 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (1.030032622s) to execute
Feb 01 21:57:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:19.984869 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:256" took too long (1.694213977s) to execute
Feb 01 21:57:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:21.871931 W | wal: sync duration of 1.900523568s, expected less than 1s
Feb 01 21:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:22.799766 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-5fxhk\" " with result "range_response_count:1 size:1121" took too long (3.529400478s) to execute
Feb 01 21:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:22.799922 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (3.3443748s) to execute
Feb 01 21:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:22.800231 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (3.530397471s) to execute
Feb 01 21:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:22.800354 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kv9ml\" " with result "range_response_count:1 size:1501" took too long (3.488616625s) to execute
Feb 01 21:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:22.800513 W | etcdserver: request "header:<ID:14919139277751652320 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-zv7l7.15ef660df2501f58\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-zv7l7.15ef660df2501f58\" value_size:445 lease:5695767240896876277 >> failure:<>>" with result "size:20" took too long (928.156313ms) to execute
Feb 01 21:57:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:22.800883 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (3.474496808s) to execute
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.158917 W | wal: sync duration of 2.286778783s, expected less than 1s
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.162181 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (2.454250323s) to execute
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.162534 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (2.876759167s) to execute
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.162738 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (3.02980693s) to execute
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.163026 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (3.363437015s) to execute
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.163287 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7swx2\" " with result "range_response_count:1 size:1498" took too long (4.165847519s) to execute
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.163514 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (3.52071156s) to execute
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.163735 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qzp2x\" " with result "range_response_count:1 size:1502" took too long (3.902941051s) to execute
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.163983 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-operator\" " with result "range_response_count:1 size:414" took too long (4.163109133s) to execute
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.164270 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (4.165604904s) to execute
Feb 01 21:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:24.164924 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r9qrv\" " with result "range_response_count:1 size:1121" took too long (4.178146098s) to execute
Feb 01 21:57:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:25.776311 W | wal: sync duration of 1.617082206s, expected less than 1s
Feb 01 21:57:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:25.779781 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pod-garbage-collector\" " with result "range_response_count:1 size:262" took too long (2.968577143s) to execute
Feb 01 21:57:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:25.779838 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (3.784792148s) to execute
Feb 01 21:57:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:25.780246 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (3.62496595s) to execute
Feb 01 21:57:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:25.780477 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (3.78540104s) to execute
Feb 01 21:57:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:25.780608 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (3.01327685s) to execute
Feb 01 21:57:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:25.780771 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:10 size:14532" took too long (3.809766873s) to execute
Feb 01 21:57:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:25.780856 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (2.970004332s) to execute
Feb 01 21:57:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:25.780973 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (2.969567576s) to execute
Feb 01 21:57:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:25.781046 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (2.969129189s) to execute
Feb 01 21:57:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:26.906358 W | wal: sync duration of 1.129578598s, expected less than 1s
Feb 01 21:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:27.759879 W | etcdserver: read-only range request "key:\"/registry/services/specs/kube-system/alertmanager-operated\" " with result "range_response_count:1 size:504" took too long (3.575773566s) to execute
Feb 01 21:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:27.759928 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (2.34186344s) to execute
Feb 01 21:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:27.759988 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (3.571075466s) to execute
Feb 01 21:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:27.760189 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7swx2\" " with result "range_response_count:1 size:1498" took too long (3.575102413s) to execute
Feb 01 21:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:27.760231 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (3.575816378s) to execute
Feb 01 21:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:27.760405 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/kube-proxy\" " with result "range_response_count:1 size:228" took too long (3.57710499s) to execute
Feb 01 21:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:27.760472 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/kube-proxy\" " with result "range_response_count:1 size:228" took too long (3.577005515s) to execute
Feb 01 21:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:27.760730 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z5ks5\" " with result "range_response_count:1 size:1502" took too long (3.571355355s) to execute
Feb 01 21:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:27.760824 W | etcdserver: request "header:<ID:14919139277751652352 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:53282199 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:374 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (853.955743ms) to execute
Feb 01 21:57:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:27.760921 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (3.577395628s) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.253192 W | wal: sync duration of 1.346600569s, expected less than 1s
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.256627 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9dqb2\" " with result "range_response_count:1 size:1121" took too long (2.459211084s) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.256839 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:10 size:15154" took too long (2.220665849s) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.256974 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qzp2x\" " with result "range_response_count:1 size:1743" took too long (2.459576659s) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.257144 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (2.026702063s) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.257222 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (2.461034605s) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.257402 W | etcdserver: read-only range request "key:\"/registry/masterleases/\" range_end:\"/registry/masterleases0\" " with result "range_response_count:1 size:131" took too long (2.461221511s) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.257494 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (2.264176374s) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.257799 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" " with result "range_response_count:6 size:28480" took too long (2.461132949s) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.313596 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (305.77936ms) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.313927 W | etcdserver: read-only range request "key:\"/registry/services/specs/kube-system/alertmanager-operated\" " with result "range_response_count:1 size:504" took too long (538.494026ms) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.314439 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (540.183587ms) to execute
Feb 01 21:57:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 21:57:28.314676 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1910" took too long (545.45906ms) to execute
