-- Logs begin at Thu 2020-01-30 21:39:54 UTC, end at Sat 2020-02-01 15:03:41 UTC. --
Feb 01 14:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:54.570810 I | etcdserver: start to snapshot (applied: 58637383, lastsnap: 58627381)
Feb 01 14:40:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:55.203314 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nxgcv\" " with result "range_response_count:1 size:2946" took too long (230.457167ms) to execute
Feb 01 14:40:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:55.230892 I | etcdserver: saved snapshot at index 58637383
Feb 01 14:40:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:55.231429 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dmsh9\" " with result "range_response_count:1 size:2946" took too long (165.999272ms) to execute
Feb 01 14:40:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:55.231511 I | etcdserver: compacted raft log at 58632383
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.193061 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pr76g\" " with result "range_response_count:1 size:3576" took too long (649.417272ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.193438 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dmsh9\" " with result "range_response_count:1 size:3580" took too long (643.522622ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.193940 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (263.913343ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.194207 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dzhx4\" " with result "range_response_count:1 size:3580" took too long (288.224247ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.194459 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (561.567568ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.194705 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g77qg\" " with result "range_response_count:1 size:3579" took too long (619.319069ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.194914 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (638.741927ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.403790 W | etcdserver: request "header:<ID:14919139277751355541 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-6sm4h.15ef4e3cceaef238\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-6sm4h.15ef4e3cceaef238\" value_size:445 lease:5695767240896579422 >> failure:<>>" with result "size:20" took too long (101.977043ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.403916 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6sm4h\" " with result "range_response_count:1 size:3580" took too long (101.804783ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.637304 W | etcdserver: request "header:<ID:14919139277751355554 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-65878.15ef4e4041df38c1\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-65878.15ef4e4041df38c1\" value_size:445 lease:5695767240896579422 >> failure:<>>" with result "size:20" took too long (129.821605ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.637988 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nxgcv\" " with result "range_response_count:1 size:3580" took too long (116.677338ms) to execute
Feb 01 14:40:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:57.673558 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dmsh9\" " with result "range_response_count:1 size:3754" took too long (105.193347ms) to execute
Feb 01 14:40:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:58.182158 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000037df8f1.snap successfully
Feb 01 14:40:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:58.322086 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dzhx4\" " with result "range_response_count:1 size:3784" took too long (100.296374ms) to execute
Feb 01 14:40:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:40:58.469845 W | etcdserver: request "header:<ID:14919139277751355610 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-nxgcv.15ef4e406c77caf2\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-nxgcv.15ef4e406c77caf2\" value_size:423 lease:5695767240896579422 >> failure:<>>" with result "size:20" took too long (112.686279ms) to execute
Feb 01 14:43:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:02.500032 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (170.457265ms) to execute
Feb 01 14:43:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:02.530048 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-76vsx\" " with result "range_response_count:1 size:2738" took too long (100.929457ms) to execute
Feb 01 14:43:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:02.530387 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (197.348902ms) to execute
Feb 01 14:43:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:09.844966 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef4e45a23f43e4\" " with result "range_response_count:1 size:485" took too long (134.877272ms) to execute
Feb 01 14:43:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:09.878796 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-djh56\" " with result "range_response_count:1 size:2943" took too long (136.022106ms) to execute
Feb 01 14:43:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:09.879004 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ms78h\" " with result "range_response_count:1 size:2946" took too long (143.742974ms) to execute
Feb 01 14:43:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:17.504040 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (156.071758ms) to execute
Feb 01 14:43:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:17.504193 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (149.911047ms) to execute
Feb 01 14:43:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:17.504717 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (153.386117ms) to execute
Feb 01 14:43:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:17.505388 W | etcdserver: request "header:<ID:14919139277751357474 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:53208295 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6101 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (148.501665ms) to execute
Feb 01 14:43:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:43:17.518811 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-thqzz\" " with result "range_response_count:1 size:2738" took too long (148.564741ms) to execute
Feb 01 14:44:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:44:18.765500 I | mvcc: store.index: compact 53206403
Feb 01 14:44:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:44:18.772059 I | mvcc: finished scheduled compaction at 53206403 (took 5.250663ms)
Feb 01 14:46:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:46:25.166620 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (229.355851ms) to execute
Feb 01 14:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:46:44.308500 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.264951745s) to execute
Feb 01 14:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:46:44.308560 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.420849856s) to execute
Feb 01 14:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:46:44.308688 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (700.911478ms) to execute
Feb 01 14:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:46:44.308748 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.331520492s) to execute
Feb 01 14:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:46:44.308860 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-sxf9b\" " with result "range_response_count:1 size:2314" took too long (292.622747ms) to execute
Feb 01 14:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:46:44.308912 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-sxf9b\" " with result "range_response_count:1 size:2314" took too long (852.762497ms) to execute
Feb 01 14:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:46:44.308941 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.41889857s) to execute
Feb 01 14:46:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:46:44.309032 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-ingressgateway-ca-certs\" " with result "range_response_count:0 size:7" took too long (715.358757ms) to execute
Feb 01 14:49:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:18.778128 I | mvcc: store.index: compact 53208442
Feb 01 14:49:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:18.786817 I | mvcc: finished scheduled compaction at 53208442 (took 7.35348ms)
Feb 01 14:49:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:20.568016 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.551169862s) to execute
Feb 01 14:49:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:20.569078 W | etcdserver: request "header:<ID:14919139277751361164 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53208953 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (1.494075644s) to execute
Feb 01 14:49:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:20.593877 W | wal: sync duration of 1.519485446s, expected less than 1s
Feb 01 14:49:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:20.594111 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.486385467s) to execute
Feb 01 14:49:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:20.598521 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (1.201122852s) to execute
Feb 01 14:49:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:20.598826 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (125.828742ms) to execute
Feb 01 14:49:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:20.599191 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (161.513683ms) to execute
Feb 01 14:49:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:59.694169 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-n24d2\" " with result "range_response_count:1 size:4042" took too long (128.025467ms) to execute
Feb 01 14:49:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:59.694252 W | etcdserver: request "header:<ID:14919139277751361577 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:53209050 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (117.124469ms) to execute
Feb 01 14:49:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:59.694374 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/backend\" " with result "range_response_count:1 size:2094" took too long (128.124538ms) to execute
Feb 01 14:49:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:59.694803 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (121.098628ms) to execute
Feb 01 14:49:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:59.694905 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (121.556108ms) to execute
Feb 01 14:49:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:59.695014 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (122.877671ms) to execute
Feb 01 14:49:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:59.695180 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha2.config.istio.io\" " with result "range_response_count:1 size:659" took too long (120.838206ms) to execute
Feb 01 14:49:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:49:59.695317 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (119.7869ms) to execute
Feb 01 14:54:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:54:18.819323 I | mvcc: store.index: compact 53208971
Feb 01 14:54:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:54:18.826894 I | mvcc: finished scheduled compaction at 53208971 (took 5.724615ms)
Feb 01 14:59:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:59:18.833456 I | mvcc: store.index: compact 53209545
Feb 01 14:59:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 14:59:18.840028 I | mvcc: finished scheduled compaction at 53209545 (took 5.155562ms)
