-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 17:28:41 UTC. --
Oct 10 17:07:28 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:28.095847 W | wal: sync duration of 3.552405309s, expected less than 1s
Oct 10 17:07:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:40.511711 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (906.580794ms) to execute
Oct 10 17:07:41 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:41.056207 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.124412513s) to execute
Oct 10 17:07:41 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:41.056391 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (391.734877ms) to execute
Oct 10 17:07:41 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:41.056430 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (161.258357ms) to execute
Oct 10 17:07:41 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:41.056580 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (388.961196ms) to execute
Oct 10 17:07:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:42.641586 W | wal: sync duration of 1.569660941s, expected less than 1s
Oct 10 17:07:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:42.644579 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (1.570087064s) to execute
Oct 10 17:07:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:42.644624 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (1.235634126s) to execute
Oct 10 17:07:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:42.644929 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (568.864798ms) to execute
Oct 10 17:07:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:42.644951 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1465" took too long (1.118470785s) to execute
Oct 10 17:07:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:42.645112 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.086142663s) to execute
Oct 10 17:07:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:42.645167 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (103.094014ms) to execute
Oct 10 17:07:42 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:42.645321 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (269.044397ms) to execute
Oct 10 17:07:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:46.226419 W | wal: sync duration of 1.49520585s, expected less than 1s
Oct 10 17:07:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:46.229151 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.15715281s) to execute
Oct 10 17:07:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:46.229323 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (549.660387ms) to execute
Oct 10 17:07:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:46.229375 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/prometheuses\" range_end:\"/registry/config.istio.io/prometheuset\" count_only:true " with result "range_response_count:0 size:7" took too long (636.291132ms) to execute
Oct 10 17:07:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:46.229565 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mprp\" " with result "range_response_count:1 size:2314" took too long (892.864057ms) to execute
Oct 10 17:07:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:46.229669 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.153819121s) to execute
Oct 10 17:07:48 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:48.508247 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/clusterrbacconfigs\" range_end:\"/registry/rbac.istio.io/clusterrbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (210.620888ms) to execute
Oct 10 17:07:52 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:52.110429 W | wal: sync duration of 1.74455047s, expected less than 1s
Oct 10 17:07:52 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:52.582528 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (2.067767389s) to execute
Oct 10 17:07:52 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:52.583185 W | etcdserver: request "header:<ID:14919138748426970254 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:32169611 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (471.888576ms) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.423991 W | wal: sync duration of 2.313307207s, expected less than 1s
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.427314 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (2.630549991s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.427406 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (3.161510133s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.427462 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (3.83361649s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.427489 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (3.764824859s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.427731 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/memquotas\" range_end:\"/registry/config.istio.io/memquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (3.78316746s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.427768 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (3.696195796s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.427955 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (3.179373538s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.428133 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.169353872s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.428262 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6063" took too long (1.377714721s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.428542 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/serviceentries\" range_end:\"/registry/networking.istio.io/serviceentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.73415175s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.428645 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (544.451301ms) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.428813 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.77036957s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.428932 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (1.902572159s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.429031 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (690.771819ms) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.429198 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (1.776616454s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.429480 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.777354167s) to execute
Oct 10 17:07:54 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:54.429548 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.824120971s) to execute
Oct 10 17:07:57 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:57.016537 W | etcdserver: failed to revoke 4f0b6da58ec1642c ("lease not found")
Oct 10 17:07:57 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:07:57.016599 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (457.157275ms) to execute
Oct 10 17:08:00 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:00.871405 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/virtualservices\" range_end:\"/registry/networking.istio.io/virtualservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (119.850788ms) to execute
Oct 10 17:08:00 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:00.871556 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (408.172317ms) to execute
Oct 10 17:08:00 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:00.871773 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (413.192881ms) to execute
Oct 10 17:08:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:04.134965 W | wal: sync duration of 1.534035887s, expected less than 1s
Oct 10 17:08:04 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:04.139316 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (1.533025417s) to execute
Oct 10 17:08:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:05.184201 W | wal: sync duration of 1.048884857s, expected less than 1s
Oct 10 17:08:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:05.186934 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (1.601783108s) to execute
Oct 10 17:08:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:05.187138 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.30272536s) to execute
Oct 10 17:08:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:05.187181 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6063" took too long (1.217051629s) to execute
Oct 10 17:08:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:05.187247 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (2.304308296s) to execute
Oct 10 17:08:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:05.187292 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.295492475s) to execute
Oct 10 17:08:05 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:05.187389 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-admission\" " with result "range_response_count:1 size:1573" took too long (1.686107785s) to execute
Oct 10 17:08:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:06.339881 W | wal: sync duration of 1.155476765s, expected less than 1s
Oct 10 17:08:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:06.342781 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (1.883176059s) to execute
Oct 10 17:08:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:06.342914 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (2.19929755s) to execute
Oct 10 17:08:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:06.343252 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.698670556s) to execute
Oct 10 17:08:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:06.343292 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/bypasses\" range_end:\"/registry/config.istio.io/bypasset\" count_only:true " with result "range_response_count:0 size:7" took too long (1.178323969s) to execute
Oct 10 17:08:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:06.343645 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/reportnothings\" range_end:\"/registry/config.istio.io/reportnothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.805638869s) to execute
Oct 10 17:08:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:06.343853 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (1.241940953s) to execute
Oct 10 17:08:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:06.344001 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.871795123s) to execute
Oct 10 17:08:06 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 17:08:06.344305 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.885400602s) to execute
