-- Logs begin at Thu 2019-10-31 12:25:57 UTC, end at Sun 2019-11-03 10:15:51 UTC. --
Nov 03 09:54:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:54:19.874458 W | wal: sync duration of 2.026348841s, expected less than 1s
Nov 03 09:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:33.229121 W | etcdserver: request "header:<ID:14919139277659071918 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-94fmv.15d39e77fd758779\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-94fmv.15d39e77fd758779\" value_size:392 lease:5695767240804296079 >> failure:<>>" with result "size:20" took too long (128.021207ms) to execute
Nov 03 09:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:33.229690 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-94fmv\" " with result "range_response_count:1 size:2946" took too long (128.771796ms) to execute
Nov 03 09:55:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:39.740097 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (130.070717ms) to execute
Nov 03 09:55:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:39.779115 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (164.667544ms) to execute
Nov 03 09:55:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:39.997827 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (156.394107ms) to execute
Nov 03 09:55:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:40.026005 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (139.181355ms) to execute
Nov 03 09:55:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:40.026297 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-2z772\" " with result "range_response_count:1 size:2738" took too long (143.45062ms) to execute
Nov 03 09:55:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:40.026515 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (182.112791ms) to execute
Nov 03 09:55:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:55:54.731717 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (109.573719ms) to execute
Nov 03 09:56:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:56:33.203880 W | etcdserver: request "header:<ID:14919139277659072784 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-gn9xj\" mod_revision:35837173 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-gn9xj\" value_size:3503 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-gn9xj\" > >>" with result "size:20" took too long (114.417917ms) to execute
Nov 03 09:56:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:56:33.218878 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-g4x6w\" " with result "range_response_count:1 size:2946" took too long (128.143399ms) to execute
Nov 03 09:57:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:00.496124 I | mvcc: store.index: compact 35835722
Nov 03 09:57:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:00.504658 I | mvcc: finished scheduled compaction at 35835722 (took 7.141978ms)
Nov 03 09:57:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:01.665324 W | etcdserver: request "header:<ID:14919139277659073122 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:35837254 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (1.143422624s) to execute
Nov 03 09:57:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:01.686970 W | wal: sync duration of 1.165516951s, expected less than 1s
Nov 03 09:57:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:01.687182 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.117740007s) to execute
Nov 03 09:57:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:01.687217 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (630.878315ms) to execute
Nov 03 09:57:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:01.687281 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (270.441431ms) to execute
Nov 03 09:57:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:01.687382 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-grafana-token-mpc2s\" " with result "range_response_count:1 size:2427" took too long (1.041470842s) to execute
Nov 03 09:57:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:01.687413 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (934.513942ms) to execute
Nov 03 09:57:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:01.687584 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (949.590702ms) to execute
Nov 03 09:57:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:57:01.687768 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (285.781938ms) to execute
Nov 03 09:59:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 09:59:28.362279 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-mn6bz\" " with result "range_response_count:1 size:2634" took too long (102.466987ms) to execute
Nov 03 10:02:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:02:00.508170 I | mvcc: store.index: compact 35837271
Nov 03 10:02:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:02:00.515536 I | mvcc: finished scheduled compaction at 35837271 (took 6.237049ms)
Nov 03 10:02:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:02:01.560155 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (560.951829ms) to execute
Nov 03 10:02:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:02:01.560521 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (468.760899ms) to execute
Nov 03 10:02:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:02:01.560745 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (467.020065ms) to execute
Nov 03 10:02:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:02:01.561023 W | etcdserver: request "header:<ID:14919139277659076309 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:35837881 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:3955 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (415.634363ms) to execute
Nov 03 10:02:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:02:01.586511 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (118.227427ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.080592 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (147.235493ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.081088 W | etcdserver: request "header:<ID:14919139277659077143 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:35838062 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:3023 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (139.131258ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.100432 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (160.186077ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.131441 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (178.712373ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.131722 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-cleanup-secrets-1.1.5-9qnwd\" " with result "range_response_count:1 size:2159" took too long (188.0484ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.131932 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (188.790217ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.342845 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (193.600013ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.343837 W | etcdserver: request "header:<ID:14919139277659077163 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/grafana\" mod_revision:35837851 > success:<request_put:<key:\"/registry/deployments/istio-system/grafana\" value_size:7417 >> failure:<request_range:<key:\"/registry/deployments/istio-system/grafana\" > >>" with result "size:20" took too long (152.963643ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.362153 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (185.300708ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.362264 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-grafana-post-install-1.1.5-74nx5\" " with result "range_response_count:1 size:2114" took too long (181.890928ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.640220 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (187.673023ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.897481 W | etcdserver: request "header:<ID:14919139277659077202 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-mn6bz\" mod_revision:35837626 > success:<request_put:<key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-mn6bz\" value_size:3159 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-mn6bz\" > >>" with result "size:20" took too long (155.502552ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.898488 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (170.780854ms) to execute
Nov 03 10:03:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:28.921367 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (127.969835ms) to execute
Nov 03 10:03:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:29.174408 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5942" took too long (198.130328ms) to execute
Nov 03 10:03:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:29.174558 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-security-post-install-1.1.5-rzc8f\" " with result "range_response_count:1 size:2126" took too long (200.888379ms) to execute
Nov 03 10:03:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:29.174748 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (204.66532ms) to execute
Nov 03 10:03:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:29.210053 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (207.196152ms) to execute
Nov 03 10:03:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:29.210222 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:1 size:133" took too long (209.532692ms) to execute
Nov 03 10:03:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:29.432862 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (160.578581ms) to execute
Nov 03 10:03:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:29.472164 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (190.59174ms) to execute
Nov 03 10:03:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:29.698073 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/daemon-set-controller-token-xnrf6\" " with result "range_response_count:1 size:2381" took too long (177.690849ms) to execute
Nov 03 10:03:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:03:29.702100 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/daemon-set-controller-token-xnrf6\" " with result "range_response_count:1 size:2381" took too long (158.687968ms) to execute
Nov 03 10:07:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:00.520489 I | mvcc: store.index: compact 35837897
Nov 03 10:07:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:00.532333 I | mvcc: finished scheduled compaction at 35837897 (took 8.332155ms)
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.248720 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (150.532063ms) to execute
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.503282 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-cleanup-secrets-1.1.5-9qnwd\" " with result "range_response_count:1 size:2269" took too long (183.292875ms) to execute
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.503769 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-gpc5c\" " with result "range_response_count:1 size:3496" took too long (188.913946ms) to execute
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.504187 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (181.982066ms) to execute
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.537288 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (191.928934ms) to execute
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.537581 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/kubernetes-dashboard\" " with result "range_response_count:1 size:523" took too long (195.663785ms) to execute
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.760647 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (163.974031ms) to execute
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.761110 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-c5nk6\" " with result "range_response_count:1 size:3111" took too long (166.498947ms) to execute
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.761346 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (166.537264ms) to execute
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.761540 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pod-garbage-collector\" " with result "range_response_count:1 size:262" took too long (170.127424ms) to execute
Nov 03 10:07:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:52.761763 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (199.674744ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.002861 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (180.323824ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.003520 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (180.297159ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.003612 W | etcdserver: request "header:<ID:14919139277659079810 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-2w2b6\" mod_revision:35838708 > success:<request_put:<key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-2w2b6\" value_size:2553 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-2w2b6\" > >>" with result "size:20" took too long (141.243418ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.279953 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-citadel-57cff9f899-hzhk7.15d39f242a1d21d0\" " with result "range_response_count:1 size:565" took too long (215.963922ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.280042 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (218.211602ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.280187 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-grafana-post-install-1.1.5-74nx5\" " with result "range_response_count:1 size:2241" took too long (215.087454ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.280379 W | etcdserver: request "header:<ID:14919139277659079829 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" mod_revision:35838080 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" value_size:699 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" > >>" with result "size:20" took too long (177.008619ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.280645 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (193.690935ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.522203 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (169.137518ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.522253 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (169.432545ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.522569 W | etcdserver: request "header:<ID:14919139277659079851 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15d39f245a64f321\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15d39f245a64f321\" value_size:403 lease:5695767240804303541 >> failure:<>>" with result "size:20" took too long (137.376197ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.541524 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (162.51222ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.541844 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-2z772\" " with result "range_response_count:1 size:3231" took too long (173.405849ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.542029 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-hzhk7\" " with result "range_response_count:1 size:1758" took too long (175.022933ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.572373 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (178.658232ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.787786 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (207.387801ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.806482 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (191.985186ms) to execute
Nov 03 10:07:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-03 10:07:53.806624 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-hrbjd\" " with result "range_response_count:1 size:2262" took too long (189.978322ms) to execute
