-- Logs begin at Thu 2020-01-30 08:00:47 UTC, end at Sat 2020-02-01 07:10:35 UTC. --
Feb 01 06:47:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:47:57.712017 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000037cc068.snap successfully
Feb 01 06:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:48:42.541070 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (571.195927ms) to execute
Feb 01 06:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:48:42.541304 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/templates\" range_end:\"/registry/config.istio.io/templatet\" count_only:true " with result "range_response_count:0 size:7" took too long (333.001622ms) to execute
Feb 01 06:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:48:42.541510 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (334.827174ms) to execute
Feb 01 06:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:48:42.541741 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/solarwindses\" range_end:\"/registry/config.istio.io/solarwindset\" count_only:true " with result "range_response_count:0 size:7" took too long (855.516189ms) to execute
Feb 01 06:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:48:42.542032 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/rbacconfigs\" range_end:\"/registry/rbac.istio.io/rbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (481.538542ms) to execute
Feb 01 06:48:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:48:42.542295 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (238.79555ms) to execute
Feb 01 06:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:49:13.649576 I | mvcc: store.index: compact 53132379
Feb 01 06:49:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:49:13.654616 I | mvcc: finished scheduled compaction at 53132379 (took 3.757494ms)
Feb 01 06:50:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:13.115795 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (160.980171ms) to execute
Feb 01 06:50:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:13.156889 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-5fmc8\" " with result "range_response_count:1 size:2738" took too long (160.897649ms) to execute
Feb 01 06:50:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:13.157194 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (161.279687ms) to execute
Feb 01 06:50:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:13.356898 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (141.052364ms) to execute
Feb 01 06:50:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:13.387669 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (168.289084ms) to execute
Feb 01 06:50:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:25.052252 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (781.86149ms) to execute
Feb 01 06:50:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:25.067891 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/dogstatsds\" range_end:\"/registry/config.istio.io/dogstatsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (311.065111ms) to execute
Feb 01 06:50:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:25.067924 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (788.021656ms) to execute
Feb 01 06:50:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:25.068118 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (440.786729ms) to execute
Feb 01 06:50:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:25.068181 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (794.503258ms) to execute
Feb 01 06:50:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:25.068274 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (231.353387ms) to execute
Feb 01 06:50:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:50:25.068700 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/servicerolebindings\" range_end:\"/registry/rbac.istio.io/servicerolebindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (217.461489ms) to execute
Feb 01 06:51:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:51:43.231069 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (322.819221ms) to execute
Feb 01 06:52:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:52:13.127053 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1150" took too long (102.59337ms) to execute
Feb 01 06:54:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:13.664103 I | mvcc: store.index: compact 53134126
Feb 01 06:54:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:13.672939 I | mvcc: finished scheduled compaction at 53134126 (took 7.018844ms)
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.132549 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (1.192052438s) to execute
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.132633 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/destinationrules\" range_end:\"/registry/networking.istio.io/destinationrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.221168026s) to execute
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.132659 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (621.044741ms) to execute
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.132713 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/tracespans\" range_end:\"/registry/config.istio.io/tracespant\" count_only:true " with result "range_response_count:0 size:7" took too long (1.367677869s) to execute
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.132901 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (938.051486ms) to execute
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.132921 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (857.69445ms) to execute
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.133091 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.244436791s) to execute
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.133139 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (623.019877ms) to execute
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.133176 W | etcdserver: request "header:<ID:14919139277751059821 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53134869 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (572.952707ms) to execute
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.160558 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (595.424798ms) to execute
Feb 01 06:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:54:15.203413 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (570.967736ms) to execute
Feb 01 06:55:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:55:06.892127 W | etcdserver: request "header:<ID:14919139277751060419 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:53135006 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (112.228771ms) to execute
Feb 01 06:59:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:59:13.692095 I | mvcc: store.index: compact 53134893
Feb 01 06:59:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 06:59:13.698952 I | mvcc: finished scheduled compaction at 53134893 (took 5.304498ms)
Feb 01 07:01:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:01:47.563555 W | wal: sync duration of 1.005340652s, expected less than 1s
Feb 01 07:01:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:01:47.566227 W | etcdserver: read-only range request "key:\"/registry/masterleases/\" range_end:\"/registry/masterleases0\" " with result "range_response_count:1 size:133" took too long (1.036716555s) to execute
Feb 01 07:01:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:01:47.566528 W | etcdserver: request "header:<ID:14919139277751064747 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:53135899 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (1.007926164s) to execute
Feb 01 07:01:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:01:47.566742 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (465.630868ms) to execute
Feb 01 07:01:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:01:47.567020 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (683.989916ms) to execute
Feb 01 07:01:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:01:47.567271 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (150.127765ms) to execute
Feb 01 07:01:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:01:47.570532 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (270.06053ms) to execute
Feb 01 07:02:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:07.937266 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (255.461225ms) to execute
Feb 01 07:02:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:07.944108 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (257.242652ms) to execute
Feb 01 07:02:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:28.027973 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (260.156013ms) to execute
Feb 01 07:02:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:50.558632 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kuberneteses\" range_end:\"/registry/config.istio.io/kuberneteset\" count_only:true " with result "range_response_count:0 size:9" took too long (946.316726ms) to execute
Feb 01 07:02:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:50.558769 W | etcdserver: request "header:<ID:14919139277751065393 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:53136017 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (814.989761ms) to execute
Feb 01 07:02:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:50.559138 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (508.648599ms) to execute
Feb 01 07:02:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:50.559227 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2dbzl\" " with result "range_response_count:1 size:4140" took too long (630.733138ms) to execute
Feb 01 07:02:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:50.559385 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (435.15203ms) to execute
Feb 01 07:02:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:50.559578 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1466" took too long (182.540339ms) to execute
Feb 01 07:02:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:50.559855 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (472.721622ms) to execute
Feb 01 07:02:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:02:50.559907 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (429.43734ms) to execute
Feb 01 07:03:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:03:00.009840 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/servicerolebindings\" range_end:\"/registry/rbac.istio.io/servicerolebindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (262.74918ms) to execute
Feb 01 07:03:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:03:00.009893 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (444.257113ms) to execute
Feb 01 07:03:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:03:46.590790 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (258.404042ms) to execute
Feb 01 07:03:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:03:46.591249 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:6 size:13606" took too long (355.163189ms) to execute
Feb 01 07:04:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:04:14.003578 W | etcdserver: request "header:<ID:14919139277751066314 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<key:\"compact_rev_key\" version:83016 > success:<request_put:<key:\"compact_rev_key\" value_size:8 >> failure:<request_range:<key:\"compact_rev_key\" > >>" with result "size:20" took too long (305.131105ms) to execute
Feb 01 07:04:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:04:14.003766 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/adapters\" range_end:\"/registry/config.istio.io/adaptert\" count_only:true " with result "range_response_count:0 size:7" took too long (224.255896ms) to execute
Feb 01 07:04:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:04:14.010700 I | mvcc: store.index: compact 53135600
Feb 01 07:04:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:04:14.017093 I | mvcc: finished scheduled compaction at 53135600 (took 5.306264ms)
Feb 01 07:05:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:05:30.646566 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (151.661042ms) to execute
Feb 01 07:05:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:05:30.646642 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (370.473349ms) to execute
Feb 01 07:05:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:05:30.646906 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (300.471801ms) to execute
Feb 01 07:05:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:05:30.647123 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-sidecar-injector-service-account-token-w5dfl\" " with result "range_response_count:1 size:2510" took too long (134.222554ms) to execute
Feb 01 07:05:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:05:37.275866 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (517.069731ms) to execute
Feb 01 07:06:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:07.444234 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (129.551217ms) to execute
Feb 01 07:06:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:46.922085 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (414.184021ms) to execute
Feb 01 07:06:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:48.070879 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (124.110713ms) to execute
Feb 01 07:06:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:48.071094 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (197.304483ms) to execute
Feb 01 07:06:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:48.071616 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (254.360062ms) to execute
Feb 01 07:06:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:49.297459 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stackdrivers\" range_end:\"/registry/config.istio.io/stackdrivert\" count_only:true " with result "range_response_count:0 size:7" took too long (202.53729ms) to execute
Feb 01 07:06:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:53.027639 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-mixer-service-account-token-xcs5r\" " with result "range_response_count:1 size:2433" took too long (120.337201ms) to execute
Feb 01 07:06:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:53.028007 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.296703816s) to execute
Feb 01 07:06:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:53.028222 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (938.365215ms) to execute
Feb 01 07:06:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:53.028481 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (723.24668ms) to execute
Feb 01 07:06:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:53.028691 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1910" took too long (698.885032ms) to execute
Feb 01 07:06:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:53.028890 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (341.444321ms) to execute
Feb 01 07:06:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:55.924689 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (254.360186ms) to execute
Feb 01 07:06:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:57.637680 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (535.071744ms) to execute
Feb 01 07:06:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:57.637744 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (121.514387ms) to execute
Feb 01 07:06:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:57.637892 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/templates\" range_end:\"/registry/config.istio.io/templatet\" count_only:true " with result "range_response_count:0 size:7" took too long (265.783953ms) to execute
Feb 01 07:06:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:57.637985 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (118.219012ms) to execute
Feb 01 07:06:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 07:06:57.638682 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (584.718458ms) to execute
