-- Logs begin at Wed 2019-11-06 23:58:34 UTC, end at Sat 2019-11-09 19:44:11 UTC. --
Nov 09 19:22:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:22:20.422661 I | etcdserver: start to snapshot (applied: 41185066, lastsnap: 41175065)
Nov 09 19:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:22.729479 I | mvcc: store.index: compact 37338593
Nov 09 19:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:22.738777 I | mvcc: finished scheduled compaction at 37338593 (took 7.569363ms)
Nov 09 19:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:23.972314 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (592.709675ms) to execute
Nov 09 19:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:23.972353 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.075485244s) to execute
Nov 09 19:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:23.972377 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wqjxt\" " with result "range_response_count:1 size:4260" took too long (852.521893ms) to execute
Nov 09 19:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:23.972611 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kuberneteses\" range_end:\"/registry/config.istio.io/kuberneteset\" count_only:true " with result "range_response_count:0 size:9" took too long (367.689958ms) to execute
Nov 09 19:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:23.972745 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (676.921219ms) to execute
Nov 09 19:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:23.972950 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/dogstatsds\" range_end:\"/registry/config.istio.io/dogstatsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (243.47542ms) to execute
Nov 09 19:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:23.973012 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-c58rr\" " with result "range_response_count:1 size:2440" took too long (877.552504ms) to execute
Nov 09 19:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:23.973040 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (256.17935ms) to execute
Nov 09 19:29:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:23.973249 W | etcdserver: request "header:<ID:14919139277664981015 > lease_revoke:<id:4f0b6e20c7cc8f53>" with result "size:29" took too long (118.046867ms) to execute
Nov 09 19:29:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:24.192317 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-n58t5\" " with result "range_response_count:1 size:4260" took too long (302.107159ms) to execute
Nov 09 19:29:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:24.195523 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (217.399667ms) to execute
Nov 09 19:29:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:24.195846 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4273" took too long (113.225208ms) to execute
Nov 09 19:29:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:24.196210 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (162.765468ms) to execute
Nov 09 19:29:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:24.196556 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (215.695862ms) to execute
Nov 09 19:29:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:48.440295 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (130.626281ms) to execute
Nov 09 19:29:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:48.440475 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (654.371409ms) to execute
Nov 09 19:29:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:48.440678 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28930" took too long (864.811626ms) to execute
Nov 09 19:29:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:48.440795 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (281.181898ms) to execute
Nov 09 19:29:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:29:48.613599 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (136.712677ms) to execute
Nov 09 19:31:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:31:28.949141 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apps\" " with result "range_response_count:1 size:619" took too long (173.491484ms) to execute
Nov 09 19:31:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:31:28.949251 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (173.567969ms) to execute
Nov 09 19:31:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:31:28.954500 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:668" took too long (178.798316ms) to execute
Nov 09 19:31:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:31:28.954818 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (152.551689ms) to execute
Nov 09 19:31:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:31:28.955863 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha2.config.istio.io\" " with result "range_response_count:1 size:659" took too long (180.177206ms) to execute
Nov 09 19:31:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:31:28.955998 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (179.586611ms) to execute
Nov 09 19:34:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:34:22.760134 I | mvcc: store.index: compact 37339462
Nov 09 19:34:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:34:22.768582 I | mvcc: finished scheduled compaction at 37339462 (took 6.477173ms)
Nov 09 19:34:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:34:22.995440 W | etcdserver: request "header:<ID:14919139277664984324 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:37340184 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (108.581698ms) to execute
Nov 09 19:35:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:35:52.297856 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (147.798528ms) to execute
Nov 09 19:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:37:47.956884 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (176.398082ms) to execute
Nov 09 19:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:37:47.957404 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/kubernetes-dashboard\" " with result "range_response_count:1 size:523" took too long (206.898959ms) to execute
Nov 09 19:39:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:39:22.843349 I | mvcc: store.index: compact 37340208
Nov 09 19:39:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:39:22.850151 I | mvcc: finished scheduled compaction at 37340208 (took 5.484293ms)
Nov 09 19:41:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 19:41:02.803231 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1064" took too long (102.972316ms) to execute
