-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 17:52:20 UTC. --
Dec 16 17:31:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:31:11.901049 I | etcdserver: start to snapshot (applied: 48916027, lastsnap: 48906026)
Dec 16 17:39:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:39:16.685232 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (106.325096ms) to execute
Dec 16 17:41:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:41:42.970338 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (151.305904ms) to execute
Dec 16 17:41:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:41:42.970677 W | etcdserver: request "header:<ID:14919139277704816968 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:44363893 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (132.836879ms) to execute
Dec 16 17:41:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:41:42.989935 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (152.625876ms) to execute
Dec 16 17:41:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:41:42.990043 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (152.759096ms) to execute
Dec 16 17:41:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:41:43.016700 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stdios\" range_end:\"/registry/config.istio.io/stdiot\" count_only:true " with result "range_response_count:0 size:7" took too long (115.50332ms) to execute
Dec 16 17:41:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:41:43.016814 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4172" took too long (178.820935ms) to execute
Dec 16 17:41:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:41:43.017472 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6k44s\" " with result "range_response_count:1 size:2946" took too long (154.418586ms) to execute
Dec 16 17:43:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:43:43.168830 W | etcdserver: request "header:<ID:14919139277704818255 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-wwrms.15e0eaf89934984b\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-wwrms.15e0eaf89934984b\" value_size:392 lease:5695767240850042435 >> failure:<>>" with result "size:20" took too long (129.387414ms) to execute
Dec 16 17:43:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:43:43.188293 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wwrms\" " with result "range_response_count:1 size:2946" took too long (134.741458ms) to execute
Dec 16 17:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:44:16.476886 I | mvcc: store.index: compact 44363591
Dec 16 17:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:44:16.485149 I | mvcc: finished scheduled compaction at 44363591 (took 6.694906ms)
Dec 16 17:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:45:43.320066 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l4j9w\" " with result "range_response_count:1 size:2946" took too long (117.976826ms) to execute
Dec 16 17:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:45:43.545335 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dsqbg\" " with result "range_response_count:1 size:2946" took too long (138.063439ms) to execute
Dec 16 17:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:45:43.545873 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (140.122425ms) to execute
Dec 16 17:47:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:47:25.819384 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (174.343891ms) to execute
Dec 16 17:47:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:47:25.879871 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (226.108458ms) to execute
Dec 16 17:49:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:49:16.489850 I | mvcc: store.index: compact 44364289
Dec 16 17:49:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:49:16.496368 I | mvcc: finished scheduled compaction at 44364289 (took 5.295504ms)
Dec 16 17:49:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:49:45.477992 W | etcdserver: request "header:<ID:14919139277704822228 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-szjzg.15e0eb4cf2b32a73\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-szjzg.15e0eb4cf2b32a73\" value_size:392 lease:5695767240850046396 >> failure:<>>" with result "size:20" took too long (137.484603ms) to execute
Dec 16 17:49:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:49:45.479469 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e0eb149b979b77\" " with result "range_response_count:1 size:485" took too long (155.985441ms) to execute
Dec 16 17:49:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:49:45.492135 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ckxlq\" " with result "range_response_count:1 size:2946" took too long (156.682106ms) to execute
Dec 16 17:49:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:49:45.492254 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-szjzg\" " with result "range_response_count:1 size:2946" took too long (133.720496ms) to execute
Dec 16 17:49:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 17:49:45.708521 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (119.804695ms) to execute
