-- Logs begin at Fri 2019-11-08 11:29:00 UTC, end at Sun 2019-11-10 21:34:58 UTC. --
Nov 10 21:12:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:12:46.540685 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000277f1b9.snap successfully
Nov 10 21:13:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:49.102375 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecbindings\" range_end:\"/registry/config.istio.io/httpapispecbindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (445.965777ms) to execute
Nov 10 21:13:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:53.979189 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (145.104869ms) to execute
Nov 10 21:13:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:13:53.979485 W | etcdserver: request "header:<ID:14919139277665998064 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:37596800 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5604 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (126.44197ms) to execute
Nov 10 21:14:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:06.652036 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (488.238827ms) to execute
Nov 10 21:14:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:06.652238 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (132.69383ms) to execute
Nov 10 21:14:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:06.652582 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/serviceentries\" range_end:\"/registry/networking.istio.io/serviceentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (246.452318ms) to execute
Nov 10 21:14:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:08.007182 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4273" took too long (148.57881ms) to execute
Nov 10 21:14:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:08.007253 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (134.438945ms) to execute
Nov 10 21:14:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:22.111135 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (193.064318ms) to execute
Nov 10 21:14:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:22.148659 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dmwcf\" " with result "range_response_count:1 size:4150" took too long (137.401634ms) to execute
Nov 10 21:14:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:22.149144 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-mfblg\" " with result "range_response_count:1 size:2738" took too long (171.424308ms) to execute
Nov 10 21:14:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:22.149399 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (201.792439ms) to execute
Nov 10 21:14:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:22.334906 W | etcdserver: request "header:<ID:14919139277665998398 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15d5e992e4d82067\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15d5e992e4d82067\" value_size:403 lease:5695767240811222227 >> failure:<>>" with result "size:20" took too long (115.837782ms) to execute
Nov 10 21:14:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:22.335429 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (139.656317ms) to execute
Nov 10 21:14:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:22.335721 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (135.212266ms) to execute
Nov 10 21:14:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:22.336028 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-fwhv2\" " with result "range_response_count:1 size:2738" took too long (108.029382ms) to execute
Nov 10 21:14:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:38.383409 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1910" took too long (109.666966ms) to execute
Nov 10 21:14:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:44.132649 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sm598\" " with result "range_response_count:1 size:4029" took too long (220.134192ms) to execute
Nov 10 21:14:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:44.132992 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-dmwcf.15d5e9749a84b4f2\" " with result "range_response_count:1 size:468" took too long (242.216915ms) to execute
Nov 10 21:14:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:45.877799 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15d5e978fa02d54d\" " with result "range_response_count:1 size:498" took too long (121.938631ms) to execute
Nov 10 21:14:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:52.392268 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sm598\" " with result "range_response_count:1 size:4260" took too long (167.973672ms) to execute
Nov 10 21:14:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:14:52.392407 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (144.092172ms) to execute
Nov 10 21:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:07.473500 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (227.110294ms) to execute
Nov 10 21:15:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:07.473703 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/adapters\" range_end:\"/registry/config.istio.io/adaptert\" count_only:true " with result "range_response_count:0 size:7" took too long (504.879762ms) to execute
Nov 10 21:15:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:14.410705 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (136.522471ms) to execute
Nov 10 21:15:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:19.709383 I | mvcc: store.index: compact 37595320
Nov 10 21:15:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:19.710414 W | etcdserver: request "header:<ID:14919139277665999106 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:37595320 > " with result "size:7" took too long (129.228048ms) to execute
Nov 10 21:15:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:19.714987 I | mvcc: finished scheduled compaction at 37595320 (took 4.594762ms)
Nov 10 21:15:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:21.907037 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/statsds\" range_end:\"/registry/config.istio.io/statsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (101.643809ms) to execute
Nov 10 21:15:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:21.907495 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (298.231543ms) to execute
Nov 10 21:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:22.104246 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (107.516605ms) to execute
Nov 10 21:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:22.104397 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (108.573673ms) to execute
Nov 10 21:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:22.104685 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (103.643258ms) to execute
Nov 10 21:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:22.248264 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (130.589377ms) to execute
Nov 10 21:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:22.509175 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-x5srv\" " with result "range_response_count:1 size:2738" took too long (238.244538ms) to execute
Nov 10 21:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:22.509304 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (256.238113ms) to execute
Nov 10 21:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:22.523667 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (240.558121ms) to execute
Nov 10 21:15:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:22.708700 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:6 size:13606" took too long (128.812626ms) to execute
Nov 10 21:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:23.572356 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sm598\" " with result "range_response_count:1 size:4140" took too long (435.935084ms) to execute
Nov 10 21:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:23.634908 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (208.422145ms) to execute
Nov 10 21:15:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:44.891630 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (207.107416ms) to execute
Nov 10 21:15:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:44.891740 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/tracespans\" range_end:\"/registry/config.istio.io/tracespant\" count_only:true " with result "range_response_count:0 size:7" took too long (294.041535ms) to execute
Nov 10 21:15:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:54.400173 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (371.28493ms) to execute
Nov 10 21:15:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:54.400261 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (315.846379ms) to execute
Nov 10 21:15:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:54.400652 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/solarwindses\" range_end:\"/registry/config.istio.io/solarwindset\" count_only:true " with result "range_response_count:0 size:7" took too long (318.111477ms) to execute
Nov 10 21:15:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:54.401137 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (146.083719ms) to execute
Nov 10 21:15:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:54.402651 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (371.31488ms) to execute
Nov 10 21:15:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:15:54.403437 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (124.80951ms) to execute
Nov 10 21:16:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:16:15.124685 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (108.027926ms) to execute
Nov 10 21:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:16:29.517624 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (320.203306ms) to execute
Nov 10 21:16:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:16:45.051223 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (144.30432ms) to execute
Nov 10 21:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:16:49.448319 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (393.098969ms) to execute
Nov 10 21:16:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:16:49.448478 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5676" took too long (128.816322ms) to execute
Nov 10 21:16:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:16:59.500134 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (295.807011ms) to execute
Nov 10 21:17:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:00.006782 W | etcdserver: request "header:<ID:14919139277666000232 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:37597317 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (166.721302ms) to execute
Nov 10 21:17:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:01.918390 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (232.630218ms) to execute
Nov 10 21:17:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:05.604713 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (756.508532ms) to execute
Nov 10 21:17:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:18.189350 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (115.093909ms) to execute
Nov 10 21:17:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:20.677258 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (108.145321ms) to execute
Nov 10 21:17:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:20.677894 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (110.043295ms) to execute
Nov 10 21:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:30.732691 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (146.27164ms) to execute
Nov 10 21:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:30.732728 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (145.926141ms) to execute
Nov 10 21:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:30.732765 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (145.983528ms) to execute
Nov 10 21:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:30.732837 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (467.204811ms) to execute
Nov 10 21:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:30.732906 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (146.068093ms) to execute
Nov 10 21:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:30.732997 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta2.autoscaling\" " with result "range_response_count:1 size:640" took too long (145.859448ms) to execute
Nov 10 21:17:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:32.229390 W | etcdserver: request "header:<ID:14919139277666000654 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:37597415 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (245.754704ms) to execute
Nov 10 21:17:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:33.275743 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (273.186415ms) to execute
Nov 10 21:17:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:33.275798 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (382.346757ms) to execute
Nov 10 21:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:36.890154 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (124.694004ms) to execute
Nov 10 21:17:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:39.298998 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (261.109177ms) to execute
Nov 10 21:17:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:39.826927 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5676" took too long (205.646804ms) to execute
Nov 10 21:17:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:39.826994 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (744.734908ms) to execute
Nov 10 21:17:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:39.827148 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (721.431198ms) to execute
Nov 10 21:17:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:40.033448 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/logentries\" range_end:\"/registry/config.istio.io/logentriet\" count_only:true " with result "range_response_count:0 size:9" took too long (189.557836ms) to execute
Nov 10 21:17:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:40.033593 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (143.78474ms) to execute
Nov 10 21:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 21:17:49.530988 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-f8fb9\" " with result "range_response_count:1 size:2314" took too long (209.637054ms) to execute
