-- Logs begin at Thu 2019-10-31 07:39:49 UTC, end at Sat 2019-11-02 19:41:10 UTC. --
Nov 02 19:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:09.843946 I | etcdserver: start to snapshot (applied: 39434876, lastsnap: 39424875)
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.643417 W | etcdserver: read-only range request "key:\"/registry/masterleases/\" range_end:\"/registry/masterleases0\" " with result "range_response_count:1 size:133" took too long (162.651938ms) to execute
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.643700 W | etcdserver: request "header:<ID:14919139277658525135 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-krwvb\" mod_revision:35721427 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-krwvb\" value_size:2981 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-krwvb\" > >>" with result "size:20" took too long (124.447215ms) to execute
Nov 02 19:20:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:34.643835 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (140.768614ms) to execute
Nov 02 19:20:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:35.504101 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000258f727.snap successfully
Nov 02 19:20:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:37.201490 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kztm2\" " with result "range_response_count:1 size:2946" took too long (120.859513ms) to execute
Nov 02 19:20:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:41.500727 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (131.03633ms) to execute
Nov 02 19:20:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:49.268078 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (177.204209ms) to execute
Nov 02 19:20:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:49.300555 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (126.358865ms) to execute
Nov 02 19:20:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:49.300644 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-ndq67\" " with result "range_response_count:1 size:2738" took too long (172.363205ms) to execute
Nov 02 19:20:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:49.300901 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (105.753514ms) to execute
Nov 02 19:20:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:49.301077 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (187.359319ms) to execute
Nov 02 19:20:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:20:49.301247 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (187.057715ms) to execute
Nov 02 19:21:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:21:52.918358 I | mvcc: store.index: compact 35719856
Nov 02 19:21:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:21:52.926410 I | mvcc: finished scheduled compaction at 35719856 (took 4.619658ms)
Nov 02 19:21:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:21:53.322455 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (128.229105ms) to execute
Nov 02 19:23:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:23:07.363557 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d36e967281e269\" " with result "range_response_count:1 size:485" took too long (155.607191ms) to execute
Nov 02 19:23:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:23:07.393769 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-glv64\" " with result "range_response_count:1 size:2946" took too long (141.475798ms) to execute
Nov 02 19:24:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:24:37.256544 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (110.817435ms) to execute
Nov 02 19:24:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:24:37.468018 W | etcdserver: request "header:<ID:14919139277658528360 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d36e967281e269\" mod_revision:35722360 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d36e967281e269\" value_size:386 lease:5695767240803752524 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d36e967281e269\" > >>" with result "size:20" took too long (108.725378ms) to execute
Nov 02 19:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:25:37.533217 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (157.845311ms) to execute
Nov 02 19:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:25:37.533512 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d36e967281e269\" " with result "range_response_count:1 size:485" took too long (157.171338ms) to execute
Nov 02 19:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:25:37.564264 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-m58bf\" " with result "range_response_count:1 size:2946" took too long (101.650019ms) to execute
Nov 02 19:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:25:37.564302 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/backend\" " with result "range_response_count:1 size:2669" took too long (168.564537ms) to execute
Nov 02 19:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:25:37.564712 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-l5v5p\" " with result "range_response_count:1 size:2946" took too long (157.355253ms) to execute
Nov 02 19:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:25:37.565454 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (169.144159ms) to execute
Nov 02 19:26:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:52.995604 I | mvcc: store.index: compact 35721804
Nov 02 19:26:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:53.006113 I | mvcc: finished scheduled compaction at 35721804 (took 8.794007ms)
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.551484 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.440266935s) to execute
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.551559 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.37344552s) to execute
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.551613 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (1.357880909s) to execute
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.551832 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (1.171751582s) to execute
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.551864 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "range_response_count:0 size:9" took too long (827.994771ms) to execute
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.552113 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.313013058s) to execute
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.552278 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (292.409879ms) to execute
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.552331 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/rbacs\" range_end:\"/registry/config.istio.io/rbact\" count_only:true " with result "range_response_count:0 size:7" took too long (1.030012951s) to execute
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.552472 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (792.597688ms) to execute
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.552618 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-mixer-service-account-token-7mcrz\" " with result "range_response_count:1 size:2433" took too long (1.386955857s) to execute
Nov 02 19:26:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:26:54.552732 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (788.254154ms) to execute
Nov 02 19:28:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:28:21.969426 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1480" took too long (429.887064ms) to execute
Nov 02 19:28:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:28:21.978397 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (236.67333ms) to execute
Nov 02 19:31:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:31:53.010380 I | mvcc: store.index: compact 35722791
Nov 02 19:31:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:31:53.018666 I | mvcc: finished scheduled compaction at 35722791 (took 6.483453ms)
Nov 02 19:31:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:31:53.441615 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-hjc54\" " with result "range_response_count:1 size:2314" took too long (247.01853ms) to execute
Nov 02 19:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:33:38.640433 W | etcdserver: request "header:<ID:14919139277658534521 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-pilot-759bbfd844.15d36f6f423c6a8c\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-pilot-759bbfd844.15d36f6f423c6a8c\" value_size:376 lease:5695767240803758691 >> failure:<>>" with result "size:20" took too long (110.620088ms) to execute
Nov 02 19:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:33:38.641235 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (111.786922ms) to execute
Nov 02 19:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:33:38.675906 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (144.461646ms) to execute
Nov 02 19:33:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:33:38.877981 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (142.045562ms) to execute
Nov 02 19:36:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:36:53.023422 I | mvcc: store.index: compact 35723478
Nov 02 19:36:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 19:36:53.036090 I | mvcc: finished scheduled compaction at 35723478 (took 9.956648ms)
