-- Logs begin at Sun 2019-11-10 04:23:24 UTC, end at Tue 2019-11-12 09:39:06 UTC. --
Nov 12 09:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:19:26.807596 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000550-00000000027eb5b3.wal is created
Nov 12 09:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:24:28.009255 W | etcdserver: request "header:<ID:14919139277667435997 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-n8nmc\" mod_revision:37961251 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-n8nmc\" value_size:3504 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-n8nmc\" > >>" with result "size:20" took too long (123.314868ms) to execute
Nov 12 09:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:24:28.024691 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (118.529555ms) to execute
Nov 12 09:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:25:27.860634 W | etcdserver: request "header:<ID:14919139277667436657 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-f9mpv.15d6600cc2553fc2\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-f9mpv.15d6600cc2553fc2\" value_size:392 lease:5695767240812660833 >> failure:<>>" with result "size:20" took too long (122.694991ms) to execute
Nov 12 09:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:25:27.861241 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-f9mpv\" " with result "range_response_count:1 size:2946" took too long (103.746611ms) to execute
Nov 12 09:25:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:25:45.700560 I | mvcc: store.index: compact 37960688
Nov 12 09:25:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:25:45.707669 I | mvcc: finished scheduled compaction at 37960688 (took 5.492204ms)
Nov 12 09:27:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:27:27.921942 W | etcdserver: request "header:<ID:14919139277667437967 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:37961679 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:987 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (107.265198ms) to execute
Nov 12 09:29:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:29:25.590183 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (107.931382ms) to execute
Nov 12 09:29:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:29:25.812310 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-nlpf9\" " with result "range_response_count:1 size:2620" took too long (111.501868ms) to execute
Nov 12 09:29:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:29:25.812381 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:532" took too long (114.00741ms) to execute
Nov 12 09:30:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:30:28.184115 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (154.23312ms) to execute
Nov 12 09:30:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:30:28.184222 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-flr7j\" " with result "range_response_count:1 size:2946" took too long (140.788166ms) to execute
Nov 12 09:30:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:30:28.184790 W | etcdserver: request "header:<ID:14919139277667440118 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d66036c96d6c44\" mod_revision:37962222 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d66036c96d6c44\" value_size:386 lease:5695767240812663642 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d66036c96d6c44\" > >>" with result "size:20" took too long (121.025636ms) to execute
Nov 12 09:30:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:30:45.724452 I | mvcc: store.index: compact 37961465
Nov 12 09:30:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:30:45.730359 I | mvcc: finished scheduled compaction at 37961465 (took 4.869078ms)
Nov 12 09:35:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:35:30.611813 W | etcdserver: request "header:<ID:14919139277667443381 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:37962900 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (125.547483ms) to execute
Nov 12 09:35:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:35:45.737731 I | mvcc: store.index: compact 37962304
Nov 12 09:35:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:35:45.747550 I | mvcc: finished scheduled compaction at 37962304 (took 8.183668ms)
Nov 12 09:35:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:35:46.558263 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (719.790271ms) to execute
Nov 12 09:35:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:35:46.558731 W | etcdserver: request "header:<ID:14919139277667443617 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:37962948 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4198 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (551.802586ms) to execute
Nov 12 09:35:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:35:46.574058 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/memquotas\" range_end:\"/registry/config.istio.io/memquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (405.082436ms) to execute
Nov 12 09:35:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:35:46.577965 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (373.895776ms) to execute
Nov 12 09:35:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:35:46.578211 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (285.41722ms) to execute
Nov 12 09:35:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:35:46.578399 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/destinationrules\" range_end:\"/registry/networking.istio.io/destinationrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (286.572054ms) to execute
Nov 12 09:35:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:35:46.578618 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (317.878342ms) to execute
Nov 12 09:36:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:36:05.197641 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4273" took too long (118.336338ms) to execute
Nov 12 09:36:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:36:05.197952 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (439.072896ms) to execute
Nov 12 09:36:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:36:27.002225 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/grafana-6585df8c56-622tq.15d660349d19835e\" " with result "range_response_count:1 size:603" took too long (234.521874ms) to execute
Nov 12 09:36:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 09:36:27.002419 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (220.486012ms) to execute
