-- Logs begin at Mon 2019-12-16 15:39:59 UTC, end at Wed 2019-12-18 07:35:37 UTC. --
Dec 18 07:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:13:12.609817 N | compactor: Starting auto-compaction at revision 44661190
Dec 18 07:16:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:16:39.226716 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1150" took too long (177.904101ms) to execute
Dec 18 07:16:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:16:39.226783 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (178.224888ms) to execute
Dec 18 07:16:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:16:39.226987 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (171.366703ms) to execute
Dec 18 07:16:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:16:39.227176 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-f4gwd\" " with result "range_response_count:1 size:2738" took too long (167.745591ms) to execute
Dec 18 07:16:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:16:39.262019 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (175.134107ms) to execute
Dec 18 07:16:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:16:39.262290 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (188.775969ms) to execute
Dec 18 07:16:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:16:39.262492 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (189.424802ms) to execute
Dec 18 07:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:18:00.048146 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1063" took too long (124.392496ms) to execute
Dec 18 07:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:18:00.048631 W | etcdserver: request "header:<ID:14919139277706312649 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-h6csl.15e165fc8caef777\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-h6csl.15e165fc8caef777\" value_size:392 lease:5695767240851536678 >> failure:<>>" with result "size:20" took too long (118.621467ms) to execute
Dec 18 07:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:18:00.049131 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (102.502644ms) to execute
Dec 18 07:18:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:18:01.630652 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (331.88943ms) to execute
Dec 18 07:19:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:19:46.994756 W | etcdserver: request "header:<ID:14919139277706313879 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:44741785 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4071 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (346.27272ms) to execute
Dec 18 07:19:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:19:46.994870 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (185.775827ms) to execute
Dec 18 07:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:20:09.095386 I | mvcc: store.index: compact 44741053
Dec 18 07:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:20:09.105660 I | mvcc: finished scheduled compaction at 44741053 (took 8.581966ms)
Dec 18 07:20:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:20:10.435723 W | etcdserver: request "header:<ID:14919139277706314143 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:44741846 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (593.786581ms) to execute
Dec 18 07:20:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:20:10.462105 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (117.333505ms) to execute
Dec 18 07:20:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:20:10.462200 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (191.915236ms) to execute
Dec 18 07:22:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:22:23.124292 I | etcdserver: start to snapshot (applied: 49326070, lastsnap: 49316069)
Dec 18 07:22:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:22:23.199991 I | etcdserver: saved snapshot at index 49326070
Dec 18 07:22:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:22:23.200503 I | etcdserver: compacted raft log at 49321070
Dec 18 07:22:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:22:42.858985 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002efe4a1.snap successfully
Dec 18 07:25:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:25:09.109910 I | mvcc: store.index: compact 44741867
Dec 18 07:25:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:25:09.117507 I | mvcc: finished scheduled compaction at 44741867 (took 5.575805ms)
Dec 18 07:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:30:09.124723 I | mvcc: store.index: compact 44742519
Dec 18 07:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 07:30:09.131434 I | mvcc: finished scheduled compaction at 44742519 (took 5.307337ms)
