-- Logs begin at Fri 2020-01-31 15:46:29 UTC, end at Sun 2020-02-02 02:47:33 UTC. --
Feb 02 02:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:24:28.843848 N | compactor: Starting auto-compaction at revision 53245659
Feb 02 02:35:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:35:11.496480 W | etcdserver: request "header:<ID:14919139277751844956 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:53332751 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:64 lease:5695767240897069146 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (419.482486ms) to execute
Feb 02 02:35:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:35:57.099332 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (150.397065ms) to execute
Feb 02 02:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:36:04.635600 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (360.468146ms) to execute
Feb 02 02:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:36:04.635911 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (728.622494ms) to execute
Feb 02 02:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:36:04.963661 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/heapster\" " with result "range_response_count:0 size:7" took too long (322.380039ms) to execute
Feb 02 02:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:36:04.965768 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (324.260796ms) to execute
Feb 02 02:36:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:36:04.965800 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (288.935571ms) to execute
Feb 02 02:36:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:36:46.662109 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (150.748102ms) to execute
Feb 02 02:39:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:39:30.074296 I | mvcc: store.index: compact 53332698
Feb 02 02:39:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:39:30.081140 I | mvcc: finished scheduled compaction at 53332698 (took 4.545086ms)
Feb 02 02:41:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:09.430616 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (132.080519ms) to execute
Feb 02 02:41:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:17.115647 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (116.119874ms) to execute
Feb 02 02:41:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:17.115796 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (217.589531ms) to execute
Feb 02 02:41:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:23.077255 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (371.402986ms) to execute
Feb 02 02:41:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:23.099667 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (352.119783ms) to execute
Feb 02 02:41:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:23.683466 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3153" took too long (577.90243ms) to execute
Feb 02 02:41:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:23.683999 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (412.70902ms) to execute
Feb 02 02:41:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:23.684141 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (338.373522ms) to execute
Feb 02 02:41:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:24.352938 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (176.606995ms) to execute
Feb 02 02:41:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:28.620793 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (525.097053ms) to execute
Feb 02 02:41:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:28.621057 W | etcdserver: failed to revoke 4f0b6e20ccfa0ade ("lease not found")
Feb 02 02:41:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:33.857461 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (123.708768ms) to execute
Feb 02 02:41:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:33.857592 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (155.885875ms) to execute
Feb 02 02:41:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:38.762789 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (265.028376ms) to execute
Feb 02 02:41:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:40.660228 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:32271" took too long (101.613283ms) to execute
Feb 02 02:41:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:41.069776 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28480" took too long (157.375661ms) to execute
Feb 02 02:41:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:43.013410 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (234.688509ms) to execute
Feb 02 02:41:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:44.437279 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (564.024728ms) to execute
Feb 02 02:41:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:44.439196 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (535.698713ms) to execute
Feb 02 02:41:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:44.439420 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (164.688281ms) to execute
Feb 02 02:41:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:41:44.439580 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (433.249869ms) to execute
Feb 02 02:42:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:42:04.689581 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (122.523466ms) to execute
Feb 02 02:42:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:42:04.690041 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (108.945995ms) to execute
Feb 02 02:42:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:42:52.030862 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (130.669317ms) to execute
Feb 02 02:42:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:42:57.798955 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (184.989508ms) to execute
Feb 02 02:42:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:42:59.974336 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (165.470587ms) to execute
Feb 02 02:43:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:03.868975 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (358.91219ms) to execute
Feb 02 02:43:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:05.333760 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (307.243361ms) to execute
Feb 02 02:43:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:05.334331 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (130.140114ms) to execute
Feb 02 02:43:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:13.929783 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1480" took too long (763.244477ms) to execute
Feb 02 02:43:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:13.933769 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (626.065705ms) to execute
Feb 02 02:43:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:13.934296 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (151.828468ms) to execute
Feb 02 02:43:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:24.170875 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (157.803033ms) to execute
Feb 02 02:43:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:36.004493 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (396.820124ms) to execute
Feb 02 02:43:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:36.004753 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (658.581901ms) to execute
Feb 02 02:43:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:36.004925 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (558.349523ms) to execute
Feb 02 02:43:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:44.404664 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (138.343374ms) to execute
Feb 02 02:43:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:44.696659 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (422.390836ms) to execute
Feb 02 02:43:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:47.880101 W | etcdserver: request "header:<ID:14919139277751848788 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:53333649 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (666.721688ms) to execute
Feb 02 02:43:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:47.880236 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (577.922612ms) to execute
Feb 02 02:43:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:54.730839 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (456.483281ms) to execute
Feb 02 02:43:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:54.735480 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (275.805046ms) to execute
Feb 02 02:43:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:43:54.736039 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (212.504939ms) to execute
Feb 02 02:44:04 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 02:44:04.487294 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (213.355506ms) to execute
