-- Logs begin at Tue 2019-12-17 22:38:51 UTC, end at Thu 2019-12-19 12:31:01 UTC. --
Dec 19 12:08:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:08:44.747699 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000633-0000000002f2e183.wal successfully
Dec 19 12:11:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:11:06.291230 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (976.497054ms) to execute
Dec 19 12:11:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:11:06.291570 W | etcdserver: request "header:<ID:14919139277707480636 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:45036813 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (640.52167ms) to execute
Dec 19 12:11:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:11:06.298654 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (486.903947ms) to execute
Dec 19 12:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:12:34.442054 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1c4963fffb12b\" " with result "range_response_count:1 size:485" took too long (150.715108ms) to execute
Dec 19 12:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:12:34.442271 W | etcdserver: request "header:<ID:14919139277707481471 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-89p8m\" mod_revision:45037084 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-89p8m\" value_size:1426 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-89p8m\" > >>" with result "size:20" took too long (135.98598ms) to execute
Dec 19 12:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:12:34.458998 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (166.296914ms) to execute
Dec 19 12:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:12:34.459645 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (167.258338ms) to execute
Dec 19 12:12:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:12:34.661279 W | etcdserver: request "header:<ID:14919139277707481497 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e1c4963fffb12b\" mod_revision:45037116 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e1c4963fffb12b\" value_size:386 lease:5695767240852705616 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e1c4963fffb12b\" > >>" with result "size:20" took too long (116.741377ms) to execute
Dec 19 12:12:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:12:36.753031 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vkh4w\" " with result "range_response_count:1 size:1502" took too long (143.490007ms) to execute
Dec 19 12:12:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:12:41.632950 W | etcdserver: request "header:<ID:14919139277707481632 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:45037199 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (117.367697ms) to execute
Dec 19 12:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:13:10.433910 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.024344123s) to execute
Dec 19 12:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:13:10.433994 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1479" took too long (457.654062ms) to execute
Dec 19 12:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:13:10.434037 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.460852045s) to execute
Dec 19 12:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:13:12.220093 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (160.594056ms) to execute
Dec 19 12:13:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:13:18.492326 N | compactor: Starting auto-compaction at revision 44954787
Dec 19 12:13:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:13:18.492679 N | compactor: Finished auto-compaction at revision 44954787
Dec 19 12:15:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:15:54.200549 I | mvcc: store.index: compact 45036807
Dec 19 12:15:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:15:54.206238 I | mvcc: finished scheduled compaction at 45036807 (took 4.435071ms)
Dec 19 12:15:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:15:54.465474 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (190.088647ms) to execute
Dec 19 12:20:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:20:54.213587 I | mvcc: store.index: compact 45037554
Dec 19 12:20:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:20:54.219853 I | mvcc: finished scheduled compaction at 45037554 (took 4.314444ms)
Dec 19 12:20:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:20:54.419683 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (144.5704ms) to execute
Dec 19 12:20:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:20:56.337170 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (101.012365ms) to execute
Dec 19 12:21:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:21:16.686248 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (144.612368ms) to execute
Dec 19 12:21:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:21:36.051308 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (412.638157ms) to execute
Dec 19 12:21:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:21:55.368233 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (244.148793ms) to execute
Dec 19 12:22:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:22:05.658711 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (213.431871ms) to execute
Dec 19 12:22:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:22:05.658983 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (211.43779ms) to execute
Dec 19 12:22:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:22:05.659278 W | etcdserver: request "header:<ID:14919139277707485882 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:45038177 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (165.760534ms) to execute
Dec 19 12:24:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:24:37.988324 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (183.124366ms) to execute
Dec 19 12:25:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:25:54.226662 I | mvcc: store.index: compact 45038070
Dec 19 12:25:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:25:54.231533 I | mvcc: finished scheduled compaction at 45038070 (took 3.681597ms)
Dec 19 12:28:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:28:08.989533 I | etcdserver: start to snapshot (applied: 49646106, lastsnap: 49636105)
Dec 19 12:28:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:28:09.087196 I | etcdserver: saved snapshot at index 49646106
Dec 19 12:28:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:28:09.087911 I | etcdserver: compacted raft log at 49641106
Dec 19 12:28:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:28:14.759079 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002f4c6c5.snap successfully
Dec 19 12:28:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:28:23.925059 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (156.269585ms) to execute
Dec 19 12:28:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 12:28:23.925144 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (111.124388ms) to execute
