-- Logs begin at Tue 2019-10-29 00:05:09 UTC, end at Fri 2019-11-01 19:43:57 UTC. --
Nov 01 19:22:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:22:44.709552 I | wal: segmented wal file /var/lib/etcd/member/wal/00000000000004fe-000000000255cd95.wal is created
Nov 01 19:33:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:24.410143 W | etcdserver: request "header:<ID:14919139277657577151 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/daemonsets/kube-system/kube-proxy\" mod_revision:35482160 > success:<request_put:<key:\"/registry/daemonsets/kube-system/kube-proxy\" value_size:1059 >> failure:<request_range:<key:\"/registry/daemonsets/kube-system/kube-proxy\" > >>" with result "size:20" took too long (128.431085ms) to execute
Nov 01 19:33:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:33:27.729546 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway.15d31d3d6c20412c\" " with result "range_response_count:1 size:557" took too long (125.852063ms) to execute
Nov 01 19:36:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:36:36.570691 I | mvcc: store.index: compact 35484325
Nov 01 19:36:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:36:36.581273 I | mvcc: finished scheduled compaction at 35484325 (took 6.332326ms)
Nov 01 19:36:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:36:37.129548 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (474.452011ms) to execute
Nov 01 19:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:44.646783 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (151.573585ms) to execute
Nov 01 19:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:44.646965 W | etcdserver: request "header:<ID:14919139277657579453 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:35485113 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4403 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (133.403003ms) to execute
Nov 01 19:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:44.647029 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-tctd2\" " with result "range_response_count:1 size:2238" took too long (152.681804ms) to execute
Nov 01 19:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:44.897128 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (179.254455ms) to execute
Nov 01 19:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:44.897163 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-cleanup-secrets-1.1.5-pstjm\" " with result "range_response_count:1 size:2270" took too long (185.944007ms) to execute
Nov 01 19:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:44.897250 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-lns2w\" " with result "range_response_count:1 size:3496" took too long (188.202281ms) to execute
Nov 01 19:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:44.901408 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3042" took too long (161.282966ms) to execute
Nov 01 19:37:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:44.901984 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (159.560182ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.136655 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-citadel-57cff9f899\" " with result "range_response_count:1 size:1639" took too long (170.097962ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.175603 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/statsds\" range_end:\"/registry/config.istio.io/statsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (167.720279ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.175913 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/grafana-6585df8c56-lns2w.15d321140103ab24\" " with result "range_response_count:1 size:547" took too long (183.827247ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.176221 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-lns2w\" " with result "range_response_count:1 size:3496" took too long (184.97265ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.176462 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-lns2w\" " with result "range_response_count:1 size:3496" took too long (185.914778ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.389900 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (198.221534ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.390166 W | etcdserver: request "header:<ID:14919139277657579494 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-tlsg5\" mod_revision:35485156 > success:<request_put:<key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-tlsg5\" value_size:1671 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-tlsg5\" > >>" with result "size:20" took too long (152.852848ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.390703 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-tlsg5\" " with result "range_response_count:1 size:1758" took too long (167.56467ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.390818 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-citadel-57cff9f899-tlsg5.15d321140e0e62e2\" " with result "range_response_count:1 size:565" took too long (165.851264ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.390894 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-qlbll\" " with result "range_response_count:1 size:3111" took too long (166.105752ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.664132 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (174.599062ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.678891 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-tlsg5\" " with result "range_response_count:1 size:1758" took too long (187.271067ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.679213 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-tlsg5\" " with result "range_response_count:1 size:1758" took too long (188.356245ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.679250 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-citadel-57cff9f899-tlsg5.15d321140e0e62e2\" " with result "range_response_count:1 size:565" took too long (184.518952ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.916887 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-wrv68\" " with result "range_response_count:1 size:2732" took too long (173.310684ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.917164 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-galley\" " with result "range_response_count:1 size:4632" took too long (174.939539ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.917197 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (153.214794ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.917217 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-grafana-post-install-1.1.5-zgws7\" " with result "range_response_count:1 size:2242" took too long (178.186151ms) to execute
Nov 01 19:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:45.917489 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-wrv68\" " with result "range_response_count:1 size:2732" took too long (152.05555ms) to execute
Nov 01 19:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:46.159883 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1149" took too long (169.784222ms) to execute
Nov 01 19:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:46.160004 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-bhc9s\" " with result "range_response_count:1 size:3230" took too long (172.425988ms) to execute
Nov 01 19:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:46.160090 W | etcdserver: request "header:<ID:14919139277657579555 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-wrv68.15d32114400ba19a\" mod_revision:35485201 > success:<request_put:<key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-wrv68.15d32114400ba19a\" value_size:461 lease:5695767240802803487 >> failure:<request_range:<key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-wrv68.15d32114400ba19a\" > >>" with result "size:20" took too long (138.281707ms) to execute
Nov 01 19:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:46.177034 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-wrv68\" " with result "range_response_count:1 size:2732" took too long (171.595898ms) to execute
Nov 01 19:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:46.466286 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-wrv68\" " with result "range_response_count:1 size:2732" took too long (200.054984ms) to execute
Nov 01 19:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:46.482231 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-wrv68.15d32114400ba19a\" " with result "range_response_count:1 size:583" took too long (214.028293ms) to execute
Nov 01 19:37:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 19:37:46.745827 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-jl6fj\" " with result "range_response_count:1 size:2850" took too long (178.796288ms) to execute
