-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 11:20:59 UTC. --
Feb 01 10:59:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:59:17.578333 I | mvcc: store.index: compact 53171934
Feb 01 11:04:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:04:17.603844 I | mvcc: finished scheduled compaction at 53172781 (took 6.782308ms)
Feb 01 11:05:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:05:08.709882 W | etcdserver: request "header:<ID:14919139277751218911 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53173603 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (108.335498ms) to execute
Feb 01 11:07:56 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:07:56.995134 W | wal: sync duration of 1.158077135s, expected less than 1s
Feb 01 11:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:07:56.999253 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.049084493s) to execute
Feb 01 11:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:07:57.005798 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (314.913877ms) to execute
Feb 01 11:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:07:57.005997 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (761.581687ms) to execute
Feb 01 11:07:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:07:57.006206 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (1.002609715s) to execute
Feb 01 11:08:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:08:30.896439 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (688.251468ms) to execute
Feb 01 11:08:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:08:30.896647 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (688.962227ms) to execute
Feb 01 11:09:08 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:09:08.787251 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (336.06712ms) to execute
Feb 01 11:09:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:09:11.943236 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/rbacs\" range_end:\"/registry/config.istio.io/rbact\" count_only:true " with result "range_response_count:0 size:7" took too long (383.784255ms) to execute
Feb 01 11:09:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:09:11.975598 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (315.380488ms) to execute
Feb 01 11:09:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:09:17.665483 I | mvcc: store.index: compact 53173516
Feb 01 11:09:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:09:17.676603 I | mvcc: finished scheduled compaction at 53173516 (took 7.751147ms)
Feb 01 11:09:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:09:41.425288 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (422.193196ms) to execute
Feb 01 11:09:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:09:41.425627 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/authorizations\" range_end:\"/registry/config.istio.io/authorizationt\" count_only:true " with result "range_response_count:0 size:7" took too long (777.273178ms) to execute
Feb 01 11:10:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:09.769816 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (492.445108ms) to execute
Feb 01 11:10:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:09.845406 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (509.421421ms) to execute
Feb 01 11:10:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:09.845766 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (145.604035ms) to execute
Feb 01 11:10:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:09.845838 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/adapters\" range_end:\"/registry/config.istio.io/adaptert\" count_only:true " with result "range_response_count:0 size:7" took too long (143.144908ms) to execute
Feb 01 11:10:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:09.845925 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (160.457742ms) to execute
Feb 01 11:10:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:09.846155 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (316.513547ms) to execute
Feb 01 11:10:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:18.403437 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jpsgk\" " with result "range_response_count:1 size:4172" took too long (471.576351ms) to execute
Feb 01 11:10:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:18.403700 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (525.841111ms) to execute
Feb 01 11:10:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:18.403771 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (600.458468ms) to execute
Feb 01 11:10:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:34.957071 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (243.850258ms) to execute
Feb 01 11:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:57.757670 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/redisquotas\" range_end:\"/registry/config.istio.io/redisquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (540.673084ms) to execute
Feb 01 11:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:57.757722 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (486.778113ms) to execute
Feb 01 11:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:57.757981 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (173.663747ms) to execute
Feb 01 11:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:57.758187 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28480" took too long (619.872398ms) to execute
Feb 01 11:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:57.758211 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (568.788914ms) to execute
Feb 01 11:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:57.758358 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (165.101648ms) to execute
Feb 01 11:10:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:10:57.758652 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (125.981657ms) to execute
Feb 01 11:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:11:05.635989 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (522.855444ms) to execute
Feb 01 11:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:11:05.636164 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (733.788586ms) to execute
Feb 01 11:11:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:11:12.502739 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (316.635749ms) to execute
Feb 01 11:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:13:55.872655 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/apikeys\" range_end:\"/registry/config.istio.io/apikeyt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.030148016s) to execute
Feb 01 11:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:13:55.872778 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (710.029204ms) to execute
Feb 01 11:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:13:55.873111 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (1.136815038s) to execute
Feb 01 11:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:13:55.873331 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (1.126099038s) to execute
Feb 01 11:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:13:55.873639 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (824.018016ms) to execute
Feb 01 11:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:13:55.874890 W | etcdserver: request "header:<ID:14919139277751224481 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53174749 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (604.755989ms) to execute
Feb 01 11:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:13:55.875277 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stdios\" range_end:\"/registry/config.istio.io/stdiot\" count_only:true " with result "range_response_count:0 size:7" took too long (490.388498ms) to execute
Feb 01 11:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:13:55.876105 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (485.699577ms) to execute
Feb 01 11:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:13:55.876356 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (458.238947ms) to execute
Feb 01 11:13:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:13:55.878199 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (1.057100638s) to execute
Feb 01 11:14:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:14:17.685699 I | mvcc: store.index: compact 53174162
Feb 01 11:14:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:14:17.696740 I | mvcc: finished scheduled compaction at 53174162 (took 8.521154ms)
Feb 01 11:17:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:17:28.540678 W | wal: sync duration of 1.086113699s, expected less than 1s
Feb 01 11:17:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:17:28.542424 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (688.509902ms) to execute
Feb 01 11:17:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:17:28.543071 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (663.162858ms) to execute
Feb 01 11:17:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:17:28.543594 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (797.649815ms) to execute
Feb 01 11:17:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:17:28.543968 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:9" took too long (172.505339ms) to execute
Feb 01 11:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:17:29.470352 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (133.073872ms) to execute
Feb 01 11:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:17:29.470445 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.authentication.istio.io\" " with result "range_response_count:1 size:683" took too long (131.736161ms) to execute
Feb 01 11:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:17:29.470561 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (138.645888ms) to execute
Feb 01 11:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:17:29.470666 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (137.381283ms) to execute
Feb 01 11:17:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 11:17:29.470796 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (138.420387ms) to execute
