-- Logs begin at Sun 2019-12-15 09:07:23 UTC, end at Mon 2019-12-16 23:39:12 UTC. --
Dec 16 23:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:36.106601 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (332.382997ms) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.125141 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (2.242858172s) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.125327 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (278.114744ms) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.126133 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.172862207s) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.126416 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (912.199629ms) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.126478 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.665858428s) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.126825 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (619.420458ms) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.130880 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (1.231993093s) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.408670 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:1 size:1295" took too long (272.241732ms) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.408779 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (267.680724ms) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.408889 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:1 size:133" took too long (269.353679ms) to execute
Dec 16 23:17:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:41.409013 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (271.308812ms) to execute
Dec 16 23:17:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:44.293142 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (763.870183ms) to execute
Dec 16 23:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:45.699969 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (203.081258ms) to execute
Dec 16 23:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:45.700175 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (275.033103ms) to execute
Dec 16 23:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:47.379852 W | wal: sync duration of 1.249974988s, expected less than 1s
Dec 16 23:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:47.385251 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (392.836334ms) to execute
Dec 16 23:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:47.683565 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (223.904706ms) to execute
Dec 16 23:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:47.683661 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (166.458028ms) to execute
Dec 16 23:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:47.683683 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (520.01802ms) to execute
Dec 16 23:17:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:47.683778 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (293.614581ms) to execute
Dec 16 23:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:49.975612 W | wal: sync duration of 2.158060427s, expected less than 1s
Dec 16 23:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:49.978615 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (949.279951ms) to execute
Dec 16 23:17:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:50.104272 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/kubernetes-dashboard\" " with result "range_response_count:1 size:523" took too long (117.150199ms) to execute
Dec 16 23:17:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:50.104363 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (385.716251ms) to execute
Dec 16 23:17:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:50.104653 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (541.801606ms) to execute
Dec 16 23:17:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:50.105002 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (411.327584ms) to execute
Dec 16 23:17:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:54.412696 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (167.169144ms) to execute
Dec 16 23:17:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:54.413052 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (138.268386ms) to execute
Dec 16 23:17:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:56.191484 W | wal: sync duration of 1.003884905s, expected less than 1s
Dec 16 23:17:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:56.194277 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (363.521292ms) to execute
Dec 16 23:17:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:56.862803 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (725.868807ms) to execute
Dec 16 23:17:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:56.862970 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (443.068964ms) to execute
Dec 16 23:17:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:56.863099 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (432.586695ms) to execute
Dec 16 23:17:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:17:57.833977 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (130.037754ms) to execute
Dec 16 23:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:00.710578 W | wal: sync duration of 2.792264316s, expected less than 1s
Dec 16 23:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:00.714301 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (2.482324342s) to execute
Dec 16 23:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:00.732765 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (2.22187071s) to execute
Dec 16 23:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:00.733136 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.645911674s) to execute
Dec 16 23:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:00.733347 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.855393745s) to execute
Dec 16 23:18:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:00.733568 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.855610718s) to execute
Dec 16 23:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:06.524935 W | wal: sync duration of 1.319857385s, expected less than 1s
Dec 16 23:18:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:06.528328 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28154" took too long (1.303999179s) to execute
Dec 16 23:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:07.317507 W | etcdserver: read-only range request "key:\"/registry/services/specs\" range_end:\"/registry/services/spect\" count_only:true " with result "range_response_count:0 size:9" took too long (1.212018622s) to execute
Dec 16 23:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:07.317660 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (551.848549ms) to execute
Dec 16 23:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:07.317725 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (549.977844ms) to execute
Dec 16 23:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:07.317741 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (282.358493ms) to execute
Dec 16 23:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:07.317800 W | etcdserver: failed to revoke 4f0b6e20ca2feea4 ("lease not found")
Dec 16 23:18:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:07.950176 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (201.365549ms) to execute
Dec 16 23:18:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:08.621494 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (770.295127ms) to execute
Dec 16 23:18:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:08.621621 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (860.522588ms) to execute
Dec 16 23:18:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:11.471480 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (632.527675ms) to execute
Dec 16 23:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:12.123332 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (237.095659ms) to execute
Dec 16 23:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:12.123405 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (670.006634ms) to execute
Dec 16 23:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:12.123727 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (279.546188ms) to execute
Dec 16 23:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:12.123828 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (782.882914ms) to execute
Dec 16 23:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:12.124076 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (786.681157ms) to execute
Dec 16 23:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:12.124326 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (670.473278ms) to execute
Dec 16 23:18:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:16.822820 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (593.134313ms) to execute
Dec 16 23:18:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:17.057853 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (648.319241ms) to execute
Dec 16 23:18:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:18.810698 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (176.062124ms) to execute
Dec 16 23:18:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:18.810814 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (714.02194ms) to execute
Dec 16 23:18:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:18.811016 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (656.783937ms) to execute
Dec 16 23:18:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:21.566102 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (746.073803ms) to execute
Dec 16 23:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:24.134773 W | wal: sync duration of 2.571831698s, expected less than 1s
Dec 16 23:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:24.138250 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (3.067972829s) to execute
Dec 16 23:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:24.138354 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (3.078621556s) to execute
Dec 16 23:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:24.138501 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (2.870355953s) to execute
Dec 16 23:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:24.138634 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.857103196s) to execute
Dec 16 23:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:24.138834 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (2.6068576s) to execute
Dec 16 23:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:24.139020 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (644.116954ms) to execute
Dec 16 23:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:24.139238 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.14542615s) to execute
Dec 16 23:18:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:24.139469 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (1.857775617s) to execute
Dec 16 23:18:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:26.716591 W | wal: sync duration of 1.480733659s, expected less than 1s
Dec 16 23:18:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:26.719339 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (567.748861ms) to execute
Dec 16 23:18:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:26.719415 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.366830619s) to execute
Dec 16 23:18:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:26.719546 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (571.986679ms) to execute
Dec 16 23:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:29.348572 W | wal: sync duration of 2.511775556s, expected less than 1s
Dec 16 23:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:29.352860 W | etcdserver: failed to revoke 4f0b6e20ca2fef0c ("lease not found")
Dec 16 23:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:29.353131 W | etcdserver: failed to revoke 4f0b6e20ca2fef0c ("lease not found")
Dec 16 23:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:29.353167 W | etcdserver: failed to revoke 4f0b6e20ca2fef0c ("lease not found")
Dec 16 23:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:29.353185 W | etcdserver: failed to revoke 4f0b6e20ca2fef0c ("lease not found")
Dec 16 23:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:29.353331 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (2.064372132s) to execute
Dec 16 23:18:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:30.096240 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.364641683s) to execute
Dec 16 23:18:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:30.096685 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.187879755s) to execute
Dec 16 23:18:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:30.096805 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (2.385070998s) to execute
Dec 16 23:18:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:30.097004 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (735.440656ms) to execute
Dec 16 23:18:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:30.097057 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.368795504s) to execute
Dec 16 23:18:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:32.282532 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-ltnck.15e0fd38e008d8f1\" " with result "range_response_count:1 size:592" took too long (647.964322ms) to execute
Dec 16 23:18:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:32.283929 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-npq2r.15e0fd375bea193c\" " with result "range_response_count:1 size:592" took too long (549.600599ms) to execute
Dec 16 23:18:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:32.284197 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (174.802362ms) to execute
Dec 16 23:18:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:32.284455 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (173.414613ms) to execute
Dec 16 23:18:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:36.526719 W | wal: sync duration of 1.261751351s, expected less than 1s
Dec 16 23:18:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:36.529632 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (221.49108ms) to execute
Dec 16 23:18:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:36.529797 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (222.077035ms) to execute
Dec 16 23:18:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:36.951191 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (236.259904ms) to execute
Dec 16 23:18:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:37.772026 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-npq2r.15e0fd3634fcb7f7\" " with result "range_response_count:1 size:591" took too long (981.826861ms) to execute
Dec 16 23:18:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:37.772303 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1424" took too long (985.266194ms) to execute
Dec 16 23:18:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 23:18:41.348144 W | wal: sync duration of 1.97852508s, expected less than 1s
