-- Logs begin at Thu 2019-12-19 12:32:44 UTC, end at Fri 2019-12-20 21:35:10 UTC. --
Dec 20 21:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:13:28.520915 N | compactor: Starting auto-compaction at revision 45295585
Dec 20 21:15:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:15:39.458816 W | etcdserver: request "header:<ID:14919139277708838054 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:45384681 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3798 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (110.68084ms) to execute
Dec 20 21:16:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:16:19.026722 I | mvcc: store.index: compact 45383686
Dec 20 21:16:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:16:19.044213 I | mvcc: finished scheduled compaction at 45383686 (took 14.985773ms)
Dec 20 21:16:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:16:19.617032 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (501.145957ms) to execute
Dec 20 21:16:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:16:19.617243 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3874" took too long (176.875412ms) to execute
Dec 20 21:18:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:18:39.611909 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e230aab950949e\" " with result "range_response_count:1 size:485" took too long (120.223741ms) to execute
Dec 20 21:18:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:18:54.177356 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000643-0000000002fb3a5e.wal is created
Dec 20 21:19:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:19:16.759782 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/000000000000063e-0000000002f89c84.wal successfully
Dec 20 21:21:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:21:19.040920 I | mvcc: store.index: compact 45384828
Dec 20 21:21:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:21:19.052361 I | mvcc: finished scheduled compaction at 45384828 (took 8.452751ms)
Dec 20 21:21:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:21:19.544470 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (219.555575ms) to execute
Dec 20 21:21:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:21:19.544686 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (435.699266ms) to execute
Dec 20 21:21:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:21:19.544857 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (109.493474ms) to execute
Dec 20 21:21:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:21:19.545089 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3874" took too long (108.209574ms) to execute
Dec 20 21:21:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:21:35.614348 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (196.08795ms) to execute
Dec 20 21:26:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:26:19.066328 I | mvcc: store.index: compact 45385450
Dec 20 21:26:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:26:19.074827 I | mvcc: finished scheduled compaction at 45385450 (took 5.988958ms)
Dec 20 21:28:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:28:55.536127 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (222.156705ms) to execute
Dec 20 21:31:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:31:19.086464 I | mvcc: store.index: compact 45385985
Dec 20 21:31:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 21:31:19.097362 I | mvcc: finished scheduled compaction at 45385985 (took 9.19233ms)
