-- Logs begin at Wed 2019-10-30 17:55:18 UTC, end at Sat 2019-11-02 10:17:26 UTC. --
Nov 02 09:55:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:05.057573 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000257707d.snap successfully
Nov 02 09:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:33.574943 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (565.104463ms) to execute
Nov 02 09:55:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:33.575077 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (311.483244ms) to execute
Nov 02 09:55:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:53.922554 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (164.098744ms) to execute
Nov 02 09:55:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:55:59.388716 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (190.64022ms) to execute
Nov 02 09:56:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:03.276545 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:30704" took too long (145.985966ms) to execute
Nov 02 09:56:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:12.950677 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (632.341768ms) to execute
Nov 02 09:56:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:24.049361 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:9" took too long (199.110268ms) to execute
Nov 02 09:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:26.700867 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (886.861272ms) to execute
Nov 02 09:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:26.701299 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (956.985348ms) to execute
Nov 02 09:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:26.701560 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/servicerolebindings\" range_end:\"/registry/rbac.istio.io/servicerolebindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (308.20342ms) to execute
Nov 02 09:56:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:26.701777 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (345.822078ms) to execute
Nov 02 09:56:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:31.583338 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (173.871427ms) to execute
Nov 02 09:56:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:31.583614 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (153.735373ms) to execute
Nov 02 09:56:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:35.821798 W | etcdserver: request "header:<ID:14919139277658158226 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d34fd2946d3e4b\" mod_revision:35628914 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d34fd2946d3e4b\" value_size:386 lease:5695767240803382299 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d34fd2946d3e4b\" > >>" with result "size:20" took too long (128.821469ms) to execute
Nov 02 09:56:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:35.843022 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4k4pw\" " with result "range_response_count:1 size:2946" took too long (140.640128ms) to execute
Nov 02 09:56:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:35.876850 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bkh86\" " with result "range_response_count:1 size:2946" took too long (175.577462ms) to execute
Nov 02 09:56:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:36.075251 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d34fd2946d3e4b\" " with result "range_response_count:1 size:485" took too long (166.559108ms) to execute
Nov 02 09:56:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:36.075522 W | etcdserver: request "header:<ID:14919139277658158243 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-wlxgr\" mod_revision:35628925 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-wlxgr\" value_size:3504 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-wlxgr\" > >>" with result "size:20" took too long (147.888143ms) to execute
Nov 02 09:56:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:39.293461 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (226.524029ms) to execute
Nov 02 09:56:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:39.298770 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bkh86\" " with result "range_response_count:1 size:3754" took too long (222.175446ms) to execute
Nov 02 09:56:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:42.936814 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (277.07942ms) to execute
Nov 02 09:56:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:44.221839 I | mvcc: store.index: compact 35626940
Nov 02 09:56:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:44.227792 I | mvcc: finished scheduled compaction at 35626940 (took 3.674425ms)
Nov 02 09:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:46.403891 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (119.519355ms) to execute
Nov 02 09:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:46.403934 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (109.867061ms) to execute
Nov 02 09:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:46.439026 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (130.492006ms) to execute
Nov 02 09:56:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:54.447858 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (145.107958ms) to execute
Nov 02 09:56:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:56:54.449185 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4030" took too long (263.834436ms) to execute
Nov 02 09:57:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:57:17.944773 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (414.53083ms) to execute
Nov 02 09:57:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:57:24.527629 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4030" took too long (363.711133ms) to execute
Nov 02 09:57:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:57:31.980322 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (127.239838ms) to execute
Nov 02 09:57:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:57:40.350491 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (308.531183ms) to execute
Nov 02 09:57:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:57:40.350560 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (493.535362ms) to execute
Nov 02 09:57:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:57:40.350700 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (721.984752ms) to execute
Nov 02 09:57:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:57:40.350759 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (295.846897ms) to execute
Nov 02 09:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:57:50.501421 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (463.725024ms) to execute
Nov 02 09:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:57:50.501675 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (405.655167ms) to execute
Nov 02 09:57:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:57:50.501736 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (108.503872ms) to execute
Nov 02 09:58:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:58:36.245141 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d34fd2946d3e4b\" " with result "range_response_count:1 size:485" took too long (113.09283ms) to execute
Nov 02 09:58:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:58:36.285588 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-flcpd\" " with result "range_response_count:1 size:2946" took too long (143.747344ms) to execute
Nov 02 09:58:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:58:36.490408 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cgzff\" " with result "range_response_count:1 size:2946" took too long (150.781835ms) to execute
Nov 02 09:58:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:58:36.525508 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (148.273039ms) to execute
Nov 02 09:58:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:58:36.525747 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mwnln\" " with result "range_response_count:1 size:2946" took too long (175.498667ms) to execute
Nov 02 09:58:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:58:36.526076 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (179.252834ms) to execute
Nov 02 09:58:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:58:49.703486 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (152.199729ms) to execute
Nov 02 09:58:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:58:56.295017 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (152.229651ms) to execute
Nov 02 09:58:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:58:56.298242 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (115.279678ms) to execute
Nov 02 09:59:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:59:02.843775 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-vcm4p\" " with result "range_response_count:1 size:2314" took too long (841.763559ms) to execute
Nov 02 09:59:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:59:49.280215 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:1 size:133" took too long (104.117664ms) to execute
Nov 02 09:59:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:59:55.514006 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (248.249746ms) to execute
Nov 02 09:59:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:59:55.514066 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (128.604853ms) to execute
Nov 02 09:59:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 09:59:55.514875 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (206.876751ms) to execute
Nov 02 10:01:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:19.795144 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (227.601301ms) to execute
Nov 02 10:01:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:44.238932 I | mvcc: store.index: compact 35629041
Nov 02 10:01:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:44.248334 I | mvcc: finished scheduled compaction at 35629041 (took 7.569812ms)
Nov 02 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:45.897537 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.421110081s) to execute
Nov 02 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:45.897975 W | etcdserver: request "header:<ID:14919139277658161765 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:35629765 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:3955 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (1.240828011s) to execute
Nov 02 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:45.924077 W | wal: sync duration of 1.267303825s, expected less than 1s
Nov 02 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:45.924374 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.20993949s) to execute
Nov 02 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:45.925306 W | etcdserver: failed to revoke 4f0b6e20c76481d6 ("lease not found")
Nov 02 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:45.955226 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.002517089s) to execute
Nov 02 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:45.956062 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (285.606303ms) to execute
Nov 02 10:01:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:01:45.956721 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (101.153962ms) to execute
Nov 02 10:02:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:02:20.556954 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (399.660264ms) to execute
Nov 02 10:02:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:02:20.559148 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (343.259102ms) to execute
Nov 02 10:02:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:02:25.644571 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (207.314914ms) to execute
Nov 02 10:02:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:02:26.986766 W | etcdserver: request "header:<ID:14919139277658162209 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:35629843 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (146.196573ms) to execute
Nov 02 10:02:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:02:26.986913 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (251.796235ms) to execute
Nov 02 10:03:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:03:27.000580 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecbindings\" range_end:\"/registry/config.istio.io/httpapispecbindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (130.049064ms) to execute
Nov 02 10:03:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:03:37.569506 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (246.40541ms) to execute
Nov 02 10:03:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:03:37.570519 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (258.704372ms) to execute
Nov 02 10:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:04:20.769539 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (271.345109ms) to execute
Nov 02 10:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:04:20.770966 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (115.933225ms) to execute
Nov 02 10:04:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:04:20.771556 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (196.76004ms) to execute
Nov 02 10:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:04:27.561862 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (188.860149ms) to execute
Nov 02 10:04:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:04:57.841109 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/metrics\" range_end:\"/registry/config.istio.io/metrict\" count_only:true " with result "range_response_count:0 size:9" took too long (763.730466ms) to execute
Nov 02 10:04:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:04:57.843028 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (640.942181ms) to execute
Nov 02 10:04:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:04:57.843353 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (429.126124ms) to execute
Nov 02 10:04:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:04:57.843538 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (172.107324ms) to execute
Nov 02 10:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:09.008638 W | wal: sync duration of 1.154259817s, expected less than 1s
Nov 02 10:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:09.013256 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (1.218501533s) to execute
Nov 02 10:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:09.013420 W | etcdserver: request "header:<ID:14919139277658163774 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:35630129 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (1.158904937s) to execute
Nov 02 10:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:09.013546 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (1.724024019s) to execute
Nov 02 10:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:09.013619 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.836415786s) to execute
Nov 02 10:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:09.013986 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.13209387s) to execute
Nov 02 10:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:09.015295 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.122324387s) to execute
Nov 02 10:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:09.015722 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (792.091417ms) to execute
Nov 02 10:05:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:09.015972 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (1.112671194s) to execute
Nov 02 10:05:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:44.093668 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (484.848096ms) to execute
Nov 02 10:05:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 10:05:44.093786 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (713.55036ms) to execute
