-- Logs begin at Fri 2019-10-25 18:53:13 UTC, end at Thu 2019-10-31 19:50:31 UTC. --
Oct 31 19:29:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:29:13.328919 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (721.499639ms) to execute
Oct 31 19:35:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:35:33.502281 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (318.647079ms) to execute
Oct 31 19:35:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:35:51.807992 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (220.759384ms) to execute
Oct 31 19:36:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:36:17.839756 I | mvcc: store.index: compact 35239838
Oct 31 19:36:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:36:17.846851 I | mvcc: finished scheduled compaction at 35239838 (took 6.1198ms)
Oct 31 19:36:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:36:18.057898 W | etcdserver: request "header:<ID:14919139277656647619 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:35240578 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:373 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (140.602474ms) to execute
Oct 31 19:36:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:36:34.389584 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (286.524848ms) to execute
Oct 31 19:36:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:36:34.389958 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (273.912492ms) to execute
Oct 31 19:37:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:37:14.065260 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (680.14215ms) to execute
Oct 31 19:37:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:37:14.065375 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (147.561851ms) to execute
Oct 31 19:38:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:38:03.524895 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (143.760582ms) to execute
Oct 31 19:38:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:38:53.174185 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (103.099691ms) to execute
Oct 31 19:39:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:39:05.000894 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (257.053015ms) to execute
Oct 31 19:39:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:39:33.227758 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (100.729661ms) to execute
Oct 31 19:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:39:35.435588 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (119.950264ms) to execute
Oct 31 19:39:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:39:35.477335 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (147.975986ms) to execute
Oct 31 19:40:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:40:06.078482 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/metrics-server-68f94cc659-8pkpg\" " with result "range_response_count:1 size:3042" took too long (376.982493ms) to execute
Oct 31 19:40:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:40:07.044086 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (632.797982ms) to execute
Oct 31 19:40:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:40:36.151868 W | wal: sync duration of 1.462141602s, expected less than 1s
Oct 31 19:40:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:40:36.154571 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (660.707437ms) to execute
Oct 31 19:40:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:40:36.197255 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (393.711608ms) to execute
Oct 31 19:40:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:40:36.197395 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (430.830544ms) to execute
Oct 31 19:40:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:40:36.197532 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (646.342307ms) to execute
Oct 31 19:40:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:40:36.197653 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (259.116425ms) to execute
Oct 31 19:41:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:41:17.882913 I | mvcc: store.index: compact 35240580
Oct 31 19:41:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:41:17.892031 I | mvcc: finished scheduled compaction at 35240580 (took 7.238222ms)
Oct 31 19:42:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:42:13.219383 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (184.206453ms) to execute
Oct 31 19:42:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:42:36.970218 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (197.906296ms) to execute
Oct 31 19:42:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:42:37.008569 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (106.247905ms) to execute
Oct 31 19:44:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:44:07.080093 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (152.587364ms) to execute
Oct 31 19:44:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:44:07.080259 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (315.611053ms) to execute
Oct 31 19:44:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:44:07.080354 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:34725" took too long (319.293118ms) to execute
Oct 31 19:44:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:44:07.372657 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (111.597693ms) to execute
Oct 31 19:44:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:44:29.721506 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (113.604744ms) to execute
Oct 31 19:44:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:44:37.582147 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1419" took too long (235.369164ms) to execute
Oct 31 19:44:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:44:37.602177 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (187.979464ms) to execute
Oct 31 19:44:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:44:37.602351 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (185.60179ms) to execute
Oct 31 19:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:46:05.841271 N | compactor: Starting auto-compaction at revision 35166017
Oct 31 19:46:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:46:05.841765 N | compactor: Finished auto-compaction at revision 35166017
Oct 31 19:46:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:46:17.915407 I | mvcc: store.index: compact 35241167
Oct 31 19:46:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:46:17.922137 I | mvcc: finished scheduled compaction at 35241167 (took 4.997533ms)
Oct 31 19:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:46:18.134122 W | etcdserver: request "header:<ID:14919139277656652314 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:35241698 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (153.84063ms) to execute
Oct 31 19:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:46:18.156585 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (110.939883ms) to execute
Oct 31 19:46:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-10-31 19:46:18.156950 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (110.832592ms) to execute
