-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 08:04:45 UTC. --
Oct 10 07:43:20 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:43:20.308288 W | wal: sync duration of 1.006652886s, expected less than 1s
Oct 10 07:45:51 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:51.259408 W | wal: sync duration of 1.080115676s, expected less than 1s
Oct 10 07:45:51 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:51.265248 W | etcdserver: failed to revoke 4f0b6da58ebb623b ("lease not found")
Oct 10 07:45:51 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:51.269844 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (596.427148ms) to execute
Oct 10 07:45:51 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:51.270077 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qsj5f\" " with result "range_response_count:1 size:1850" took too long (156.139621ms) to execute
Oct 10 07:45:51 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:51.270245 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (191.389482ms) to execute
Oct 10 07:45:51 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:51.270426 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (215.335386ms) to execute
Oct 10 07:45:51 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:51.270576 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-fxwg9.15cc39688dd00455\" " with result "range_response_count:1 size:592" took too long (237.39187ms) to execute
Oct 10 07:45:51 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:45:51.273049 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (682.298837ms) to execute
Oct 10 07:47:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:47:21.274706 I | mvcc: store.index: compact 32061161
Oct 10 07:47:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:47:21.286874 I | mvcc: finished scheduled compaction at 32061161 (took 8.988181ms)
Oct 10 07:47:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:47:21.739771 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (295.442647ms) to execute
Oct 10 07:47:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:47:21.740069 W | etcdserver: request "header:<ID:14919138748426577805 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:32062281 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (221.850491ms) to execute
Oct 10 07:47:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:47:21.763315 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (129.497063ms) to execute
Oct 10 07:47:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:47:21.763569 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-m8wdp.15cc3976a49a4229\" " with result "range_response_count:1 size:591" took too long (169.689291ms) to execute
Oct 10 07:52:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:52:21.288531 I | mvcc: store.index: compact 32062332
Oct 10 07:52:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:52:21.296628 I | mvcc: finished scheduled compaction at 32062332 (took 6.097565ms)
Oct 10 07:57:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:57:21.369604 I | mvcc: store.index: compact 32063397
Oct 10 07:57:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 07:57:21.378877 I | mvcc: finished scheduled compaction at 32063397 (took 6.997905ms)
Oct 10 08:01:52 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:01:52.416309 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (255.942312ms) to execute
Oct 10 08:02:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:02:21.385076 I | mvcc: store.index: compact 32064385
Oct 10 08:02:21 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:02:21.393686 I | mvcc: finished scheduled compaction at 32064385 (took 6.908433ms)
Oct 10 08:03:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:45.486883 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (473.208553ms) to execute
Oct 10 08:03:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:45.492925 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (332.387163ms) to execute
Oct 10 08:03:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:46.280158 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (414.453498ms) to execute
Oct 10 08:03:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:46.280660 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (415.164267ms) to execute
Oct 10 08:03:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:46.280956 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (415.28395ms) to execute
Oct 10 08:03:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:46.283425 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (417.53722ms) to execute
Oct 10 08:03:46 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:46.283660 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (417.894379ms) to execute
Oct 10 08:03:47 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:47.341312 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (159.42729ms) to execute
Oct 10 08:03:49 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:49.620537 W | wal: sync duration of 1.739726149s, expected less than 1s
Oct 10 08:03:49 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:49.624195 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.392237832s) to execute
Oct 10 08:03:49 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:49.629357 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fbgch\" " with result "range_response_count:1 size:1854" took too long (228.441267ms) to execute
Oct 10 08:03:49 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:49.629835 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (594.672333ms) to execute
Oct 10 08:03:49 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:49.630457 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (1.056334505s) to execute
Oct 10 08:03:49 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:03:49.632506 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (119.453011ms) to execute
