-- Logs begin at Wed 2020-01-29 20:49:21 UTC, end at Fri 2020-01-31 18:15:55 UTC. --
Jan 31 17:52:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:52:57.415383 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000737-000000000378eff8.wal successfully
Jan 31 17:53:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:17.468759 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r87fj\" " with result "range_response_count:1 size:1121" took too long (131.798571ms) to execute
Jan 31 17:53:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:52.661296 I | mvcc: store.index: compact 53002937
Jan 31 17:53:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:53:52.671194 I | mvcc: finished scheduled compaction at 53002937 (took 7.047382ms)
Jan 31 17:55:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:55:02.579004 W | etcdserver: request "header:<ID:14919139277750550509 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-bfppm\" mod_revision:53003845 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-bfppm\" value_size:1045 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-bfppm\" > >>" with result "size:20" took too long (118.38359ms) to execute
Jan 31 17:55:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:55:09.844082 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (112.799867ms) to execute
Jan 31 17:55:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:55:09.844213 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (104.625849ms) to execute
Jan 31 17:56:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:02.675629 W | etcdserver: request "header:<ID:14919139277750551067 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-xq6wm\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-xq6wm\" value_size:976 >> failure:<>>" with result "size:20" took too long (108.808701ms) to execute
Jan 31 17:56:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:02.676430 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (116.975346ms) to execute
Jan 31 17:56:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:02.691672 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (131.944428ms) to execute
Jan 31 17:56:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:02.691772 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7tn56\" " with result "range_response_count:1 size:1121" took too long (126.671886ms) to execute
Jan 31 17:56:02 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:02.691853 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-np9ss\" " with result "range_response_count:1 size:1118" took too long (126.600753ms) to execute
Jan 31 17:56:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:17.782987 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (272.970108ms) to execute
Jan 31 17:56:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:19.052373 W | wal: sync duration of 1.029840099s, expected less than 1s
Jan 31 17:56:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:19.923946 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.706124757s) to execute
Jan 31 17:56:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:19.924003 W | etcdserver: request "header:<ID:14919139277750551242 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:53004069 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (871.20728ms) to execute
Jan 31 17:56:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:20.092659 W | wal: sync duration of 1.040048647s, expected less than 1s
Jan 31 17:56:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:20.205677 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (1.600933767s) to execute
Jan 31 17:56:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:20.206073 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.747880974s) to execute
Jan 31 17:56:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:20.206523 W | etcdserver: request "header:<ID:14919139277750551244 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-scheduler\" mod_revision:53004099 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" value_size:374 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-scheduler\" > >>" with result "size:20" took too long (113.449037ms) to execute
Jan 31 17:56:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:20.206710 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (742.888107ms) to execute
Jan 31 17:56:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:20.207364 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (180.486283ms) to execute
Jan 31 17:56:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:32.213446 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "error:context canceled" took too long (9.999350502s) to execute
Jan 31 17:56:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:32.247087 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "error:context canceled" took too long (10.029883282s) to execute
Jan 31 17:56:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:37.214274 W | etcdserver: timed out waiting for read index response
Jan 31 17:56:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:38.663702 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:39.163980 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:39.664121 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:40.164355 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:40.664631 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:41.165085 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:41.665357 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:42.165465 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:42.665659 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:43.030228 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "error:context canceled" took too long (9.999345702s) to execute
Jan 31 17:56:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:43.165914 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:43.666291 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:44.166628 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:44.259546 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "error:context canceled" took too long (10.000854358s) to execute
Jan 31 17:56:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:44.666763 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:45.011324 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "error:context canceled" took too long (10.000414595s) to execute
Jan 31 17:56:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:45.012371 W | etcdserver: read-only range request "key:\"/registry/events/kube-system/kube-controller-manager-openhouse-demo-k8s-master-1.15d2b86a2e76e0bc\" " with result "error:context canceled" took too long (8.91843323s) to execute
Jan 31 17:56:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:45.167042 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:45.667402 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:46.167723 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:46.668038 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:47.149336 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "error:context canceled" took too long (9.999256259s) to execute
Jan 31 17:56:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:47.160424 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-wjx4m.15ef0a2962b1d1c6\" " with result "error:context canceled" took too long (6.683438489s) to execute
Jan 31 17:56:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:47.160570 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wjx4m\" " with result "error:context canceled" took too long (5.830261833s) to execute
Jan 31 17:56:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:47.168216 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:47.668766 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:48.169164 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:48.669364 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:48.669443 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:56:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:49.169695 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:49.169784 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:56:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:49.669880 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:49.669947 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:56:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:49.943628 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "error:context canceled" took too long (10.00085339s) to execute
Jan 31 17:56:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:50.170073 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:50.170125 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:56:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:50.670296 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:50.670335 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:56:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:50.670373 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:56:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:51.170734 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:56:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:51.170811 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:51.170852 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:56:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:51.670898 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:51.670975 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:56:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:51.671001 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.039432 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "error:context canceled" took too long (9.997149834s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.171286 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.171719 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.171808 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.214535 W | etcdserver: timed out waiting for read index response
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.214694 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "error:etcdserver: request timed out" took too long (17.610304814s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.214761 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "error:etcdserver: request timed out" took too long (17.676231204s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.214799 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "error:etcdserver: request timed out" took too long (17.940688361s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.214840 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "error:etcdserver: request timed out" took too long (16.940644592s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.214883 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "error:etcdserver: request timed out" took too long (19.914085113s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.214915 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "error:etcdserver: request timed out" took too long (20.05165603s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.214960 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "error:etcdserver: request timed out" took too long (20.396752695s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.214990 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "error:etcdserver: request timed out" took too long (20.499209358s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215016 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "error:etcdserver: request timed out" took too long (21.963920226s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215055 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "error:etcdserver: request timed out" took too long (21.965864239s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215091 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "error:etcdserver: request timed out" took too long (22.841047312s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215124 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "error:etcdserver: request timed out" took too long (23.684625657s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215209 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "error:etcdserver: request timed out" took too long (23.822582824s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215257 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "error:etcdserver: request timed out" took too long (23.82277937s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215291 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "error:etcdserver: request timed out" took too long (23.822817977s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215320 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.admissionregistration.k8s.io\" " with result "error:etcdserver: request timed out" took too long (23.822892702s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215348 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta2.autoscaling\" " with result "error:etcdserver: request timed out" took too long (23.823005594s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215401 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "error:etcdserver: request timed out" took too long (24.336418079s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215444 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "error:etcdserver: request timed out" took too long (24.360428568s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215477 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "error:etcdserver: request timed out" took too long (25.000032753s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215505 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "error:etcdserver: request timed out" took too long (25.047358957s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215552 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "error:etcdserver: request timed out" took too long (25.895304103s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215586 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "error:etcdserver: request timed out" took too long (26.116051013s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215618 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "error:etcdserver: request timed out" took too long (26.203204706s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215648 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "error:etcdserver: request timed out" took too long (26.987880288s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.215690 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "error:etcdserver: request timed out" took too long (27.940885788s) to execute
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.671657 W | etcdserver: failed to revoke 4f0b6e20cce5c1ec ("etcdserver: request timed out")
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.671777 W | etcdserver: failed to revoke 4f0b6e20cce64278 ("etcdserver: request timed out")
Jan 31 17:56:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:52.672128 W | etcdserver: failed to revoke 4f0b6e20cce642d4 ("etcdserver: request timed out")
Jan 31 17:56:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 17:56:53.088813 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "error:context canceled" took too long (9.923027871s) to execute
