-- Logs begin at Thu 2019-12-19 12:32:44 UTC, end at Sat 2019-12-21 01:27:52 UTC. --
Dec 21 01:05:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:05:38.111259 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (441.656424ms) to execute
Dec 21 01:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:13:28.699248 N | compactor: Starting auto-compaction at revision 45337913
Dec 21 01:13:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:13:28.699599 N | compactor: Finished auto-compaction at revision 45337913
Dec 21 01:13:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:13:34.698391 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dfsr9\" " with result "range_response_count:1 size:1118" took too long (124.182122ms) to execute
Dec 21 01:16:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:16:22.022568 I | mvcc: store.index: compact 45424256
Dec 21 01:16:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:16:22.031588 I | mvcc: finished scheduled compaction at 45424256 (took 6.509062ms)
Dec 21 01:16:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:16:22.189392 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (115.273029ms) to execute
Dec 21 01:17:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:17:35.065958 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sgz8z\" " with result "range_response_count:1 size:1121" took too long (144.856213ms) to execute
Dec 21 01:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:18:35.205736 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e23e0f46a1f258\" " with result "range_response_count:1 size:485" took too long (136.275147ms) to execute
Dec 21 01:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:18:35.241334 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gjr9j\" " with result "range_response_count:1 size:1121" took too long (151.291011ms) to execute
Dec 21 01:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:18:35.243215 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lqx6p\" " with result "range_response_count:1 size:1121" took too long (160.495986ms) to execute
Dec 21 01:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:18:35.443754 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (139.909547ms) to execute
Dec 21 01:18:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:18:35.478278 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e23e0f46a1f258\" " with result "range_response_count:1 size:485" took too long (168.973026ms) to execute
Dec 21 01:19:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:19:35.229055 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e23e0f46a1f258\" " with result "range_response_count:1 size:485" took too long (140.982335ms) to execute
Dec 21 01:19:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:19:35.232375 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-c2f2l\" " with result "range_response_count:1 size:1121" took too long (135.67051ms) to execute
Dec 21 01:21:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:21:22.047972 I | mvcc: store.index: compact 45425289
Dec 21 01:21:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 01:21:22.058560 I | mvcc: finished scheduled compaction at 45425289 (took 8.122835ms)
