-- Logs begin at Fri 2019-12-20 13:04:45 UTC, end at Sat 2019-12-21 21:42:25 UTC. --
Dec 21 21:20:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:20:04.066864 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15e27e1a950da98d\" " with result "range_response_count:1 size:520" took too long (111.503882ms) to execute
Dec 21 21:21:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:21:37.898472 I | mvcc: finished scheduled compaction at 45631557 (took 5.486713ms)
Dec 21 21:21:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:21:38.333368 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (204.799262ms) to execute
Dec 21 21:21:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:21:58.439009 I | etcdserver: start to snapshot (applied: 50286175, lastsnap: 50276174)
Dec 21 21:21:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:21:58.508602 I | etcdserver: saved snapshot at index 50286175
Dec 21 21:21:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:21:58.509078 I | etcdserver: compacted raft log at 50281175
Dec 21 21:22:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:00.946802 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (132.59548ms) to execute
Dec 21 21:22:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:04.667996 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (204.403706ms) to execute
Dec 21 21:22:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:04.668050 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (157.846293ms) to execute
Dec 21 21:22:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:07.804067 W | etcdserver: request "header:<ID:14919139277709792689 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45633282 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (247.911059ms) to execute
Dec 21 21:22:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:08.525913 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (350.183819ms) to execute
Dec 21 21:22:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:08.526034 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (417.48045ms) to execute
Dec 21 21:22:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:08.692753 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15e27fb5ba057fc2\" " with result "range_response_count:1 size:498" took too long (145.312731ms) to execute
Dec 21 21:22:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:16.985224 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (158.655678ms) to execute
Dec 21 21:22:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:17.898649 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002fe8b0a.snap successfully
Dec 21 21:22:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:23.267117 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (191.328644ms) to execute
Dec 21 21:22:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:23.267414 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (166.458883ms) to execute
Dec 21 21:22:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:35.657647 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (550.711393ms) to execute
Dec 21 21:22:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:35.692700 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1405" took too long (312.551576ms) to execute
Dec 21 21:22:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:49.169996 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (140.913999ms) to execute
Dec 21 21:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:59.548735 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (357.546709ms) to execute
Dec 21 21:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:59.548811 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (513.66033ms) to execute
Dec 21 21:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:22:59.548900 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (328.214201ms) to execute
Dec 21 21:23:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:23:17.183286 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (505.630016ms) to execute
Dec 21 21:23:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:23:17.183628 W | etcdserver: request "header:<ID:14919139277709793266 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:45633434 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (134.71527ms) to execute
Dec 21 21:23:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:23:30.655776 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (336.567948ms) to execute
Dec 21 21:23:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:23:30.656058 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:7" took too long (167.637495ms) to execute
Dec 21 21:23:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:23:38.923092 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (294.573398ms) to execute
Dec 21 21:23:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:23:38.923383 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (378.237831ms) to execute
Dec 21 21:23:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:23:47.548409 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (129.453164ms) to execute
Dec 21 21:23:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:23:54.104692 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (155.394637ms) to execute
Dec 21 21:24:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:24:24.209086 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (105.995099ms) to execute
Dec 21 21:24:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:24:24.209501 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (203.845612ms) to execute
Dec 21 21:24:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:24:30.458860 W | etcdserver: request "header:<ID:14919139277709793870 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:45633591 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4221 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (143.194266ms) to execute
Dec 21 21:25:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:25:38.452364 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (122.222085ms) to execute
Dec 21 21:25:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:25:40.953856 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1407" took too long (130.829228ms) to execute
Dec 21 21:26:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:26:35.266303 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (333.726023ms) to execute
Dec 21 21:26:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:26:35.266530 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (136.239577ms) to execute
Dec 21 21:26:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:26:35.266626 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (237.106501ms) to execute
Dec 21 21:26:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:26:35.266673 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (284.785171ms) to execute
Dec 21 21:26:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:26:37.941965 I | mvcc: store.index: compact 45633238
Dec 21 21:26:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:26:37.958307 I | mvcc: finished scheduled compaction at 45633238 (took 12.514839ms)
Dec 21 21:26:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:26:39.565533 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (127.489347ms) to execute
Dec 21 21:26:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:26:44.969753 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (146.132525ms) to execute
Dec 21 21:26:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:26:51.026931 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (140.794555ms) to execute
Dec 21 21:31:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:31:37.962152 I | mvcc: store.index: compact 45633908
Dec 21 21:31:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:31:37.969273 I | mvcc: finished scheduled compaction at 45633908 (took 5.439299ms)
Dec 21 21:36:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:36:37.983139 I | mvcc: store.index: compact 45634647
Dec 21 21:36:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:36:37.990947 I | mvcc: finished scheduled compaction at 45634647 (took 5.810979ms)
Dec 21 21:39:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 21:39:10.871577 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-cssrc\" " with result "range_response_count:1 size:1121" took too long (150.391882ms) to execute
