-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 08:10:10 UTC. --
Nov 02 07:48:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:48:01.368331 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (553.852408ms) to execute
Nov 02 07:49:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:38.539010 W | etcdserver: request "header:<ID:14919139277658075453 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15d348e5112b4ce6\" mod_revision:35607700 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15d348e5112b4ce6\" value_size:386 lease:5695767240803299609 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15d348e5112b4ce6\" > >>" with result "size:20" took too long (117.965857ms) to execute
Nov 02 07:49:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:38.540021 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vjcl5\" " with result "range_response_count:1 size:1121" took too long (123.758333ms) to execute
Nov 02 07:49:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:38.540488 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nmvg6\" " with result "range_response_count:1 size:1121" took too long (121.918842ms) to execute
Nov 02 07:49:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:40.564354 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (687.241959ms) to execute
Nov 02 07:49:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:40.568477 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (656.863948ms) to execute
Nov 02 07:49:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:49.266419 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta2.autoscaling\" " with result "range_response_count:1 size:640" took too long (489.341006ms) to execute
Nov 02 07:49:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:49.276085 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (497.454179ms) to execute
Nov 02 07:49:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:49.276121 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (475.227994ms) to execute
Nov 02 07:49:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:49.276314 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (496.382734ms) to execute
Nov 02 07:49:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:49.276750 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.scheduling.k8s.io\" " with result "range_response_count:1 size:659" took too long (499.413573ms) to execute
Nov 02 07:49:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:49.276886 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nmvg6\" " with result "range_response_count:1 size:1743" took too long (415.063669ms) to execute
Nov 02 07:49:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:49.276918 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (209.198831ms) to execute
Nov 02 07:49:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:49.277386 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (500.317995ms) to execute
Nov 02 07:49:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:54.923206 W | wal: sync duration of 1.143338474s, expected less than 1s
Nov 02 07:49:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:54.925656 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (982.554189ms) to execute
Nov 02 07:49:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:49:54.925700 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (288.57953ms) to execute
Nov 02 07:50:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:50:11.248783 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (144.066809ms) to execute
Nov 02 07:50:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:50:28.276357 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r6v5g\" " with result "range_response_count:1 size:1855" took too long (117.430701ms) to execute
Nov 02 07:50:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:50:32.771423 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (160.523192ms) to execute
Nov 02 07:50:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:50:44.747760 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (574.570104ms) to execute
Nov 02 07:50:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:50:57.004546 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (176.067527ms) to execute
Nov 02 07:51:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:05.729147 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (325.311341ms) to execute
Nov 02 07:51:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:20.607307 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (467.668249ms) to execute
Nov 02 07:51:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:23.035933 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (252.575238ms) to execute
Nov 02 07:51:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:31.861006 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (276.689187ms) to execute
Nov 02 07:51:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:43.351601 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (659.114313ms) to execute
Nov 02 07:51:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:43.358736 I | mvcc: store.index: compact 35606664
Nov 02 07:51:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:43.360779 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (569.439949ms) to execute
Nov 02 07:51:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:43.361051 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (201.934682ms) to execute
Nov 02 07:51:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:43.369686 I | mvcc: finished scheduled compaction at 35606664 (took 8.925889ms)
Nov 02 07:51:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:43.846617 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (314.427573ms) to execute
Nov 02 07:51:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:52.582462 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.164137315s) to execute
Nov 02 07:51:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:51:52.582608 W | etcdserver: request "header:<ID:14919139277658076597 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35608014 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (274.420787ms) to execute
Nov 02 07:52:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:07.731995 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (641.389458ms) to execute
Nov 02 07:52:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:07.739325 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (286.019918ms) to execute
Nov 02 07:52:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:09.802606 W | wal: sync duration of 1.143288137s, expected less than 1s
Nov 02 07:52:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:09.805202 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/metrics-server-config\" " with result "range_response_count:1 size:745" took too long (546.900605ms) to execute
Nov 02 07:52:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:13.271519 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (601.527649ms) to execute
Nov 02 07:52:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:22.170881 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (307.872395ms) to execute
Nov 02 07:52:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:28.394892 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (198.725919ms) to execute
Nov 02 07:52:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:31.894357 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (154.274626ms) to execute
Nov 02 07:52:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:55.157512 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (125.733781ms) to execute
Nov 02 07:52:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:57.702312 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (185.130504ms) to execute
Nov 02 07:52:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:52:57.702423 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (263.328017ms) to execute
Nov 02 07:53:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:53:06.911392 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (270.461144ms) to execute
Nov 02 07:53:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:53:06.911502 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:34725" took too long (192.640131ms) to execute
Nov 02 07:53:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:53:27.500539 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (404.114568ms) to execute
Nov 02 07:53:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:53:44.107831 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (376.264971ms) to execute
Nov 02 07:53:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:53:44.107971 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (155.678463ms) to execute
Nov 02 07:54:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:01.216708 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (818.781613ms) to execute
Nov 02 07:54:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:01.311213 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (793.194044ms) to execute
Nov 02 07:54:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:01.311543 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (144.488646ms) to execute
Nov 02 07:54:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:01.311731 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (768.91313ms) to execute
Nov 02 07:54:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:01.311966 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (721.493844ms) to execute
Nov 02 07:54:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:09.721091 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (337.524221ms) to execute
Nov 02 07:54:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:16.127634 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (303.958269ms) to execute
Nov 02 07:54:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:26.254330 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (351.279895ms) to execute
Nov 02 07:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:28.123144 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (304.073501ms) to execute
Nov 02 07:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:28.128970 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (195.495697ms) to execute
Nov 02 07:54:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:28.129340 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (182.171732ms) to execute
Nov 02 07:54:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:36.234981 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (148.033374ms) to execute
Nov 02 07:54:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:36.235221 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (160.121145ms) to execute
Nov 02 07:54:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:38.281488 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (138.468762ms) to execute
Nov 02 07:54:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:42.103142 W | wal: sync duration of 1.799853855s, expected less than 1s
Nov 02 07:54:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:42.106396 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.074961708s) to execute
Nov 02 07:54:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:42.114133 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (713.931991ms) to execute
Nov 02 07:54:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:42.114547 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (626.412026ms) to execute
Nov 02 07:54:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:58.585113 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (351.472867ms) to execute
Nov 02 07:54:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:58.595148 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (255.439279ms) to execute
Nov 02 07:54:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:54:58.595470 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (219.918412ms) to execute
Nov 02 07:55:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:04.724685 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (107.042261ms) to execute
Nov 02 07:55:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:04.724856 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (527.625191ms) to execute
Nov 02 07:55:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:04.724996 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (697.753067ms) to execute
Nov 02 07:55:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:11.790438 W | wal: sync duration of 1.036012327s, expected less than 1s
Nov 02 07:55:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:11.792329 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.033005568s) to execute
Nov 02 07:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:28.994079 W | wal: sync duration of 1.13441461s, expected less than 1s
Nov 02 07:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:28.996953 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r6v5g\" " with result "range_response_count:1 size:1855" took too long (839.151028ms) to execute
Nov 02 07:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:29.007275 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (368.364262ms) to execute
Nov 02 07:55:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:29.007487 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (182.999665ms) to execute
Nov 02 07:55:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:34.887914 W | wal: sync duration of 1.006103165s, expected less than 1s
Nov 02 07:55:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:34.891117 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (652.139135ms) to execute
Nov 02 07:55:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:34.896808 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (238.120769ms) to execute
Nov 02 07:55:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:34.897070 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (155.258067ms) to execute
Nov 02 07:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:36.014736 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (128.935236ms) to execute
Nov 02 07:55:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:36.014869 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (757.739555ms) to execute
Nov 02 07:55:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:42.610304 W | wal: sync duration of 1.541874207s, expected less than 1s
Nov 02 07:55:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:42.615619 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (1.429061305s) to execute
Nov 02 07:55:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 07:55:42.617789 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (984.709499ms) to execute
