-- Logs begin at Fri 2020-01-31 10:16:36 UTC, end at Sat 2020-02-01 23:37:59 UTC. --
Feb 01 23:14:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:14:38.417189 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (151.517491ms) to execute
Feb 01 23:17:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:17:12.947351 W | etcdserver: request "header:<ID:14919139277751708900 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15ef6a722a0218d6\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5.15ef6a722a0218d6\" value_size:403 lease:5695767240896933073 >> failure:<>>" with result "size:20" took too long (143.223046ms) to execute
Feb 01 23:17:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:17:12.965204 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (160.515439ms) to execute
Feb 01 23:17:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:17:13.002343 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (197.52073ms) to execute
Feb 01 23:17:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:17:13.209776 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:677" took too long (158.244918ms) to execute
Feb 01 23:17:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:17:13.209822 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (162.833853ms) to execute
Feb 01 23:17:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:17:13.210209 W | etcdserver: request "header:<ID:14919139277751708920 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" mod_revision:53298501 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" value_size:807 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (158.092617ms) to execute
Feb 01 23:17:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:17:21.334906 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (258.609079ms) to execute
Feb 01 23:17:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:17:28.032308 W | etcdserver: request "header:<ID:14919139277751709124 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:53298567 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (191.748547ms) to execute
Feb 01 23:17:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:17:28.032687 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (207.336538ms) to execute
Feb 01 23:17:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:17:42.502551 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (199.065549ms) to execute
Feb 01 23:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:18:12.898740 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (454.425842ms) to execute
Feb 01 23:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:18:12.899018 W | etcdserver: request "header:<ID:14919139277751709594 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:53298649 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (301.697742ms) to execute
Feb 01 23:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:18:12.899306 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (207.23232ms) to execute
Feb 01 23:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:18:12.899515 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (196.640757ms) to execute
Feb 01 23:18:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:18:43.055199 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (459.61415ms) to execute
Feb 01 23:18:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:18:43.055288 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (110.542771ms) to execute
Feb 01 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:13.268139 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotas\" range_end:\"/registry/config.istio.io/quotat\" count_only:true " with result "range_response_count:0 size:7" took too long (636.030407ms) to execute
Feb 01 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:13.268331 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (181.269148ms) to execute
Feb 01 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:13.268534 W | etcdserver: request "header:<ID:14919139277751710235 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53298757 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (161.458224ms) to execute
Feb 01 23:19:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:13.268887 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (510.848288ms) to execute
Feb 01 23:19:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:28.923304 I | mvcc: store.index: compact 53298029
Feb 01 23:19:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:28.936541 I | mvcc: finished scheduled compaction at 53298029 (took 11.396113ms)
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.816488 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.724906088s) to execute
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.816935 W | etcdserver: request "header:<ID:14919139277751710417 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-rgsf6.15ef6a8a2389b1bb\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-rgsf6.15ef6a8a2389b1bb\" value_size:486 lease:5695767240896934522 >> failure:<>>" with result "size:20" took too long (1.656506847s) to execute
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.839497 W | wal: sync duration of 1.679210229s, expected less than 1s
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.839800 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.272635423s) to execute
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.839855 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.policy\" " with result "range_response_count:1 size:625" took too long (851.472687ms) to execute
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.840150 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (852.710944ms) to execute
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.840255 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (853.31769ms) to execute
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.840469 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (853.529246ms) to execute
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.840613 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (876.891701ms) to execute
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.840834 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (853.050295ms) to execute
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.840931 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rgsf6\" " with result "range_response_count:1 size:4026" took too long (161.16879ms) to execute
Feb 01 23:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:19:30.841684 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.475948623s) to execute
Feb 01 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:20:13.608593 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (408.378644ms) to execute
Feb 01 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:20:13.608694 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (288.275843ms) to execute
Feb 01 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:20:13.608854 W | etcdserver: request "header:<ID:14919139277751710870 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53298886 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (252.172888ms) to execute
Feb 01 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:20:13.608915 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (262.288157ms) to execute
Feb 01 23:20:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:20:13.609426 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (145.70139ms) to execute
Feb 01 23:20:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:20:43.637948 W | etcdserver: request "header:<ID:14919139277751711177 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:53298941 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (183.872921ms) to execute
Feb 01 23:20:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:20:58.996964 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (151.411994ms) to execute
Feb 01 23:20:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:20:59.027943 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (181.457179ms) to execute
Feb 01 23:21:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:21:13.896750 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (190.02812ms) to execute
Feb 01 23:21:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:21:13.897806 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (152.532856ms) to execute
Feb 01 23:22:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:22:14.298188 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (222.66953ms) to execute
Feb 01 23:22:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:22:14.298426 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (222.669459ms) to execute
Feb 01 23:22:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:22:14.300227 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (193.409961ms) to execute
Feb 01 23:22:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:22:44.398752 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (183.768145ms) to execute
Feb 01 23:22:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:22:44.398992 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (134.706396ms) to execute
Feb 01 23:22:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:22:44.399365 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (124.959636ms) to execute
Feb 01 23:23:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:23:14.748330 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (296.703289ms) to execute
Feb 01 23:23:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:23:14.748639 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (122.401957ms) to execute
Feb 01 23:23:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:23:14.748773 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (446.604164ms) to execute
Feb 01 23:23:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:23:14.748901 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (291.733181ms) to execute
Feb 01 23:23:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:23:34.982528 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (174.4815ms) to execute
Feb 01 23:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:28.489706 N | compactor: Starting auto-compaction at revision 53214355
Feb 01 23:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:28.790237 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/grafana-6585df8c56-mqdmm.15ef6aae589e2151\" " with result "range_response_count:1 size:603" took too long (422.42149ms) to execute
Feb 01 23:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:28.790425 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (434.97058ms) to execute
Feb 01 23:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:28.791610 W | etcdserver: request "header:<ID:14919139277751713608 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/grafana-6585df8c56-mqdmm\" mod_revision:53299266 > success:<request_put:<key:\"/registry/pods/istio-system/grafana-6585df8c56-mqdmm\" value_size:3801 >> failure:<request_range:<key:\"/registry/pods/istio-system/grafana-6585df8c56-mqdmm\" > >>" with result "size:20" took too long (422.476777ms) to execute
Feb 01 23:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:28.791847 N | compactor: Finished auto-compaction at revision 53214355
Feb 01 23:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:28.791938 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:9" took too long (354.903649ms) to execute
Feb 01 23:24:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:28.803530 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:20 size:81523" took too long (237.389003ms) to execute
Feb 01 23:24:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:29.017645 I | mvcc: store.index: compact 53298813
Feb 01 23:24:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:29.025563 I | mvcc: finished scheduled compaction at 53298813 (took 6.186644ms)
Feb 01 23:24:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:29.415553 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (284.801541ms) to execute
Feb 01 23:24:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:45.280640 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (180.105163ms) to execute
Feb 01 23:24:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:24:45.280817 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (184.518149ms) to execute
Feb 01 23:25:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:25:15.675220 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (342.738198ms) to execute
Feb 01 23:25:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:25:15.675381 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (344.377968ms) to execute
Feb 01 23:25:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:25:15.675846 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-h255b.15ef6ab85320ded2\" " with result "range_response_count:1 size:657" took too long (291.941386ms) to execute
Feb 01 23:25:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:25:15.675909 W | etcdserver: request "header:<ID:14919139277751714219 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:53299586 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (108.530022ms) to execute
Feb 01 23:26:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:26:14.866719 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (212.418253ms) to execute
Feb 01 23:26:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:26:14.883444 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (137.815981ms) to execute
Feb 01 23:26:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:26:14.883534 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (216.37208ms) to execute
Feb 01 23:26:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:26:14.883996 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-fj9hw\" " with result "range_response_count:1 size:2634" took too long (167.533618ms) to execute
Feb 01 23:27:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 23:27:14.872175 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-telemetry\" " with result "range_response_count:1 size:546" took too long (143.869989ms) to execute
