-- Logs begin at Sat 2019-11-09 17:59:19 UTC, end at Tue 2019-11-12 00:05:35 UTC. --
Nov 11 23:44:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:44:16.229231 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (241.125247ms) to execute
Nov 11 23:45:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:45:41.955663 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (168.419203ms) to execute
Nov 11 23:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:49:34.002316 N | compactor: Starting auto-compaction at revision 37781329
Nov 11 23:49:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:49:34.002898 N | compactor: Finished auto-compaction at revision 37781329
Nov 11 23:50:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:50:37.487754 I | mvcc: store.index: compact 37866094
Nov 11 23:50:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:50:37.497361 I | mvcc: finished scheduled compaction at 37866094 (took 7.951511ms)
Nov 11 23:50:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:50:39.074118 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (1.205861152s) to execute
Nov 11 23:50:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:50:39.075007 W | etcdserver: request "header:<ID:14919139277667063455 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:37866886 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4519 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (811.866289ms) to execute
Nov 11 23:50:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:50:39.103925 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (793.528076ms) to execute
Nov 11 23:50:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:50:58.045013 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (109.539225ms) to execute
Nov 11 23:50:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:50:58.045094 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (129.506694ms) to execute
Nov 11 23:50:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:50:58.045127 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2101" took too long (388.735395ms) to execute
Nov 11 23:50:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:50:58.045784 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:383" took too long (391.637442ms) to execute
Nov 11 23:51:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:51:27.343025 W | etcdserver: request "header:<ID:14919139277667063997 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-5tt9k\" mod_revision:37867025 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-5tt9k\" value_size:4093 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-5tt9k\" > >>" with result "size:20" took too long (111.519635ms) to execute
Nov 11 23:53:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:53:08.414952 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5tt9k.15d640b7f4f0f5d5\" " with result "range_response_count:1 size:465" took too long (165.88847ms) to execute
Nov 11 23:55:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:55:28.891071 W | etcdserver: request "header:<ID:14919139277667066738 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:37867644 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (129.587103ms) to execute
Nov 11 23:55:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:55:37.502722 I | mvcc: store.index: compact 37866905
Nov 11 23:55:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:55:37.512280 I | mvcc: finished scheduled compaction at 37866905 (took 7.271118ms)
Nov 11 23:55:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:55:37.739636 W | etcdserver: request "header:<ID:14919139277667066861 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:37867637 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4198 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (133.032988ms) to execute
Nov 11 23:58:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:58:35.552680 I | wal: segmented wal file /var/lib/etcd/member/wal/000000000000054d-00000000027d2e4c.wal is created
Nov 11 23:58:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-11 23:58:49.359763 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000548-00000000027aa29b.wal successfully
Nov 12 00:00:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:00:37.516857 I | mvcc: store.index: compact 37867671
Nov 12 00:00:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-12 00:00:37.525454 I | mvcc: finished scheduled compaction at 37867671 (took 7.093959ms)
