-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 06:54:04 UTC. --
Nov 02 06:32:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:32:04.878065 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/00000000000004fd-0000000002555476.wal successfully
Nov 02 06:33:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:51.731767 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (320.993084ms) to execute
Nov 02 06:33:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:33:51.732182 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (222.006991ms) to execute
Nov 02 06:35:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:35:01.262859 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (192.316865ms) to execute
Nov 02 06:35:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:35:04.773801 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (720.181232ms) to execute
Nov 02 06:35:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:35:04.809772 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (738.69985ms) to execute
Nov 02 06:36:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:36:42.163262 I | mvcc: store.index: compact 35595525
Nov 02 06:36:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:36:42.174061 I | mvcc: finished scheduled compaction at 35595525 (took 9.234255ms)
Nov 02 06:41:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:41:42.175685 I | mvcc: store.index: compact 35596224
Nov 02 06:41:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:41:42.183524 I | mvcc: finished scheduled compaction at 35596224 (took 5.383028ms)
Nov 02 06:45:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:45:16.299660 W | etcdserver: request "header:<ID:14919139277658033472 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:35597125 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (300.883521ms) to execute
Nov 02 06:45:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:45:16.299815 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (266.921289ms) to execute
Nov 02 06:46:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:46:08.981028 N | compactor: Starting auto-compaction at revision 35515389
Nov 02 06:46:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:46:08.981362 N | compactor: Finished auto-compaction at revision 35515389
Nov 02 06:46:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:46:42.188758 I | mvcc: store.index: compact 35596751
Nov 02 06:46:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:46:42.195277 I | mvcc: finished scheduled compaction at 35596751 (took 5.14697ms)
Nov 02 06:51:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:51:42.209467 I | mvcc: store.index: compact 35597302
Nov 02 06:51:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:51:42.216609 I | mvcc: finished scheduled compaction at 35597302 (took 5.267596ms)
Nov 02 06:51:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 06:51:42.385594 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (124.57363ms) to execute
