-- Logs begin at Sat 2020-02-01 07:14:07 UTC, end at Sun 2020-02-02 22:31:26 UTC. --
Feb 02 22:08:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:08:44.588933 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-m6hv4.15efb27ce823c26e\" " with result "range_response_count:1 size:569" took too long (103.38153ms) to execute
Feb 02 22:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:10:31.419253 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (377.831238ms) to execute
Feb 02 22:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:10:31.419286 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (379.02691ms) to execute
Feb 02 22:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:10:31.419347 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (378.495382ms) to execute
Feb 02 22:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:10:31.419419 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (379.16604ms) to execute
Feb 02 22:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:10:31.419447 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (213.544563ms) to execute
Feb 02 22:10:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:10:31.419502 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (363.445452ms) to execute
Feb 02 22:10:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:10:33.955550 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (423.163956ms) to execute
Feb 02 22:10:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:10:33.957854 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (276.500491ms) to execute
Feb 02 22:11:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:11:32.082972 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (315.600293ms) to execute
Feb 02 22:11:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:11:32.083042 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (580.78262ms) to execute
Feb 02 22:11:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:11:32.083143 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (154.919764ms) to execute
Feb 02 22:11:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:11:36.383758 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (272.33965ms) to execute
Feb 02 22:11:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:11:36.383887 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (579.238827ms) to execute
Feb 02 22:11:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:11:38.132990 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (116.437678ms) to execute
Feb 02 22:11:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:11:52.093590 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (226.918331ms) to execute
Feb 02 22:12:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:01.161194 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.certificates.k8s.io\" " with result "range_response_count:1 size:664" took too long (118.639289ms) to execute
Feb 02 22:12:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:01.161656 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (121.875098ms) to execute
Feb 02 22:12:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:01.162016 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (118.346597ms) to execute
Feb 02 22:12:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:01.162232 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (118.639352ms) to execute
Feb 02 22:12:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:01.162317 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.networking.k8s.io\" " with result "range_response_count:1 size:644" took too long (119.523639ms) to execute
Feb 02 22:12:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:01.162577 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:668" took too long (119.549718ms) to execute
Feb 02 22:12:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:06.085655 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (146.00069ms) to execute
Feb 02 22:12:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:06.701540 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (168.309775ms) to execute
Feb 02 22:12:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:06.759940 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (200.922545ms) to execute
Feb 02 22:12:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:11.126843 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (343.404176ms) to execute
Feb 02 22:12:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:21.410592 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-b2xmf.15efb55e1f37bc1f\" " with result "range_response_count:1 size:592" took too long (507.935597ms) to execute
Feb 02 22:12:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:21.419106 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (245.388757ms) to execute
Feb 02 22:12:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:24.918650 W | wal: sync duration of 1.206400396s, expected less than 1s
Feb 02 22:12:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:24.921656 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (645.758256ms) to execute
Feb 02 22:12:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:24.926701 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (452.568339ms) to execute
Feb 02 22:12:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:24.927102 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (321.534092ms) to execute
Feb 02 22:12:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:12:51.235368 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (125.7328ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.447406 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (322.79384ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.447498 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (403.383268ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.447626 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (533.454328ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.447930 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (404.07254ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.448056 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authorization.k8s.io\" " with result "range_response_count:1 size:653" took too long (403.450606ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.448188 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (534.679642ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.448437 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (402.838115ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.449486 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.policy\" " with result "range_response_count:1 size:625" took too long (404.892385ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.703835 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (247.0128ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.710066 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (250.276912ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.710115 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (253.211405ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.710146 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authorization.k8s.io\" " with result "range_response_count:1 size:667" took too long (252.837301ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.710234 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (253.26754ms) to execute
Feb 02 22:13:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:01.710408 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (248.077697ms) to execute
Feb 02 22:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:12.759435 W | wal: sync duration of 1.034763463s, expected less than 1s
Feb 02 22:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:12.759873 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.016758678s) to execute
Feb 02 22:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:12.760035 W | etcdserver: failed to revoke 4f0b6e20cd0594fa ("lease not found")
Feb 02 22:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:12.762191 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.010833684s) to execute
Feb 02 22:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:12.762667 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (546.70024ms) to execute
Feb 02 22:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:12.897367 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:20 size:10815" took too long (129.127101ms) to execute
Feb 02 22:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:12.897561 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:1 size:1295" took too long (119.174328ms) to execute
Feb 02 22:13:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:16.263376 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (128.890604ms) to execute
Feb 02 22:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:19.761722 W | wal: sync duration of 1.424761277s, expected less than 1s
Feb 02 22:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:19.762112 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (966.725505ms) to execute
Feb 02 22:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:19.762199 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (604.664479ms) to execute
Feb 02 22:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:19.762281 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.071777616s) to execute
Feb 02 22:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:19.762392 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (964.153144ms) to execute
Feb 02 22:13:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:20.043089 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (273.602188ms) to execute
Feb 02 22:13:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:22.290800 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (519.834497ms) to execute
Feb 02 22:13:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:22.293652 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (244.611188ms) to execute
Feb 02 22:13:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:13:32.778051 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (205.836234ms) to execute
Feb 02 22:14:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:14:03.061117 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (128.743352ms) to execute
Feb 02 22:14:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:14:09.032638 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (481.315871ms) to execute
Feb 02 22:14:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:14:09.033162 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (453.452228ms) to execute
Feb 02 22:14:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:14:28.028271 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (172.836077ms) to execute
Feb 02 22:14:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:14:36.429812 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (236.212829ms) to execute
Feb 02 22:14:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:14:36.429985 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28480" took too long (185.002554ms) to execute
Feb 02 22:14:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:14:39.663328 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (212.250075ms) to execute
Feb 02 22:14:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:14:54.141746 I | mvcc: store.index: compact 53516912
Feb 02 22:14:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:14:54.153184 I | mvcc: finished scheduled compaction at 53516912 (took 9.447718ms)
Feb 02 22:14:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:14:54.579890 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (304.141704ms) to execute
Feb 02 22:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:19:30.070875 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (241.700809ms) to execute
Feb 02 22:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:19:30.070977 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (335.172977ms) to execute
Feb 02 22:19:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:19:54.159337 I | mvcc: store.index: compact 53517525
Feb 02 22:19:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:19:54.168219 I | mvcc: finished scheduled compaction at 53517525 (took 7.219727ms)
Feb 02 22:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:20:06.729497 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (320.168616ms) to execute
Feb 02 22:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:20:06.729615 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (256.098951ms) to execute
Feb 02 22:20:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:20:06.729727 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (220.158572ms) to execute
Feb 02 22:21:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:17.123855 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (176.086138ms) to execute
Feb 02 22:21:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:17.155207 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (163.524768ms) to execute
Feb 02 22:21:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:27.329940 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (122.008352ms) to execute
Feb 02 22:21:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:27.330176 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (104.431247ms) to execute
Feb 02 22:21:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:37.759951 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (375.805121ms) to execute
Feb 02 22:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:39.319303 W | wal: sync duration of 1.564410498s, expected less than 1s
Feb 02 22:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:39.336707 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.934516286s) to execute
Feb 02 22:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:39.337541 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.890727867s) to execute
Feb 02 22:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:39.338766 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.228684481s) to execute
Feb 02 22:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:39.339256 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (787.388981ms) to execute
Feb 02 22:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:21:39.339742 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (532.427965ms) to execute
Feb 02 22:22:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:22:46.199725 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (524.810445ms) to execute
Feb 02 22:23:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 22:23:38.068962 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (158.714458ms) to execute
