-- Logs begin at Sat 2020-02-01 01:29:37 UTC, end at Sun 2020-02-02 14:18:16 UTC. --
Feb 02 13:55:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:55:19.094657 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-cqq6q.15ef9a4ed6a87587\" " with result "range_response_count:1 size:569" took too long (143.943692ms) to execute
Feb 02 13:58:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:58:07.529653 W | etcdserver: request "header:<ID:14919139277752283618 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" mod_revision:53443891 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" value_size:1555 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" > >>" with result "size:20" took too long (110.346952ms) to execute
Feb 02 13:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:59:50.995351 I | mvcc: store.index: compact 53443090
Feb 02 13:59:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:59:51.004362 I | mvcc: finished scheduled compaction at 53443090 (took 7.059169ms)
Feb 02 13:59:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:59:52.083206 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (152.686554ms) to execute
Feb 02 13:59:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:59:52.083272 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (654.789865ms) to execute
Feb 02 13:59:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:59:52.083299 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (579.617574ms) to execute
Feb 02 13:59:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:59:52.083378 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (165.43891ms) to execute
Feb 02 13:59:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:59:52.083406 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (606.058115ms) to execute
Feb 02 13:59:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:59:52.083463 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (682.063204ms) to execute
Feb 02 13:59:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 13:59:52.083592 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (295.333955ms) to execute
Feb 02 14:00:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:00:07.331663 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (152.895238ms) to execute
Feb 02 14:00:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:00:07.584189 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (146.263115ms) to execute
Feb 02 14:00:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:00:07.584375 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (124.820748ms) to execute
Feb 02 14:04:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:04:40.319747 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecbindings\" range_end:\"/registry/config.istio.io/quotaspecbindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (140.163623ms) to execute
Feb 02 14:04:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:04:40.324179 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (136.146988ms) to execute
Feb 02 14:04:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:04:51.010253 I | mvcc: store.index: compact 53444400
Feb 02 14:04:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:04:51.019324 I | mvcc: finished scheduled compaction at 53444400 (took 7.817828ms)
Feb 02 14:04:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:04:51.919336 W | etcdserver: request "header:<ID:14919139277752288313 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:53445136 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (606.033987ms) to execute
Feb 02 14:04:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:04:51.938390 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (351.660171ms) to execute
Feb 02 14:04:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:04:51.938511 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (309.657766ms) to execute
Feb 02 14:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:05:51.629985 W | wal: sync duration of 1.381874259s, expected less than 1s
Feb 02 14:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:05:51.637278 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (1.373050334s) to execute
Feb 02 14:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:05:51.637876 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/handlers\" range_end:\"/registry/config.istio.io/handlert\" count_only:true " with result "range_response_count:0 size:9" took too long (295.914851ms) to execute
Feb 02 14:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:05:51.637955 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.343300978s) to execute
Feb 02 14:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:05:51.638135 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (1.014880338s) to execute
Feb 02 14:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:05:51.638241 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-gzxbj.15ef9a6fe72152d2\" " with result "range_response_count:1 size:592" took too long (1.176834204s) to execute
Feb 02 14:05:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:05:51.638281 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (538.604963ms) to execute
Feb 02 14:09:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:09:21.606415 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (373.377035ms) to execute
Feb 02 14:09:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:09:21.607095 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (196.294141ms) to execute
Feb 02 14:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:09:51.025459 I | mvcc: store.index: compact 53445160
Feb 02 14:09:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:09:51.033685 I | mvcc: finished scheduled compaction at 53445160 (took 6.920964ms)
Feb 02 14:12:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:12:51.326422 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-fmnx5\" " with result "range_response_count:1 size:2440" took too long (262.143622ms) to execute
Feb 02 14:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:14:51.037719 I | mvcc: store.index: compact 53445767
Feb 02 14:14:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 14:14:51.044884 I | mvcc: finished scheduled compaction at 53445767 (took 5.026012ms)
