-- Logs begin at Sat 2020-02-01 07:14:07 UTC, end at Sun 2020-02-02 18:48:31 UTC. --
Feb 02 18:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:23.857426 N | compactor: Starting auto-compaction at revision 53408299
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.581175 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4168" took too long (216.385949ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.581208 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (216.239453ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.581371 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8plcf\" " with result "range_response_count:1 size:2946" took too long (233.070545ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.581412 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-76ffh\" " with result "range_response_count:1 size:2943" took too long (130.847287ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.581469 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (179.162564ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.581703 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:6 size:13606" took too long (254.538142ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.796498 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (203.356526ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.797056 W | etcdserver: request "header:<ID:14919139277752453345 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:53483139 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1844 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (176.766757ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.817108 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-bx9ld\" " with result "range_response_count:1 size:2946" took too long (218.320705ms) to execute
Feb 02 18:25:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:25.817524 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (223.765494ms) to execute
Feb 02 18:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:26.976933 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:15 size:54010" took too long (202.329193ms) to execute
Feb 02 18:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:27.291394 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6mzmz\" " with result "range_response_count:1 size:3580" took too long (182.132728ms) to execute
Feb 02 18:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:27.520118 W | etcdserver: request "header:<ID:14919139277752453429 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-bx9ld\" mod_revision:53483207 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-bx9ld\" value_size:3678 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-bx9ld\" > >>" with result "size:20" took too long (128.208011ms) to execute
Feb 02 18:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:27.535451 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-xwn44\" " with result "range_response_count:1 size:2440" took too long (103.766732ms) to execute
Feb 02 18:25:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:27.751052 W | etcdserver: request "header:<ID:14919139277752453445 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-8plcf.15efa911c318c007\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-8plcf.15efa911c318c007\" value_size:456 lease:5695767240897677275 >> failure:<>>" with result "size:20" took too long (109.42917ms) to execute
Feb 02 18:25:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:28.102358 W | etcdserver: request "header:<ID:14919139277752453461 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-bdp4s.15efa91b20608e6d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-bdp4s.15efa91b20608e6d\" value_size:456 lease:5695767240897677275 >> failure:<>>" with result "size:20" took too long (101.415387ms) to execute
Feb 02 18:25:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:28.262233 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-6nvhg\" " with result "range_response_count:1 size:3580" took too long (133.477237ms) to execute
Feb 02 18:25:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:28.292854 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ljzhw\" " with result "range_response_count:1 size:3754" took too long (132.103221ms) to execute
Feb 02 18:25:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:28.495538 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xrf2q\" " with result "range_response_count:1 size:3580" took too long (145.607264ms) to execute
Feb 02 18:25:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:28.495857 W | etcdserver: request "header:<ID:14919139277752453481 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:53483290 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:1745 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (132.988743ms) to execute
Feb 02 18:25:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:28.742878 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/meshpolicies\" range_end:\"/registry/authentication.istio.io/meshpoliciet\" count_only:true " with result "range_response_count:0 size:9" took too long (141.105198ms) to execute
Feb 02 18:25:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:28.743129 W | etcdserver: request "header:<ID:14919139277752453499 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53483123 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (123.846122ms) to execute
Feb 02 18:25:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:29.363407 W | etcdserver: request "header:<ID:14919139277752453540 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-bx9ld.15efa911feee1eba\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-bx9ld.15efa911feee1eba\" value_size:456 lease:5695767240897677275 >> failure:<>>" with result "size:20" took too long (120.979997ms) to execute
Feb 02 18:25:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:29.364566 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tq4kr\" " with result "range_response_count:1 size:3754" took too long (119.52075ms) to execute
Feb 02 18:25:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:29.605870 W | etcdserver: request "header:<ID:14919139277752453554 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-6nvhg.15efa9143fbd4f00\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-6nvhg.15efa9143fbd4f00\" value_size:456 lease:5695767240897677275 >> failure:<>>" with result "size:20" took too long (123.043323ms) to execute
Feb 02 18:25:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:37.478583 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (104.590533ms) to execute
Feb 02 18:25:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:39.167036 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-mixer-service-account-token-4k2j6\" " with result "range_response_count:1 size:2433" took too long (444.923885ms) to execute
Feb 02 18:25:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:39.187369 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (100.02368ms) to execute
Feb 02 18:25:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:39.187646 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-ljzhw\" " with result "range_response_count:1 size:4174" took too long (127.071677ms) to execute
Feb 02 18:25:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:39.187914 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-6nvhg.15efa91512cd60fb\" " with result "range_response_count:1 size:520" took too long (164.950045ms) to execute
Feb 02 18:25:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:39.188138 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (345.91275ms) to execute
Feb 02 18:25:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:39.188392 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (362.088779ms) to execute
Feb 02 18:25:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:39.189050 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-7svkn.15efa91557f9a075\" " with result "range_response_count:1 size:517" took too long (444.403924ms) to execute
Feb 02 18:25:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:25:40.031045 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (106.312305ms) to execute
Feb 02 18:27:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:27:33.375405 W | wal: sync duration of 1.597025867s, expected less than 1s
Feb 02 18:27:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:27:33.378354 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/statsds\" range_end:\"/registry/config.istio.io/statsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (876.817614ms) to execute
Feb 02 18:27:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:27:33.378396 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stackdrivers\" range_end:\"/registry/config.istio.io/stackdrivert\" count_only:true " with result "range_response_count:0 size:7" took too long (866.712244ms) to execute
Feb 02 18:27:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:27:33.378688 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.304515099s) to execute
Feb 02 18:27:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:27:33.378754 W | etcdserver: read-only range request "key:\"/registry/rolebindings\" range_end:\"/registry/rolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (553.795418ms) to execute
Feb 02 18:27:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:27:33.378827 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (782.480808ms) to execute
Feb 02 18:27:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:27:35.549279 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (129.678697ms) to execute
Feb 02 18:28:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:28:10.629426 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4rjsk\" " with result "range_response_count:1 size:2946" took too long (103.505216ms) to execute
Feb 02 18:28:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:28:22.304113 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h89hc\" " with result "range_response_count:1 size:4150" took too long (157.858893ms) to execute
Feb 02 18:28:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:28:52.866928 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-dpjxk\" " with result "range_response_count:1 size:2314" took too long (492.069615ms) to execute
Feb 02 18:28:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:28:52.867085 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (472.849462ms) to execute
Feb 02 18:29:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:29:26.781679 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-dpjxk\" " with result "range_response_count:1 size:2314" took too long (220.992892ms) to execute
Feb 02 18:29:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:29:26.782052 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (333.156227ms) to execute
Feb 02 18:29:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:29:26.782289 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (150.354474ms) to execute
Feb 02 18:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:29:36.312403 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/prometheus-848f5f9cc8-fqqk7.15efa7103756b00e\" " with result "range_response_count:1 size:619" took too long (210.978582ms) to execute
Feb 02 18:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:29:36.312722 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (348.349925ms) to execute
Feb 02 18:29:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:29:52.837295 I | mvcc: store.index: compact 53483037
Feb 02 18:29:52 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:29:52.844635 I | mvcc: finished scheduled compaction at 53483037 (took 4.976238ms)
Feb 02 18:30:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:30:32.116831 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (150.424552ms) to execute
Feb 02 18:30:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:30:34.750402 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-dpjxk\" " with result "range_response_count:1 size:2314" took too long (158.578334ms) to execute
Feb 02 18:30:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:30:34.894077 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (138.094601ms) to execute
Feb 02 18:30:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:30:36.404994 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (117.091733ms) to execute
Feb 02 18:30:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:30:36.405102 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (167.950011ms) to execute
Feb 02 18:31:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:31:06.853501 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (177.924603ms) to execute
Feb 02 18:31:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:31:06.853599 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (393.126282ms) to execute
Feb 02 18:31:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:31:07.755310 W | etcdserver: request "header:<ID:14919139277752457600 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" mod_revision:53484347 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" value_size:2463 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" > >>" with result "size:20" took too long (141.57769ms) to execute
Feb 02 18:31:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:31:07.755577 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (147.600778ms) to execute
Feb 02 18:31:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:31:07.978029 W | etcdserver: request "header:<ID:14919139277752457619 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-7fwxt\" mod_revision:53484354 > success:<request_put:<key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-7fwxt\" value_size:2983 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-7fwxt\" > >>" with result "size:20" took too long (113.14395ms) to execute
Feb 02 18:32:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:32:06.992820 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (317.185894ms) to execute
Feb 02 18:32:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:32:06.992954 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (102.647062ms) to execute
Feb 02 18:32:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:32:25.374246 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (633.18614ms) to execute
Feb 02 18:32:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:32:25.374656 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (123.302999ms) to execute
Feb 02 18:32:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:32:25.374735 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (580.075247ms) to execute
Feb 02 18:32:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:32:25.374984 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (481.205776ms) to execute
Feb 02 18:32:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:32:42.895283 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/signalfxs\" range_end:\"/registry/config.istio.io/signalfxt\" count_only:true " with result "range_response_count:0 size:7" took too long (129.328324ms) to execute
Feb 02 18:33:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:33:07.639764 W | etcdserver: request "header:<ID:14919139277752458871 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:53484603 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:64 lease:5695767240897683061 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (236.84432ms) to execute
Feb 02 18:33:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:33:07.641246 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (160.996649ms) to execute
Feb 02 18:33:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:33:07.647421 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/metrics\" range_end:\"/registry/config.istio.io/metrict\" count_only:true " with result "range_response_count:0 size:9" took too long (139.622184ms) to execute
Feb 02 18:33:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:33:17.976674 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (286.212635ms) to execute
Feb 02 18:33:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:33:17.979675 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (188.234318ms) to execute
Feb 02 18:33:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:33:31.185901 W | wal: sync duration of 1.233183967s, expected less than 1s
Feb 02 18:33:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:33:31.186279 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.219878165s) to execute
Feb 02 18:33:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:33:31.192858 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (685.723034ms) to execute
Feb 02 18:33:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 18:33:31.192972 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (293.69312ms) to execute
