-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 03:31:54 UTC. --
Nov 02 03:11:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:11:28.730387 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1430" took too long (101.905156ms) to execute
Nov 02 03:14:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:14:00.626662 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.834959018s) to execute
Nov 02 03:14:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:14:00.626736 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.358119913s) to execute
Nov 02 03:14:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:14:00.627020 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.424554225s) to execute
Nov 02 03:14:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:14:00.627281 W | etcdserver: request "header:<ID:14919139277657894364 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:35563500 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (1.229141286s) to execute
Nov 02 03:14:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:14:00.627777 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (106.415476ms) to execute
Nov 02 03:14:00 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:14:00.874680 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-669ld\" " with result "range_response_count:1 size:1121" took too long (140.960969ms) to execute
Nov 02 03:14:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:14:50.743977 I | etcdserver: start to snapshot (applied: 39264859, lastsnap: 39254858)
Nov 02 03:14:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:14:50.831554 I | etcdserver: saved snapshot at index 39264859
Nov 02 03:14:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:14:50.832589 I | etcdserver: compacted raft log at 39259859
Nov 02 03:15:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:15:04.677301 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002565f06.snap successfully
Nov 02 03:16:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:16:40.664157 I | mvcc: store.index: compact 35562924
Nov 02 03:16:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:16:40.675035 I | mvcc: finished scheduled compaction at 35562924 (took 9.008951ms)
Nov 02 03:16:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:16:41.278208 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (227.715601ms) to execute
Nov 02 03:16:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:16:41.278989 W | etcdserver: request "header:<ID:14919139277657895934 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:35564028 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (198.26836ms) to execute
Nov 02 03:16:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:16:41.320012 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (202.325946ms) to execute
Nov 02 03:20:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:20:20.658309 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (265.917671ms) to execute
Nov 02 03:20:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:20:20.658466 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (382.383793ms) to execute
Nov 02 03:20:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:20:20.658520 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (729.628892ms) to execute
Nov 02 03:20:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:20:42.937953 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (100.858802ms) to execute
Nov 02 03:20:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:20:42.938029 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (170.505978ms) to execute
Nov 02 03:21:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:21:40.679940 I | mvcc: store.index: compact 35564045
Nov 02 03:21:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:21:40.688847 I | mvcc: finished scheduled compaction at 35564045 (took 7.331462ms)
Nov 02 03:26:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:26:40.778857 I | mvcc: store.index: compact 35564874
Nov 02 03:26:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:26:40.788326 I | mvcc: finished scheduled compaction at 35564874 (took 7.7669ms)
Nov 02 03:26:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 03:26:41.058144 W | etcdserver: request "header:<ID:14919139277657901421 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:35565594 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (119.193959ms) to execute
