-- Logs begin at Wed 2019-11-06 13:57:41 UTC, end at Sat 2019-11-09 10:51:37 UTC. --
Nov 09 10:30:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:30:12.494993 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000539-000000000272fb4c.wal is created
Nov 09 10:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:51.450152 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (1.109014473s) to execute
Nov 09 10:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:51.450276 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (511.898101ms) to execute
Nov 09 10:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:51.450420 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (447.089732ms) to execute
Nov 09 10:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:51.450568 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (945.895687ms) to execute
Nov 09 10:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:51.450981 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (213.296792ms) to execute
Nov 09 10:40:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:51.451217 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (326.524065ms) to execute
Nov 09 10:40:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:52.726459 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (137.043171ms) to execute
Nov 09 10:40:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:52.726534 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (260.241722ms) to execute
Nov 09 10:40:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:52.726677 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (164.069491ms) to execute
Nov 09 10:40:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:52.726736 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (297.686727ms) to execute
Nov 09 10:40:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:53.572068 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (176.578377ms) to execute
Nov 09 10:40:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:40:54.930108 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (142.384789ms) to execute
Nov 09 10:41:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:11.495110 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (488.560879ms) to execute
Nov 09 10:41:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:11.495747 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/rbacconfigs\" range_end:\"/registry/rbac.istio.io/rbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (467.117767ms) to execute
Nov 09 10:41:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:12.877869 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-dfpxb\" " with result "range_response_count:1 size:2440" took too long (275.68587ms) to execute
Nov 09 10:41:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:13.766618 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/istio-system/istio-galley-service-account\" " with result "range_response_count:1 size:636" took too long (884.944237ms) to execute
Nov 09 10:41:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:13.771394 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (719.363311ms) to execute
Nov 09 10:41:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:13.771465 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (111.892384ms) to execute
Nov 09 10:41:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:13.771623 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (385.783587ms) to execute
Nov 09 10:41:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:13.771806 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (645.165231ms) to execute
Nov 09 10:41:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:15.773167 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (804.975614ms) to execute
Nov 09 10:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:16.718268 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (1.666935184s) to execute
Nov 09 10:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:16.718330 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (428.782373ms) to execute
Nov 09 10:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:16.718350 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (527.320599ms) to execute
Nov 09 10:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:16.718449 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (937.858318ms) to execute
Nov 09 10:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:16.718570 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.061388832s) to execute
Nov 09 10:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:16.718680 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (1.461632152s) to execute
Nov 09 10:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:16.718786 W | etcdserver: read-only range request "key:\"/registry/services/specs/default/kubernetes\" " with result "range_response_count:1 size:294" took too long (942.000615ms) to execute
Nov 09 10:41:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:16.718873 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (339.44768ms) to execute
Nov 09 10:41:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:20.379095 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (431.143085ms) to execute
Nov 09 10:41:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:20.379300 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/policies\" range_end:\"/registry/authentication.istio.io/policiet\" count_only:true " with result "range_response_count:0 size:9" took too long (519.33577ms) to execute
Nov 09 10:41:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:21.242944 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (339.482201ms) to execute
Nov 09 10:41:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:21.330238 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (335.537155ms) to execute
Nov 09 10:41:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:21.330421 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:10" took too long (298.281993ms) to execute
Nov 09 10:41:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:22.605631 W | etcdserver: request "header:<ID:14919139277664628098 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" mod_revision:37251391 > success:<request_put:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" value_size:1553 >> failure:<request_range:<key:\"/registry/horizontalpodautoscalers/istio-system/istio-pilot\" > >>" with result "size:20" took too long (734.7905ms) to execute
Nov 09 10:41:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:22.917864 W | wal: sync duration of 1.047427894s, expected less than 1s
Nov 09 10:41:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:22.924515 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (763.120204ms) to execute
Nov 09 10:41:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:22.926770 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (315.1529ms) to execute
Nov 09 10:41:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:22.927070 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4273" took too long (161.452876ms) to execute
Nov 09 10:41:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:22.927316 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (177.830762ms) to execute
Nov 09 10:41:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:26.870102 W | wal: sync duration of 1.875290746s, expected less than 1s
Nov 09 10:41:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:26.873850 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.607231244s) to execute
Nov 09 10:41:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:26.879422 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (1.519820964s) to execute
Nov 09 10:41:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:26.880168 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (138.693322ms) to execute
Nov 09 10:41:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:26.880412 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (140.132491ms) to execute
Nov 09 10:41:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:26.880648 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (193.250004ms) to execute
Nov 09 10:41:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:30.393565 W | wal: sync duration of 1.43128644s, expected less than 1s
Nov 09 10:41:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:30.398092 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (723.53976ms) to execute
Nov 09 10:41:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:30.400345 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-ksp6p\" " with result "range_response_count:1 size:2314" took too long (351.551677ms) to execute
Nov 09 10:41:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:30.400584 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/noops\" range_end:\"/registry/config.istio.io/noopt\" count_only:true " with result "range_response_count:0 size:7" took too long (125.873363ms) to execute
Nov 09 10:41:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:30.400756 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/adapters\" range_end:\"/registry/config.istio.io/adaptert\" count_only:true " with result "range_response_count:0 size:7" took too long (296.362581ms) to execute
Nov 09 10:41:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:36.266130 W | wal: sync duration of 1.248888692s, expected less than 1s
Nov 09 10:41:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:36.270225 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (368.268241ms) to execute
Nov 09 10:41:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:36.270635 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listentries\" range_end:\"/registry/config.istio.io/listentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.186294324s) to execute
Nov 09 10:41:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:36.270946 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5352" took too long (923.924197ms) to execute
Nov 09 10:41:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:36.271406 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (307.396074ms) to execute
Nov 09 10:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:37.685653 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotas\" range_end:\"/registry/config.istio.io/quotat\" count_only:true " with result "range_response_count:0 size:7" took too long (189.842833ms) to execute
Nov 09 10:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:37.685718 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (442.502713ms) to execute
Nov 09 10:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:37.685964 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (499.632565ms) to execute
Nov 09 10:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:37.686190 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (780.368102ms) to execute
Nov 09 10:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:37.686340 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (694.90309ms) to execute
Nov 09 10:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:37.686634 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (761.958182ms) to execute
Nov 09 10:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:37.686845 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (765.808846ms) to execute
Nov 09 10:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:37.687317 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (781.386209ms) to execute
Nov 09 10:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:37.864084 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (161.012183ms) to execute
Nov 09 10:41:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-09 10:41:37.864148 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (164.986291ms) to execute
