-- Logs begin at Fri 2019-12-20 08:29:15 UTC, end at Sat 2019-12-21 16:28:00 UTC. --
Dec 21 16:06:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:06:18.127058 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000649-0000000002fe588e.wal is created
Dec 21 16:11:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:11:34.003899 I | mvcc: store.index: compact 45574512
Dec 21 16:11:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:11:34.015769 I | mvcc: finished scheduled compaction at 45574512 (took 9.23996ms)
Dec 21 16:11:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:11:34.462558 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (187.636457ms) to execute
Dec 21 16:11:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:11:34.462730 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (126.901967ms) to execute
Dec 21 16:11:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:11:34.462932 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (398.90906ms) to execute
Dec 21 16:13:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:13:30.235666 N | compactor: Starting auto-compaction at revision 45495901
Dec 21 16:13:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:13:30.236115 N | compactor: Finished auto-compaction at revision 45495901
Dec 21 16:16:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:16:34.051507 I | mvcc: store.index: compact 45575533
Dec 21 16:16:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:16:34.058617 I | mvcc: finished scheduled compaction at 45575533 (took 5.539522ms)
Dec 21 16:20:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:20:42.382352 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (174.222249ms) to execute
Dec 21 16:20:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:20:42.382604 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-knh5v\" " with result "range_response_count:1 size:1958" took too long (132.286826ms) to execute
Dec 21 16:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:21:34.068098 I | mvcc: store.index: compact 45576302
Dec 21 16:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:21:34.074459 I | mvcc: finished scheduled compaction at 45576302 (took 4.843944ms)
Dec 21 16:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:21:34.326418 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (108.205445ms) to execute
Dec 21 16:22:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:22:26.597629 I | etcdserver: start to snapshot (applied: 50226169, lastsnap: 50216168)
Dec 21 16:22:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:22:26.843435 I | etcdserver: saved snapshot at index 50226169
Dec 21 16:22:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:22:26.843687 W | etcdserver: request "header:<ID:14919139277709582996 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/default/backend\" mod_revision:45577166 > success:<request_put:<key:\"/registry/services/endpoints/default/backend\" value_size:3010 >> failure:<request_range:<key:\"/registry/services/endpoints/default/backend\" > >>" with result "size:20" took too long (182.939007ms) to execute
Dec 21 16:22:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:22:26.843768 I | etcdserver: compacted raft log at 50221169
Dec 21 16:22:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:22:26.843792 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (196.325111ms) to execute
Dec 21 16:22:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-21 16:22:47.620824 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-0000000002fda0a4.snap successfully
