-- Logs begin at Wed 2019-11-06 23:58:34 UTC, end at Sun 2019-11-10 02:10:35 UTC. --
Nov 10 01:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:48:37.101562 N | compactor: Starting auto-compaction at revision 37318888
Nov 10 01:59:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:59:33.313999 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-btc7k.15d5aa8a10aa08c8\" " with result "range_response_count:1 size:591" took too long (303.53951ms) to execute
Nov 10 01:59:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 01:59:35.964394 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (133.512871ms) to execute
Nov 10 02:00:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:00:17.977563 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-kwgjb\" " with result "range_response_count:1 size:1620" took too long (394.44073ms) to execute
Nov 10 02:00:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:00:17.978238 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (141.97051ms) to execute
Nov 10 02:00:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:00:18.226186 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zs5p9\" " with result "range_response_count:1 size:1121" took too long (146.72819ms) to execute
Nov 10 02:00:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:00:18.270499 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (115.787505ms) to execute
Nov 10 02:00:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:00:18.270800 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gqr5j\" " with result "range_response_count:1 size:1118" took too long (175.210832ms) to execute
Nov 10 02:00:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:00:18.469723 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15d5aa8ac281110b\" " with result "range_response_count:1 size:485" took too long (158.647814ms) to execute
Nov 10 02:00:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:00:18.501498 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (175.077605ms) to execute
Nov 10 02:00:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:00:24.503244 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1066" took too long (140.777928ms) to execute
Nov 10 02:00:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:00:24.503466 W | etcdserver: request "header:<ID:14919139277665237431 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:37402352 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (128.174786ms) to execute
Nov 10 02:04:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:04:24.740181 I | mvcc: store.index: compact 37402085
Nov 10 02:04:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:04:24.748872 I | mvcc: finished scheduled compaction at 37402085 (took 6.64056ms)
Nov 10 02:04:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:04:24.993754 W | etcdserver: request "header:<ID:14919139277665239561 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:37402918 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (115.460482ms) to execute
Nov 10 02:04:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:04:44.631637 I | etcdserver: start to snapshot (applied: 41255073, lastsnap: 41245072)
Nov 10 02:04:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:04:44.735582 I | etcdserver: saved snapshot at index 41255073
Nov 10 02:04:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:04:44.735799 I | etcdserver: compacted raft log at 41250073
Nov 10 02:04:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 02:04:45.265433 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-000000000274bd4c.snap successfully
