-- Logs begin at Thu 2020-01-30 03:46:10 UTC, end at Fri 2020-01-31 22:51:59 UTC. --
Jan 31 22:29:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:07.775511 W | wal: sync duration of 1.044483122s, expected less than 1s
Jan 31 22:29:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:34.518810 W | wal: sync duration of 1.16913281s, expected less than 1s
Jan 31 22:29:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:34.848431 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (573.555543ms) to execute
Jan 31 22:29:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:34.848752 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (748.491003ms) to execute
Jan 31 22:29:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:34.849395 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (838.172355ms) to execute
Jan 31 22:29:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:34.849595 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (1.141533144s) to execute
Jan 31 22:29:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:34.850141 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (627.442499ms) to execute
Jan 31 22:29:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:34.850582 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/tracespans\" range_end:\"/registry/config.istio.io/tracespant\" count_only:true " with result "range_response_count:0 size:7" took too long (719.048246ms) to execute
Jan 31 22:29:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:34.851013 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (270.930368ms) to execute
Jan 31 22:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:36.219958 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (992.494716ms) to execute
Jan 31 22:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:36.220012 W | etcdserver: request "header:<ID:14919139277750735066 > lease_revoke:<id:4f0b6e20cce90f5d>" with result "size:29" took too long (918.280671ms) to execute
Jan 31 22:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:36.220089 W | etcdserver: failed to revoke 4f0b6e20cce90f5d ("lease not found")
Jan 31 22:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:36.220193 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotas\" range_end:\"/registry/config.istio.io/quotat\" count_only:true " with result "range_response_count:0 size:7" took too long (887.701727ms) to execute
Jan 31 22:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:36.220228 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (131.761747ms) to execute
Jan 31 22:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:36.220269 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (745.790043ms) to execute
Jan 31 22:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:36.220472 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (169.681938ms) to execute
Jan 31 22:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:36.220545 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (274.662391ms) to execute
Jan 31 22:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:36.220616 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (169.858227ms) to execute
Jan 31 22:29:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:36.220719 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/redisquotas\" range_end:\"/registry/config.istio.io/redisquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (347.734467ms) to execute
Jan 31 22:29:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:38.020040 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (353.376482ms) to execute
Jan 31 22:29:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:38.020143 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (726.10448ms) to execute
Jan 31 22:29:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:38.020366 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (257.88028ms) to execute
Jan 31 22:29:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:38.020516 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (186.529639ms) to execute
Jan 31 22:29:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:38.020765 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (596.0126ms) to execute
Jan 31 22:29:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:38.020800 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (246.850605ms) to execute
Jan 31 22:29:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:38.020993 W | etcdserver: request "header:<ID:14919139277750735083 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:53050119 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (164.783632ms) to execute
Jan 31 22:29:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:38.021328 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (802.174897ms) to execute
Jan 31 22:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:39.816246 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (790.490511ms) to execute
Jan 31 22:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:39.816384 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (704.152171ms) to execute
Jan 31 22:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:39.816442 W | etcdserver: request "header:<ID:14919139277750735097 > lease_revoke:<id:4f0b6e20cce87645>" with result "size:29" took too long (512.636798ms) to execute
Jan 31 22:29:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:39.816502 W | etcdserver: failed to revoke 4f0b6e20cce87645 ("lease not found")
Jan 31 22:29:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:40.431737 W | etcdserver: request "header:<ID:14919139277750735116 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-59lv5\" mod_revision:0 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-59lv5\" value_size:2804 >> failure:<>>" with result "size:20" took too long (116.965023ms) to execute
Jan 31 22:29:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:43.620820 W | etcdserver: request "header:<ID:14919139277750735171 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53050138 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (257.792315ms) to execute
Jan 31 22:29:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:44.609366 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (132.056919ms) to execute
Jan 31 22:29:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:45.754390 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/zipkins\" range_end:\"/registry/config.istio.io/zipkint\" count_only:true " with result "range_response_count:0 size:7" took too long (140.736622ms) to execute
Jan 31 22:29:45 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:45.754494 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-qgxvn\" " with result "range_response_count:1 size:2440" took too long (117.498473ms) to execute
Jan 31 22:29:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:46.766005 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (386.531243ms) to execute
Jan 31 22:29:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:46.766108 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/reportnothings\" range_end:\"/registry/config.istio.io/reportnothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (325.355651ms) to execute
Jan 31 22:29:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:47.203832 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (280.096809ms) to execute
Jan 31 22:29:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:54.277768 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (386.231196ms) to execute
Jan 31 22:29:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:54.277877 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (112.897641ms) to execute
Jan 31 22:29:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:54.278073 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (570.472693ms) to execute
Jan 31 22:29:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:55.043141 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (125.964927ms) to execute
Jan 31 22:29:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:29:57.331032 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:2 size:8051" took too long (202.652523ms) to execute
Jan 31 22:30:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:00.546436 W | etcdserver: request "header:<ID:14919139277750735365 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53050198 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (126.812735ms) to execute
Jan 31 22:30:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:06.742835 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (341.720344ms) to execute
Jan 31 22:30:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:06.743268 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (201.167769ms) to execute
Jan 31 22:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:09.230216 W | wal: sync duration of 1.153382126s, expected less than 1s
Jan 31 22:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:09.375558 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (1.294660774s) to execute
Jan 31 22:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:09.376301 W | etcdserver: request "header:<ID:14919139277750735434 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:53050213 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (144.84218ms) to execute
Jan 31 22:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:09.376523 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (752.677941ms) to execute
Jan 31 22:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:09.376716 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listentries\" range_end:\"/registry/config.istio.io/listentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.052677327s) to execute
Jan 31 22:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:09.376907 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (624.791869ms) to execute
Jan 31 22:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:09.377075 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/circonuses\" range_end:\"/registry/config.istio.io/circonuset\" count_only:true " with result "range_response_count:0 size:7" took too long (965.735485ms) to execute
Jan 31 22:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:09.377115 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (234.542726ms) to execute
Jan 31 22:30:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:09.377271 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.034666244s) to execute
Jan 31 22:30:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:16.276939 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/serviceroles\" range_end:\"/registry/rbac.istio.io/servicerolet\" count_only:true " with result "range_response_count:0 size:7" took too long (303.194414ms) to execute
Jan 31 22:30:19 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:19.650895 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (132.123813ms) to execute
Jan 31 22:30:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:27.895469 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (430.046291ms) to execute
Jan 31 22:30:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:27.895715 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (696.490671ms) to execute
Jan 31 22:30:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:27.895830 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1077" took too long (133.884978ms) to execute
Jan 31 22:30:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:27.895934 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (571.020496ms) to execute
Jan 31 22:30:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:27.896025 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (420.455069ms) to execute
Jan 31 22:30:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:30.006655 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (126.399038ms) to execute
Jan 31 22:30:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:30.006868 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (101.082859ms) to execute
Jan 31 22:30:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:31.077949 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (400.480493ms) to execute
Jan 31 22:30:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:31.078077 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (148.250265ms) to execute
Jan 31 22:30:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:35.178737 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.147587791s) to execute
Jan 31 22:30:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:35.178991 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (302.224874ms) to execute
Jan 31 22:30:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:35.179039 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (902.805923ms) to execute
Jan 31 22:30:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:35.179054 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (957.989395ms) to execute
Jan 31 22:30:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:35.179176 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.125546431s) to execute
Jan 31 22:30:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:35.179356 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (903.239358ms) to execute
Jan 31 22:30:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:35.179514 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/noops\" range_end:\"/registry/config.istio.io/noopt\" count_only:true " with result "range_response_count:0 size:7" took too long (998.81726ms) to execute
Jan 31 22:30:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:44.020301 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (146.01054ms) to execute
Jan 31 22:30:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:50.009829 W | etcdserver: request "header:<ID:14919139277750735826 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:53050290 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:4164 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (490.994425ms) to execute
Jan 31 22:30:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:50.010144 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (133.561978ms) to execute
Jan 31 22:30:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:50.010256 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (488.060906ms) to execute
Jan 31 22:30:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 22:30:51.772390 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (507.139531ms) to execute
