-- Logs begin at Thu 2019-09-26 08:24:48 UTC, end at Fri 2019-09-27 23:07:41 UTC. --
Sep 27 22:46:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:46:46.537248 I | mvcc: store.index: compact 30648688
Sep 27 22:50:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:50:57.520432 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (741.386074ms) to execute
Sep 27 22:50:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:50:57.520645 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (818.39972ms) to execute
Sep 27 22:51:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:28.984051 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (364.749751ms) to execute
Sep 27 22:51:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:46.601063 I | mvcc: store.index: compact 30650730
Sep 27 22:51:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:46.617209 I | mvcc: finished scheduled compaction at 30650730 (took 14.257951ms)
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.289257 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.424364209s) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.289345 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (1.04652861s) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.289547 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.22825199s) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.289853 W | etcdserver: request "header:<ID:14919135698845724318 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:30651565 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (676.699942ms) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.328708 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (650.796806ms) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.363491 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.authentication.istio.io\" " with result "range_response_count:1 size:683" took too long (149.158652ms) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.363542 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (146.596026ms) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.363557 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (592.183734ms) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.363631 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecs\" range_end:\"/registry/config.istio.io/httpapispect\" count_only:true " with result "range_response_count:0 size:7" took too long (627.253615ms) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.363774 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (145.262825ms) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.363966 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (592.798696ms) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.364179 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.admissionregistration.k8s.io\" " with result "range_response_count:1 size:692" took too long (148.850458ms) to execute
Sep 27 22:51:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:51:48.364571 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "range_response_count:1 size:581" took too long (148.591673ms) to execute
Sep 27 22:52:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:52:37.718439 W | wal: sync duration of 1.016361316s, expected less than 1s
Sep 27 22:52:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:52:37.721606 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.008430447s) to execute
Sep 27 22:53:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:53:58.442920 W | wal: sync duration of 1.373179704s, expected less than 1s
Sep 27 22:53:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:53:58.445635 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/solarwindses\" range_end:\"/registry/config.istio.io/solarwindset\" count_only:true " with result "range_response_count:0 size:7" took too long (872.426625ms) to execute
Sep 27 22:53:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:53:58.445968 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (762.129959ms) to execute
Sep 27 22:53:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:53:58.446374 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (297.19541ms) to execute
Sep 27 22:53:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:53:58.446702 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/servicerolebindings\" range_end:\"/registry/rbac.istio.io/servicerolebindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (200.729722ms) to execute
Sep 27 22:53:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:53:58.446898 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jx4pj\" " with result "range_response_count:1 size:4265" took too long (1.184348997s) to execute
Sep 27 22:53:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:53:58.447294 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (806.138267ms) to execute
Sep 27 22:53:58 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:53:58.447547 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (965.451342ms) to execute
Sep 27 22:56:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:56:07.060899 I | etcdserver: start to snapshot (applied: 33854248, lastsnap: 33844247)
Sep 27 22:56:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:56:07.202032 I | etcdserver: saved snapshot at index 33854248
Sep 27 22:56:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:56:07.202478 I | etcdserver: compacted raft log at 33849248
Sep 27 22:56:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:56:12.585457 W | etcdserver: request "header:<ID:14919135698845727402 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:30652275 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (204.808177ms) to execute
Sep 27 22:56:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:56:12.585578 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (101.398809ms) to execute
Sep 27 22:56:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:56:12.720693 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/000000000000000b-000000000203cfd3.snap successfully
Sep 27 22:56:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:56:46.613542 I | mvcc: store.index: compact 30651581
Sep 27 22:56:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 22:56:46.620627 I | mvcc: finished scheduled compaction at 30651581 (took 5.629236ms)
Sep 27 23:01:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 23:01:46.629700 I | mvcc: store.index: compact 30652398
Sep 27 23:01:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 23:01:46.636675 I | mvcc: finished scheduled compaction at 30652398 (took 5.597262ms)
Sep 27 23:01:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 23:01:46.838084 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (141.344898ms) to execute
