-- Logs begin at Sun 2020-03-29 12:25:01 UTC, end at Tue 2020-03-31 12:24:54 UTC. --
Mar 31 12:02:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:05.637614 W | wal: sync duration of 1.116563454s, expected less than 1s
Mar 31 12:02:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:07.190525 N | compactor: Starting auto-compaction at revision 62389112
Mar 31 12:02:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:07.190861 N | compactor: Finished auto-compaction at revision 62389112
Mar 31 12:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:24.329940 W | etcdserver: request "header:<ID:14919139277805352541 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-jrx2h.160161dca36e7f43\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-jrx2h.160161dca36e7f43\" value_size:392 lease:5695767240950575850 >> failure:<>>" with result "size:20" took too long (177.234067ms) to execute
Mar 31 12:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:24.331452 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fw5mf\" " with result "range_response_count:1 size:2946" took too long (193.060555ms) to execute
Mar 31 12:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:24.344430 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (202.586664ms) to execute
Mar 31 12:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:24.344578 W | etcdserver: read-only range request "key:\"/registry/secrets/default/istio.default\" " with result "range_response_count:1 size:4164" took too long (203.737278ms) to execute
Mar 31 12:02:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:24.344687 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (204.407707ms) to execute
Mar 31 12:02:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:29.391757 I | mvcc: store.index: compact 62440756
Mar 31 12:02:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:02:29.395604 I | mvcc: finished scheduled compaction at 62440756 (took 2.934037ms)
Mar 31 12:03:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:03:58.285348 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (210.83795ms) to execute
Mar 31 12:04:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:04:14.426519 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (148.984227ms) to execute
Mar 31 12:04:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:04:14.457626 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:3874" took too long (104.475751ms) to execute
Mar 31 12:04:14 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:04:14.457730 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:19 size:52614" took too long (173.215646ms) to execute
Mar 31 12:05:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:39.039248 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (169.723147ms) to execute
Mar 31 12:05:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:39.039357 W | etcdserver: request "header:<ID:14919139277805355697 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-egressgateway.16016209ff411d6b\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-egressgateway.16016209ff411d6b\" value_size:387 lease:5695767240950579472 >> failure:<>>" with result "size:20" took too long (132.516487ms) to execute
Mar 31 12:05:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:39.060118 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6188" took too long (169.367267ms) to execute
Mar 31 12:05:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:39.060188 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (169.75172ms) to execute
Mar 31 12:05:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:39.312155 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (184.890266ms) to execute
Mar 31 12:05:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:39.312318 W | etcdserver: request "header:<ID:14919139277805355717 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" mod_revision:62441709 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" value_size:2532 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" > >>" with result "size:20" took too long (163.778065ms) to execute
Mar 31 12:05:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:39.331822 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:890" took too long (196.59157ms) to execute
Mar 31 12:05:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:39.593650 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:533" took too long (219.336992ms) to execute
Mar 31 12:05:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:39.598043 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2745" took too long (177.62685ms) to execute
Mar 31 12:05:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:39.598333 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:678" took too long (177.87364ms) to execute
Mar 31 12:05:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:53.878381 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (176.640125ms) to execute
Mar 31 12:05:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:53.879041 W | etcdserver: request "header:<ID:14919139277805355983 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n8gvs\" mod_revision:62424522 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n8gvs\" value_size:3023 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n8gvs\" > >>" with result "size:20" took too long (160.145348ms) to execute
Mar 31 12:05:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:53.898314 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (194.554708ms) to execute
Mar 31 12:05:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:53.929093 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (191.248435ms) to execute
Mar 31 12:05:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:53.931125 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (168.606699ms) to execute
Mar 31 12:05:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:53.931380 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:24 size:66028" took too long (102.04079ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.136872 W | etcdserver: request "header:<ID:14919139277805356000 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:62441751 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6117 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (156.696419ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.156666 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6151" took too long (169.934047ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.397430 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:785" took too long (192.922749ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.397538 W | etcdserver: request "header:<ID:14919139277805356016 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-pilot.1601620d91da449a\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-pilot.1601620d91da449a\" value_size:392 lease:5695767240950579472 >> failure:<>>" with result "size:20" took too long (151.14001ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.425961 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-telemetry-57658695c8-khtj6\" " with result "range_response_count:1 size:3415" took too long (196.021341ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.426760 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:36 size:25472" took too long (199.937378ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.426923 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:36 size:25472" took too long (200.526007ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.429249 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/circonuses\" range_end:\"/registry/config.istio.io/circonuset\" count_only:true " with result "range_response_count:0 size:7" took too long (103.02073ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.429325 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (153.782271ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.429402 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (127.026457ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.632040 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5925" took too long (163.754616ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.632132 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (165.769576ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.632293 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:24 size:66032" took too long (165.136397ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.671173 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-m8qgw.1601620c4af64321\" " with result "range_response_count:1 size:520" took too long (128.102429ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.671592 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (176.442628ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.886633 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vkvt7\" " with result "range_response_count:1 size:3754" took too long (204.687376ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.886759 W | etcdserver: request "header:<ID:14919139277805356050 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-telemetry\" mod_revision:62425299 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-telemetry\" value_size:871 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-telemetry\" > >>" with result "size:20" took too long (148.246448ms) to execute
Mar 31 12:05:54 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:54.886849 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6202" took too long (197.070351ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.413306 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/daemon-set-controller-token-xnrf6\" " with result "range_response_count:1 size:2381" took too long (178.110516ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.457325 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-qgwh4\" " with result "range_response_count:1 size:2850" took too long (202.730734ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.457374 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-qgwh4.1601620dc8eb8e29\" " with result "range_response_count:1 size:587" took too long (203.526086ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.457433 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-qgwh4\" " with result "range_response_count:1 size:2850" took too long (203.438537ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.457822 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:901" took too long (207.950896ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.457945 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2745" took too long (208.072458ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.458162 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/daemon-set-controller\" " with result "range_response_count:1 size:262" took too long (207.402406ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.675809 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (164.518746ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.690667 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-qgwh4\" " with result "range_response_count:1 size:2850" took too long (168.553364ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.690862 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-qgwh4.1601620dc8eb8e29\" " with result "range_response_count:1 size:587" took too long (167.927811ms) to execute
Mar 31 12:05:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:05:55.691374 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-qgwh4\" " with result "range_response_count:1 size:2850" took too long (164.674141ms) to execute
Mar 31 12:07:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:07:25.049210 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (126.045461ms) to execute
Mar 31 12:07:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:07:25.052055 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:25 size:68876" took too long (119.529953ms) to execute
Mar 31 12:07:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:07:29.403034 I | mvcc: store.index: compact 62441183
Mar 31 12:07:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:07:29.407066 I | mvcc: finished scheduled compaction at 62441183 (took 3.139451ms)
Mar 31 12:09:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:09:06.114533 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:25 size:68994" took too long (108.793284ms) to execute
Mar 31 12:10:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:10:25.102584 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (144.491575ms) to execute
Mar 31 12:10:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:10:25.102908 W | etcdserver: request "header:<ID:14919139277805360586 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-9hmm9\" mod_revision:62442833 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-9hmm9\" value_size:3504 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-9hmm9\" > >>" with result "size:20" took too long (132.493018ms) to execute
Mar 31 12:10:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:10:25.118543 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (110.712181ms) to execute
Mar 31 12:12:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:11.235495 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (121.140891ms) to execute
Mar 31 12:12:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:11.273135 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (150.685704ms) to execute
Mar 31 12:12:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:11.273470 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:25 size:71489" took too long (138.076832ms) to execute
Mar 31 12:12:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:11.498340 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:785" took too long (152.330375ms) to execute
Mar 31 12:12:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:11.521801 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (143.088213ms) to execute
Mar 31 12:12:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:11.732817 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (199.875933ms) to execute
Mar 31 12:12:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:11.733354 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2745" took too long (199.539634ms) to execute
Mar 31 12:12:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:11.787920 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1314" took too long (214.218214ms) to execute
Mar 31 12:12:11 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:11.898972 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2745" took too long (102.182519ms) to execute
Mar 31 12:12:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:12.208878 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-sidecar-injector-8946597f4-jz4v7\" " with result "range_response_count:1 size:2788" took too long (212.953453ms) to execute
Mar 31 12:12:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:12.209430 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/\" range_end:\"/registry/pods/istio-system0\" limit:500 " with result "range_response_count:25 size:71499" took too long (223.878441ms) to execute
Mar 31 12:12:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:12.591077 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (127.053598ms) to execute
Mar 31 12:12:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:12.906836 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/prometheus-operator-prometheus-node-exporter-phxzz\" " with result "range_response_count:1 size:2890" took too long (115.432492ms) to execute
Mar 31 12:12:12 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:12.907539 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/daemon-set-controller-token-xnrf6\" " with result "range_response_count:1 size:2381" took too long (130.721077ms) to execute
Mar 31 12:12:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:29.415048 I | mvcc: store.index: compact 62442156
Mar 31 12:12:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:29.421513 I | mvcc: finished scheduled compaction at 62442156 (took 4.847296ms)
Mar 31 12:12:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:29.893754 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (311.080795ms) to execute
Mar 31 12:12:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:29.893793 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (251.580232ms) to execute
Mar 31 12:12:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:12:29.893916 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (372.932058ms) to execute
Mar 31 12:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:13:10.249617 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (197.315445ms) to execute
Mar 31 12:13:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-03-31 12:13:10.386419 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/prometheus-848f5f9cc8-77r5k\" " with result "range_response_count:1 size:2102" took too long (234.574377ms) to execute
