-- Logs begin at Sat 2019-11-02 00:45:01 UTC, end at Tue 2019-11-05 01:38:13 UTC. --
Nov 05 01:16:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:16:18.596723 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (383.904867ms) to execute
Nov 05 01:17:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:23.032659 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.apiextensions.k8s.io\" " with result "range_response_count:1 size:667" took too long (315.856106ms) to execute
Nov 05 01:17:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:23.032755 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (317.568953ms) to execute
Nov 05 01:17:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:25.885870 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (331.388766ms) to execute
Nov 05 01:17:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:26.137703 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pod-garbage-collector\" " with result "range_response_count:1 size:262" took too long (246.992529ms) to execute
Nov 05 01:17:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:30.474533 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (262.828405ms) to execute
Nov 05 01:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:36.465369 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (272.78859ms) to execute
Nov 05 01:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:36.472342 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (159.720117ms) to execute
Nov 05 01:17:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:36.472530 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5xxbs.15d41f57cf0b0381\" " with result "range_response_count:1 size:587" took too long (120.736808ms) to execute
Nov 05 01:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:45.275464 I | mvcc: store.index: compact 36201716
Nov 05 01:17:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:45.281418 I | mvcc: finished scheduled compaction at 36201716 (took 4.089302ms)
Nov 05 01:17:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:53.412654 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (330.80149ms) to execute
Nov 05 01:17:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:17:58.947058 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (281.578355ms) to execute
Nov 05 01:18:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:03.621408 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (241.321698ms) to execute
Nov 05 01:18:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:03.621475 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (200.019224ms) to execute
Nov 05 01:18:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:03.621821 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (356.538005ms) to execute
Nov 05 01:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:09.261284 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (821.415486ms) to execute
Nov 05 01:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:09.265218 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (614.459136ms) to execute
Nov 05 01:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:09.265268 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (148.427672ms) to execute
Nov 05 01:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:09.265399 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (334.924605ms) to execute
Nov 05 01:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:09.265472 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (258.797751ms) to execute
Nov 05 01:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:12.471542 W | wal: sync duration of 1.632741062s, expected less than 1s
Nov 05 01:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:12.473751 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.193266221s) to execute
Nov 05 01:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:12.474019 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.519851955s) to execute
Nov 05 01:18:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:12.474621 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.194162095s) to execute
Nov 05 01:18:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:17.560281 W | wal: sync duration of 1.00268132s, expected less than 1s
Nov 05 01:18:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:17.560898 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:2 size:3696" took too long (844.234183ms) to execute
Nov 05 01:18:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:26.654685 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5xxbs.15d41f57cf0b0381\" " with result "range_response_count:1 size:587" took too long (304.472183ms) to execute
Nov 05 01:18:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:26.654936 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (109.089318ms) to execute
Nov 05 01:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:29.679095 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (283.917301ms) to execute
Nov 05 01:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:29.686464 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-lq977.15d41f596f6b4812\" " with result "range_response_count:1 size:592" took too long (165.799099ms) to execute
Nov 05 01:18:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:29.686543 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5xxbs.15d41f5884e53a66\" " with result "range_response_count:1 size:588" took too long (286.068414ms) to execute
Nov 05 01:18:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:39.685507 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5xxbs.15d41f5884e53a66\" " with result "range_response_count:1 size:588" took too long (283.887429ms) to execute
Nov 05 01:18:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:39.688012 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (206.91277ms) to execute
Nov 05 01:18:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:39.688336 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-lq977.15d41f596f6b4812\" " with result "range_response_count:1 size:592" took too long (169.083641ms) to execute
Nov 05 01:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:47.145843 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-lq977.15d41f58d99b393d\" " with result "range_response_count:1 size:591" took too long (137.673616ms) to execute
Nov 05 01:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:47.145895 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (357.551467ms) to execute
Nov 05 01:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:47.145911 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (128.604645ms) to execute
Nov 05 01:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:47.146055 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (306.894451ms) to execute
Nov 05 01:18:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:49.131558 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (126.339889ms) to execute
Nov 05 01:18:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:54.599980 W | etcdserver: read-only range request "key:\"/registry/events/default/backend.15d41f4f92772699\" " with result "range_response_count:1 size:498" took too long (265.546193ms) to execute
Nov 05 01:18:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:18:57.511904 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (132.535398ms) to execute
Nov 05 01:19:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:08.459711 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (310.706862ms) to execute
Nov 05 01:19:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:09.711745 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-lq977.15d41f596f6b4812\" " with result "range_response_count:1 size:592" took too long (191.14515ms) to execute
Nov 05 01:19:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:09.711848 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5xxbs.15d41f5884e53a66\" " with result "range_response_count:1 size:588" took too long (309.880869ms) to execute
Nov 05 01:19:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:17.578852 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (296.940997ms) to execute
Nov 05 01:19:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:17.578904 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (342.768613ms) to execute
Nov 05 01:19:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:17.579214 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-lq977.15d41f648fc9acf6\" " with result "range_response_count:1 size:567" took too long (189.572615ms) to execute
Nov 05 01:19:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:17.579372 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (342.894133ms) to execute
Nov 05 01:19:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:32.827478 W | wal: sync duration of 1.17819539s, expected less than 1s
Nov 05 01:19:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:32.831358 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (843.142195ms) to execute
Nov 05 01:19:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:32.831907 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (487.233747ms) to execute
Nov 05 01:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:33.692273 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (301.693998ms) to execute
Nov 05 01:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:33.692476 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (312.704483ms) to execute
Nov 05 01:19:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:33.692617 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/heapster\" " with result "range_response_count:0 size:7" took too long (854.215119ms) to execute
Nov 05 01:19:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:50.614484 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (504.720691ms) to execute
Nov 05 01:19:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:50.614563 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (596.133164ms) to execute
Nov 05 01:19:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:50.614614 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (160.337349ms) to execute
Nov 05 01:19:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:56.234323 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (341.804069ms) to execute
Nov 05 01:19:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:56.242229 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (215.257096ms) to execute
Nov 05 01:19:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:19:56.242472 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (349.902821ms) to execute
Nov 05 01:20:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:01.472492 W | wal: sync duration of 1.403303399s, expected less than 1s
Nov 05 01:20:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:01.472794 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (765.660367ms) to execute
Nov 05 01:20:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:01.486534 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (506.164068ms) to execute
Nov 05 01:20:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:07.584156 W | wal: sync duration of 1.180653427s, expected less than 1s
Nov 05 01:20:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:07.584563 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (1.017930556s) to execute
Nov 05 01:20:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:16.048499 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (109.705459ms) to execute
Nov 05 01:20:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:38.890483 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-lq977\" " with result "range_response_count:1 size:1855" took too long (364.93423ms) to execute
Nov 05 01:20:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:38.891167 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (368.0122ms) to execute
Nov 05 01:20:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:38.891297 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (317.276353ms) to execute
Nov 05 01:20:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:38.891415 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (367.24418ms) to execute
Nov 05 01:20:51 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:51.766341 W | wal: sync duration of 1.308221464s, expected less than 1s
Nov 05 01:20:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:54.998162 W | etcdserver: request "header:<ID:14919139277660504520 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:36202867 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:64 lease:5695767240805728710 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (788.728663ms) to execute
Nov 05 01:20:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:54.998538 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (753.659548ms) to execute
Nov 05 01:20:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:54.998777 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (549.263164ms) to execute
Nov 05 01:20:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:54.998889 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (339.121777ms) to execute
Nov 05 01:20:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:56.620520 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (106.572327ms) to execute
Nov 05 01:20:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:57.568669 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-lq977.15d41f58d99b393d\" " with result "range_response_count:1 size:591" took too long (564.17761ms) to execute
Nov 05 01:20:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:57.576863 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (570.404052ms) to execute
Nov 05 01:20:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:57.576909 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qnvxt\" " with result "range_response_count:1 size:1501" took too long (430.878748ms) to execute
Nov 05 01:20:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:20:57.577090 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dxghk\" " with result "range_response_count:1 size:1502" took too long (513.638643ms) to execute
Nov 05 01:21:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:14.292261 W | etcdserver: request "header:<ID:14919139277660504721 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-dxghk.15d41f90342f973a\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-dxghk.15d41f90342f973a\" value_size:487 lease:5695767240805728629 >> failure:<>>" with result "size:20" took too long (169.598349ms) to execute
Nov 05 01:21:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:14.292721 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (392.447025ms) to execute
Nov 05 01:21:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:14.292988 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (388.510721ms) to execute
Nov 05 01:21:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:18.772070 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (266.82478ms) to execute
Nov 05 01:21:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-05 01:21:18.772305 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (267.405612ms) to execute
