-- Logs begin at Fri 2020-01-31 20:55:11 UTC, end at Sun 2020-02-02 10:33:55 UTC. --
Feb 02 10:11:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:11:00.460051 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway-54b4586c76-vvnkk.15ef8b558cf3d738\" " with result "range_response_count:1 size:577" took too long (105.454012ms) to execute
Feb 02 10:14:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:48.553145 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (190.205731ms) to execute
Feb 02 10:14:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:48.553372 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (613.990418ms) to execute
Feb 02 10:14:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:48.553580 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (449.593952ms) to execute
Feb 02 10:14:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:49.025963 I | mvcc: store.index: compact 53405536
Feb 02 10:14:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:49.044565 I | mvcc: finished scheduled compaction at 53405536 (took 16.069003ms)
Feb 02 10:14:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:49.244107 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (166.309621ms) to execute
Feb 02 10:14:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:53.022297 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (439.529015ms) to execute
Feb 02 10:14:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:58.390364 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (321.796498ms) to execute
Feb 02 10:14:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:14:58.390582 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (321.902634ms) to execute
Feb 02 10:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:15:24.307294 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (233.181064ms) to execute
Feb 02 10:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:15:26.907900 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (154.266741ms) to execute
Feb 02 10:15:55 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:15:55.080145 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (237.255517ms) to execute
Feb 02 10:16:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:16:01.717116 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (104.360039ms) to execute
Feb 02 10:16:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:16:05.224043 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (100.986311ms) to execute
Feb 02 10:16:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:16:07.730662 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (497.244373ms) to execute
Feb 02 10:16:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:16:09.397663 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (317.431935ms) to execute
Feb 02 10:16:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:16:09.397787 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (317.40732ms) to execute
Feb 02 10:16:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:16:18.006459 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (200.62299ms) to execute
Feb 02 10:16:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:16:18.006584 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (201.941422ms) to execute
Feb 02 10:19:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:19:49.110158 I | mvcc: store.index: compact 53406995
Feb 02 10:19:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:19:49.121818 I | mvcc: finished scheduled compaction at 53406995 (took 9.269399ms)
Feb 02 10:19:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:19:49.548658 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (297.005809ms) to execute
Feb 02 10:19:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:19:49.548879 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (281.078179ms) to execute
Feb 02 10:19:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:19:49.549435 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (142.508726ms) to execute
Feb 02 10:24:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:24:49.129069 I | mvcc: store.index: compact 53407658
Feb 02 10:24:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:24:49.134848 I | mvcc: finished scheduled compaction at 53407658 (took 4.461957ms)
Feb 02 10:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:25:23.408540 N | compactor: Starting auto-compaction at revision 53331306
Feb 02 10:25:23 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:25:23.409097 N | compactor: Finished auto-compaction at revision 53331306
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.670859 W | wal: sync duration of 1.837981477s, expected less than 1s
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.675664 W | etcdserver: request "header:<ID:14919139277752154659 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:53408344 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:6184 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (1.842273464s) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.676585 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.663861043s) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.678861 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (1.584874426s) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.679080 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (259.682267ms) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.679298 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.storage.k8s.io\" " with result "range_response_count:1 size:635" took too long (259.925392ms) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.679485 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (260.122311ms) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.679655 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (260.2988ms) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.679836 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.events.k8s.io\" " with result "range_response_count:1 size:646" took too long (260.550701ms) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.679998 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (713.092083ms) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.680198 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (777.1804ms) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.680404 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1406" took too long (951.652456ms) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.680596 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.058914442s) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.680772 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.151277862s) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.680979 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.529407983s) to execute
Feb 02 10:26:00 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:26:00.681247 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.536865096s) to execute
Feb 02 10:29:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:29:49.260925 I | mvcc: store.index: compact 53408230
Feb 02 10:29:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:29:49.262103 W | etcdserver: request "header:<ID:14919139277752156390 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > compaction:<revision:53408230 > " with result "size:7" took too long (105.333541ms) to execute
Feb 02 10:29:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 10:29:49.266322 I | mvcc: finished scheduled compaction at 53408230 (took 4.123524ms)
