-- Logs begin at Tue 2019-11-05 09:07:00 UTC, end at Fri 2019-11-08 05:21:21 UTC. --
Nov 08 04:59:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 04:59:28.085471 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (327.863055ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.009140 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-4v782\" " with result "range_response_count:1 size:3496" took too long (179.834624ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.040396 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (187.581847ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.234070 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-4v782\" " with result "range_response_count:1 size:3496" took too long (136.298682ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.234416 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-4cz7n\" " with result "range_response_count:1 size:3231" took too long (136.934764ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.234743 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/grafana-6585df8c56-4v782.15d51814b2b7f721\" " with result "range_response_count:1 size:547" took too long (155.452625ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.234924 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-4v782\" " with result "range_response_count:1 size:3496" took too long (157.269104ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.235034 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (136.825865ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.235144 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (160.657184ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.479175 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-citadel-service-account-token-bjbkh\" " with result "range_response_count:1 size:2447" took too long (174.728656ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.518640 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (139.062446ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.519313 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-sd4hk\" " with result "range_response_count:1 size:2262" took too long (187.886081ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.750940 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-lvpvb\" " with result "range_response_count:1 size:2732" took too long (195.110332ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.751505 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (196.764378ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.793585 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-lvpvb\" " with result "range_response_count:1 size:2732" took too long (208.567207ms) to execute
Nov 08 05:15:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:23.793836 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (211.450832ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.007719 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-nf5z2\" " with result "range_response_count:1 size:3231" took too long (201.695658ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.007774 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-g8m8k\" " with result "range_response_count:1 size:2850" took too long (198.895554ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.007853 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (202.93246ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.008053 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (199.47481ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.008790 W | etcdserver: request "header:<ID:14919139277663460736 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:36958718 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6115 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (156.207017ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.022839 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-g8m8k\" " with result "range_response_count:1 size:2850" took too long (188.255275ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.244073 W | etcdserver: request "header:<ID:14919139277663460753 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-zg2bc\" mod_revision:36958734 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-zg2bc\" value_size:3149 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-zg2bc\" > >>" with result "size:20" took too long (135.378318ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.244909 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-g8m8k\" " with result "range_response_count:1 size:2850" took too long (134.638249ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.275450 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-g8m8k.15d518151d90be14\" " with result "range_response_count:1 size:587" took too long (164.543995ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.275709 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (165.112145ms) to execute
Nov 08 05:15:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-08 05:15:24.489001 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/grafana-6585df8c56-4v782.15d51814b2b7f721\" " with result "range_response_count:1 size:547" took too long (175.036582ms) to execute
