-- Logs begin at Thu 2019-11-07 09:31:01 UTC, end at Sun 2019-11-10 07:10:27 UTC. --
Nov 10 06:48:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:48:37.122402 N | compactor: Starting auto-compaction at revision 37369163
Nov 10 06:53:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:53:28.853613 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (327.238136ms) to execute
Nov 10 06:54:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:54:26.690786 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4146" took too long (506.740715ms) to execute
Nov 10 06:54:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:54:27.356252 I | mvcc: store.index: compact 37452188
Nov 10 06:54:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:54:27.364559 I | mvcc: finished scheduled compaction at 37452188 (took 6.921338ms)
Nov 10 06:54:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:54:27.783542 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (124.440648ms) to execute
Nov 10 06:54:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:54:43.326054 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (102.101325ms) to execute
Nov 10 06:54:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:54:54.500190 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (225.534632ms) to execute
Nov 10 06:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:59:27.369495 I | mvcc: store.index: compact 37453160
Nov 10 06:59:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:59:27.379492 I | mvcc: finished scheduled compaction at 37453160 (took 8.318329ms)
Nov 10 06:59:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 06:59:50.689025 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (578.946553ms) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.233862 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6sbd5\" " with result "range_response_count:1 size:2314" took too long (104.780789ms) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.234170 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (1.544511575s) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.234338 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (1.430094036s) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.234539 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.304858116s) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.234768 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6sbd5\" " with result "range_response_count:1 size:2314" took too long (611.955244ms) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.234861 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (145.575471ms) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.234970 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/templates\" range_end:\"/registry/config.istio.io/templatet\" count_only:true " with result "range_response_count:0 size:7" took too long (757.472618ms) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.235018 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (721.278309ms) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.235124 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.270425399s) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.235189 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/reportnothings\" range_end:\"/registry/config.istio.io/reportnothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (612.220905ms) to execute
Nov 10 07:00:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:00:44.235258 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (1.129672964s) to execute
Nov 10 07:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:04:27.400584 I | mvcc: store.index: compact 37453872
Nov 10 07:04:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:04:27.407317 I | mvcc: finished scheduled compaction at 37453872 (took 5.391514ms)
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.233175 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (110.557637ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.466097 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (195.575724ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.466206 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (190.033143ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.466482 W | etcdserver: request "header:<ID:14919139277665439580 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-psz8b\" mod_revision:37447820 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-psz8b\" value_size:3021 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-psz8b\" > >>" with result "size:20" took too long (153.326965ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.467551 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (191.547119ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.481181 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (180.846878ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.481387 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (180.535893ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.482062 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (183.720229ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.483125 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1307" took too long (178.856474ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.522232 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/logentries\" range_end:\"/registry/config.istio.io/logentriet\" count_only:true " with result "range_response_count:0 size:9" took too long (142.909136ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.743110 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1307" took too long (211.129113ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.743212 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (208.350986ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.743375 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (205.943055ms) to execute
Nov 10 07:08:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:11.743452 W | etcdserver: request "header:<ID:14919139277665439595 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/istio-system/istio-pilot\" mod_revision:37452771 > success:<request_put:<key:\"/registry/services/endpoints/istio-system/istio-pilot\" value_size:452 >> failure:<request_range:<key:\"/registry/services/endpoints/istio-system/istio-pilot\" > >>" with result "size:20" took too long (167.714015ms) to execute
Nov 10 07:08:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:12.016344 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-policy.15d5b8e70fc1e24b\" " with result "range_response_count:1 size:492" took too long (205.535287ms) to execute
Nov 10 07:08:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:12.016679 W | etcdserver: request "header:<ID:14919139277665439613 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-policy\" mod_revision:37447273 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-policy\" value_size:841 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-policy\" > >>" with result "size:20" took too long (164.242049ms) to execute
Nov 10 07:08:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:12.036296 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5942" took too long (194.750598ms) to execute
Nov 10 07:08:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:12.289770 W | etcdserver: request "header:<ID:14919139277665439639 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-policy.15d5b8e7105e354c\" mod_revision:37447806 > success:<request_put:<key:\"/registry/events/istio-system/istio-policy.15d5b8e7105e354c\" value_size:430 lease:5695767240810663315 >> failure:<request_range:<key:\"/registry/events/istio-system/istio-policy.15d5b8e7105e354c\" > >>" with result "size:20" took too long (163.910362ms) to execute
Nov 10 07:08:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:12.290155 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-telemetry\" " with result "range_response_count:1 size:959" took too long (175.974424ms) to execute
Nov 10 07:08:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-10 07:08:12.520860 W | etcdserver: request "header:<ID:14919139277665439658 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:37454961 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (127.994605ms) to execute
