-- Logs begin at Thu 2020-01-30 21:39:54 UTC, end at Sat 2020-02-01 16:44:59 UTC. --
Feb 01 16:21:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:21:58.542865 I | etcdserver: start to snapshot (applied: 58657385, lastsnap: 58647384)
Feb 01 16:22:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:21.363194 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (379.158747ms) to execute
Feb 01 16:22:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:21.363369 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (276.121364ms) to execute
Feb 01 16:22:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:21.363692 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (279.196968ms) to execute
Feb 01 16:22:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:24.032160 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (656.27482ms) to execute
Feb 01 16:22:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:24.034205 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (658.255787ms) to execute
Feb 01 16:22:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:24.034581 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (170.541338ms) to execute
Feb 01 16:22:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:24.658843 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/clusterrbacconfigs\" range_end:\"/registry/rbac.istio.io/clusterrbacconfigt\" count_only:true " with result "range_response_count:0 size:7" took too long (297.639221ms) to execute
Feb 01 16:22:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:24.658974 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (384.006184ms) to execute
Feb 01 16:22:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:28.308130 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000037e4713.snap successfully
Feb 01 16:22:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:35.703274 W | etcdserver: read-only range request "key:\"/registry/cronjobs/\" range_end:\"/registry/cronjobs0\" " with result "range_response_count:0 size:7" took too long (112.025213ms) to execute
Feb 01 16:22:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:35.703457 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-egressgateway.15ef53bcf32b5c09\" " with result "range_response_count:1 size:550" took too long (111.725919ms) to execute
Feb 01 16:22:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:53.398287 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (795.492327ms) to execute
Feb 01 16:22:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:53.409847 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (588.059557ms) to execute
Feb 01 16:22:53 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:53.410193 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listcheckers\" range_end:\"/registry/config.istio.io/listcheckert\" count_only:true " with result "range_response_count:0 size:7" took too long (636.469858ms) to execute
Feb 01 16:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:59.085735 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (897.519429ms) to execute
Feb 01 16:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:59.085916 W | etcdserver: request "header:<ID:14919139277751425681 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:53226531 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:3914 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (481.545644ms) to execute
Feb 01 16:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:59.092337 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (558.509632ms) to execute
Feb 01 16:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:59.092380 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (259.505442ms) to execute
Feb 01 16:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:59.092416 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (742.277201ms) to execute
Feb 01 16:22:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:22:59.092446 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (717.253047ms) to execute
Feb 01 16:23:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:05.684046 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (334.75307ms) to execute
Feb 01 16:23:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:05.684339 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (444.648648ms) to execute
Feb 01 16:23:05 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:05.684468 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (209.487618ms) to execute
Feb 01 16:23:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:13.128702 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (394.16269ms) to execute
Feb 01 16:23:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:15.364932 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (201.20784ms) to execute
Feb 01 16:23:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:17.558315 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (174.229832ms) to execute
Feb 01 16:23:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:18.119127 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (245.241799ms) to execute
Feb 01 16:23:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:18.119572 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (217.197801ms) to execute
Feb 01 16:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:24.651406 W | etcdserver: request "header:<ID:14919139277751425950 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53226584 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (896.090667ms) to execute
Feb 01 16:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:24.656813 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (882.892269ms) to execute
Feb 01 16:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:24.664952 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (739.075472ms) to execute
Feb 01 16:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:24.665192 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/checknothings\" range_end:\"/registry/config.istio.io/checknothingt\" count_only:true " with result "range_response_count:0 size:7" took too long (191.290165ms) to execute
Feb 01 16:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:24.665425 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (390.610733ms) to execute
Feb 01 16:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:24.665615 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/meshpolicies\" range_end:\"/registry/authentication.istio.io/meshpoliciet\" count_only:true " with result "range_response_count:0 size:9" took too long (475.135027ms) to execute
Feb 01 16:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:24.668066 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/metrics\" range_end:\"/registry/config.istio.io/metrict\" count_only:true " with result "range_response_count:0 size:9" took too long (635.50695ms) to execute
Feb 01 16:23:24 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:24.892046 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:525" took too long (222.582449ms) to execute
Feb 01 16:23:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:26.791662 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:3990" took too long (100.782832ms) to execute
Feb 01 16:23:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:31.091142 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (113.801063ms) to execute
Feb 01 16:23:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:35.107582 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5098" took too long (441.061ms) to execute
Feb 01 16:23:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:35.111326 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (402.449722ms) to execute
Feb 01 16:23:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:35.111562 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/servicerolebindings\" range_end:\"/registry/rbac.istio.io/servicerolebindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (304.688911ms) to execute
Feb 01 16:23:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:43.536390 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (379.399948ms) to execute
Feb 01 16:23:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:47.844574 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-admission\" " with result "range_response_count:1 size:1573" took too long (185.221121ms) to execute
Feb 01 16:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:49.549763 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:9" took too long (306.300636ms) to execute
Feb 01 16:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:49.550317 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (350.465972ms) to execute
Feb 01 16:23:49 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:23:49.550512 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (358.832935ms) to execute
Feb 01 16:24:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:06.266676 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (154.56421ms) to execute
Feb 01 16:24:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:06.267215 W | etcdserver: request "header:<ID:14919139277751426399 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-twnrj\" mod_revision:53226686 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-twnrj\" value_size:2644 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-twnrj\" > >>" with result "size:20" took too long (134.628242ms) to execute
Feb 01 16:24:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:06.283610 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (151.795846ms) to execute
Feb 01 16:24:06 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:06.310756 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-tvfw6\" " with result "range_response_count:1 size:2738" took too long (165.776061ms) to execute
Feb 01 16:24:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:20.166949 I | mvcc: store.index: compact 53224204
Feb 01 16:24:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:20.203435 I | mvcc: finished scheduled compaction at 53224204 (took 34.424768ms)
Feb 01 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:21.275810 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (148.644781ms) to execute
Feb 01 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:21.276024 W | etcdserver: request "header:<ID:14919139277751426619 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" mod_revision:53226773 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" value_size:2647 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" > >>" with result "size:20" took too long (132.232731ms) to execute
Feb 01 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:21.276281 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (140.128341ms) to execute
Feb 01 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:21.276551 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (135.527846ms) to execute
Feb 01 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:21.666201 N | compactor: Starting auto-compaction at revision 53147805
Feb 01 16:24:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:24:21.666651 N | compactor: Finished auto-compaction at revision 53147805
Feb 01 16:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:25:26.748014 W | wal: sync duration of 1.460045443s, expected less than 1s
Feb 01 16:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:25:26.753192 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/serviceroles\" range_end:\"/registry/rbac.istio.io/servicerolet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.298930136s) to execute
Feb 01 16:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:25:26.759789 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (619.302853ms) to execute
Feb 01 16:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:25:26.760025 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (792.519052ms) to execute
Feb 01 16:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:25:26.760206 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (738.240386ms) to execute
Feb 01 16:25:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:25:26.760354 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (739.305359ms) to execute
Feb 01 16:27:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:27:51.943874 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-bsb96\" " with result "range_response_count:1 size:3254" took too long (115.098409ms) to execute
Feb 01 16:27:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:27:51.944548 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (133.619828ms) to execute
Feb 01 16:27:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:27:51.944805 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (127.180615ms) to execute
Feb 01 16:27:51 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:27:51.945060 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (134.029238ms) to execute
Feb 01 16:29:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:20.221960 I | mvcc: store.index: compact 53226763
Feb 01 16:29:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:20.251432 I | mvcc: finished scheduled compaction at 53226763 (took 14.886874ms)
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.079630 W | etcdserver: read-only range request "key:\"/registry/podtemplates\" range_end:\"/registry/podtemplatet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.22346596s) to execute
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.079829 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (141.036812ms) to execute
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.079911 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (313.495774ms) to execute
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.080195 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (198.091791ms) to execute
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.080273 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/sidecars\" range_end:\"/registry/networking.istio.io/sidecart\" count_only:true " with result "range_response_count:0 size:7" took too long (1.14319417s) to execute
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.080526 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (163.520773ms) to execute
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.080643 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (328.144543ms) to execute
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.080920 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (1.778012283s) to execute
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.081011 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8hz7c\" " with result "range_response_count:1 size:4264" took too long (844.912764ms) to execute
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.081724 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecbindings\" range_end:\"/registry/config.istio.io/httpapispecbindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (428.066764ms) to execute
Feb 01 16:29:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:29:22.293870 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (102.123358ms) to execute
Feb 01 16:34:20 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 16:34:20.239438 I | mvcc: store.index: compact 53227496
