-- Logs begin at Tue 2019-10-29 21:05:01 UTC, end at Sat 2019-11-02 03:06:06 UTC. --
Nov 02 02:43:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:43:59.948870 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/authorizations\" range_end:\"/registry/config.istio.io/authorizationt\" count_only:true " with result "range_response_count:0 size:7" took too long (385.166946ms) to execute
Nov 02 02:44:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:53.311459 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (545.741186ms) to execute
Nov 02 02:44:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:53.311532 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (327.134739ms) to execute
Nov 02 02:44:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:53.311725 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (292.095047ms) to execute
Nov 02 02:44:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:44:53.311857 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (256.989886ms) to execute
Nov 02 02:45:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:05.682795 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (229.366467ms) to execute
Nov 02 02:45:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:20.183557 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (439.896398ms) to execute
Nov 02 02:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:23.510251 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (118.716245ms) to execute
Nov 02 02:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:23.716859 W | etcdserver: request "header:<ID:14919139277657873617 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway.15d3386a2ceb39aa\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway.15d3386a2ceb39aa\" value_size:407 lease:5695767240803097805 >> failure:<>>" with result "size:20" took too long (128.46373ms) to execute
Nov 02 02:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:23.717146 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (147.734987ms) to execute
Nov 02 02:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:23.717235 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (130.984653ms) to execute
Nov 02 02:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:23.717427 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (148.2005ms) to execute
Nov 02 02:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:23.970423 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-2vzgv\" " with result "range_response_count:1 size:3128" took too long (160.27195ms) to execute
Nov 02 02:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:23.970476 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (148.783711ms) to execute
Nov 02 02:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:23.970834 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (149.372073ms) to execute
Nov 02 02:45:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:23.971036 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (150.995164ms) to execute
Nov 02 02:45:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:31.450558 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (161.137319ms) to execute
Nov 02 02:45:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:31.450897 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:995" took too long (161.350242ms) to execute
Nov 02 02:45:31 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:31.451106 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-rb4xk\" " with result "range_response_count:1 size:3128" took too long (157.183607ms) to execute
Nov 02 02:45:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:32.223590 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (671.365967ms) to execute
Nov 02 02:45:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:32.223634 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:995" took too long (747.467858ms) to execute
Nov 02 02:45:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:32.223837 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (747.690745ms) to execute
Nov 02 02:45:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:36.595293 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (336.209833ms) to execute
Nov 02 02:45:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:37.754500 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (143.148138ms) to execute
Nov 02 02:45:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:37.754566 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-2vzgv\" " with result "range_response_count:1 size:3093" took too long (145.82115ms) to execute
Nov 02 02:45:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:37.754862 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (143.268227ms) to execute
Nov 02 02:45:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:38.831324 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (105.12001ms) to execute
Nov 02 02:45:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:38.831402 W | etcdserver: read-only range request "key:\"/registry/limitranges/istio-system/\" range_end:\"/registry/limitranges/istio-system0\" " with result "range_response_count:0 size:7" took too long (136.032412ms) to execute
Nov 02 02:45:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:39.742288 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (902.984322ms) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.199919 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (1.02741726s) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.199963 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/prometheuses\" range_end:\"/registry/config.istio.io/prometheuset\" count_only:true " with result "range_response_count:0 size:7" took too long (951.420817ms) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.200105 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:995" took too long (1.354039875s) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.200171 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (481.257076ms) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.205823 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (454.384458ms) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.206338 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-mgtm5\" " with result "range_response_count:1 size:2738" took too long (414.474329ms) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.471677 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (164.978563ms) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.506997 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/default/\" range_end:\"/registry/resourcequotas/default0\" " with result "range_response_count:0 size:7" took too long (171.427365ms) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.507270 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (197.962663ms) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.929912 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dwtvc\" " with result "range_response_count:1 size:2946" took too long (148.25035ms) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.963585 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (107.586627ms) to execute
Nov 02 02:45:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:40.964024 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9vnsg\" " with result "range_response_count:1 size:2946" took too long (161.549502ms) to execute
Nov 02 02:45:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:41.158341 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (133.751801ms) to execute
Nov 02 02:45:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:42.682838 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (128.833346ms) to execute
Nov 02 02:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:43.829128 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (281.697439ms) to execute
Nov 02 02:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:43.834829 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6163" took too long (234.343925ms) to execute
Nov 02 02:45:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:43.835134 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (277.404413ms) to execute
Nov 02 02:45:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:44.380455 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (104.648109ms) to execute
Nov 02 02:45:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:44.999147 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (286.034512ms) to execute
Nov 02 02:45:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:48.853067 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (687.416114ms) to execute
Nov 02 02:45:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:48.861195 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.authentication.istio.io\" " with result "range_response_count:1 size:683" took too long (304.13687ms) to execute
Nov 02 02:45:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:48.861250 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (304.665742ms) to execute
Nov 02 02:45:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:48.861266 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (460.700066ms) to execute
Nov 02 02:45:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:48.861470 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (303.861029ms) to execute
Nov 02 02:45:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:48.861554 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.apps\" " with result "range_response_count:1 size:605" took too long (305.012539ms) to execute
Nov 02 02:45:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:48.861724 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "range_response_count:1 size:581" took too long (304.203563ms) to execute
Nov 02 02:45:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:48.861788 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (186.029207ms) to execute
Nov 02 02:45:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:50.002350 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (211.983652ms) to execute
Nov 02 02:45:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:50.002401 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-9dfmq.15d3386f36472765\" " with result "range_response_count:1 size:520" took too long (140.017416ms) to execute
Nov 02 02:45:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:50.002449 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/instances\" range_end:\"/registry/config.istio.io/instancet\" count_only:true " with result "range_response_count:0 size:7" took too long (558.113992ms) to execute
Nov 02 02:45:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:50.002485 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jvzz5\" " with result "range_response_count:1 size:4172" took too long (438.62204ms) to execute
Nov 02 02:45:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:50.002584 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-9vnsg.15d3386fc1d8b67b\" " with result "range_response_count:1 size:520" took too long (746.319805ms) to execute
Nov 02 02:45:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:50.002696 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-dwtvc.15d3386fdb0260d1\" " with result "range_response_count:1 size:520" took too long (255.277256ms) to execute
Nov 02 02:45:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:50.002790 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (907.002416ms) to execute
Nov 02 02:45:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:50.002918 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/authorizations\" range_end:\"/registry/config.istio.io/authorizationt\" count_only:true " with result "range_response_count:0 size:7" took too long (958.503195ms) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.544587 W | wal: sync duration of 1.79135392s, expected less than 1s
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.546845 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (1.705036599s) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.583316 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (1.550930558s) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.583444 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (203.742278ms) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.583868 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-9dfmq\" " with result "range_response_count:1 size:4174" took too long (1.720787818s) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.583913 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (492.398489ms) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.584296 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (548.99401ms) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.584360 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (692.380158ms) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.838529 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (241.554098ms) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.846109 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-policy\" " with result "range_response_count:1 size:926" took too long (246.601255ms) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.846203 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (222.990393ms) to execute
Nov 02 02:45:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:45:53.846403 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (236.924273ms) to execute
Nov 02 02:46:02 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:02.044246 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (415.673652ms) to execute
Nov 02 02:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:04.794833 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (893.651082ms) to execute
Nov 02 02:46:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-02 02:46:04.795128 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (874.370804ms) to execute
