-- Logs begin at Sun 2019-12-15 04:02:15 UTC, end at Mon 2019-12-16 16:13:29 UTC. --
Dec 16 15:51:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:51:09.465473 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/attributemanifests\" range_end:\"/registry/config.istio.io/attributemanifestt\" count_only:true " with result "range_response_count:0 size:9" took too long (180.668393ms) to execute
Dec 16 15:53:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:39.218025 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (143.19584ms) to execute
Dec 16 15:53:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:39.249349 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (148.034552ms) to execute
Dec 16 15:53:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:39.249392 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:836" took too long (174.60145ms) to execute
Dec 16 15:53:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:39.249566 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (130.538695ms) to execute
Dec 16 15:53:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:39.467599 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:836" took too long (149.762333ms) to execute
Dec 16 15:53:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:39.503210 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (180.778853ms) to execute
Dec 16 15:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:54.614665 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (155.657292ms) to execute
Dec 16 15:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:54.614729 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:4620" took too long (503.261666ms) to execute
Dec 16 15:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:54.614778 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (485.91329ms) to execute
Dec 16 15:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:54.615002 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (339.979973ms) to execute
Dec 16 15:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:54.615149 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (689.527459ms) to execute
Dec 16 15:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:54.835630 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (122.238071ms) to execute
Dec 16 15:53:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:54.863858 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (145.611022ms) to execute
Dec 16 15:53:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:55.038827 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (134.746246ms) to execute
Dec 16 15:53:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:53:55.039253 W | etcdserver: request "header:<ID:14919139277704742516 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:44346351 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6101 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (129.715478ms) to execute
Dec 16 15:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:54:15.095432 I | mvcc: store.index: compact 44344601
Dec 16 15:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:54:15.102763 I | mvcc: finished scheduled compaction at 44344601 (took 5.516558ms)
Dec 16 15:56:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:56:45.283290 W | etcdserver: request "header:<ID:14919139277704744416 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:44346771 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:986 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (134.471034ms) to execute
Dec 16 15:57:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:05.496504 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "error:context canceled" took too long (10.000156786s) to execute
Dec 16 15:57:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:06.729510 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "error:context canceled" took too long (9.999897882s) to execute
Dec 16 15:57:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:10.496550 W | etcdserver: timed out waiting for read index response
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.366230 W | wal: sync duration of 16.98659374s, expected less than 1s
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.414872 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/statsds\" range_end:\"/registry/config.istio.io/statsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (17.553493491s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.415116 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (17.534858507s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.415235 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (17.211423901s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.415463 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (17.609569376s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.415632 W | etcdserver: request "header:<ID:14919139277704744564 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:44346777 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (17.035713732s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416244 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416314 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416387 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416413 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416427 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416439 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416565 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416604 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416624 W | etcdserver: failed to revoke 4f0b6e20ca2b4e59 ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416643 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416655 W | etcdserver: failed to revoke 4f0b6e20ca2b4e59 ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416671 W | etcdserver: failed to revoke 4f0b6e20ca2b4e59 ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416689 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416700 W | etcdserver: failed to revoke 4f0b6e20ca2b4e59 ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416716 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416752 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listentries\" range_end:\"/registry/config.istio.io/listentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (6.820457074s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416808 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (7.222349557s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416886 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416910 W | etcdserver: failed to revoke 4f0b6e20ca2b4e59 ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416921 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416932 W | etcdserver: failed to revoke 4f0b6e20ca2b4e59 ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416949 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416962 W | etcdserver: failed to revoke 4f0b6e20ca2b4e59 ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.416974 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/templates\" range_end:\"/registry/config.istio.io/templatet\" count_only:true " with result "range_response_count:0 size:7" took too long (7.781059749s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417016 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/logentries\" range_end:\"/registry/config.istio.io/logentriet\" count_only:true " with result "range_response_count:0 size:9" took too long (2.082738747s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417157 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-d929g\" " with result "range_response_count:1 size:2440" took too long (7.832010168s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417179 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (2.545153412s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417242 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417320 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (8.143010415s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417362 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (2.580470706s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417417 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417489 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (8.42712482s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417539 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (2.747499025s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417621 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (2.871238174s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417695 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/apikeys\" range_end:\"/registry/config.istio.io/apikeyt\" count_only:true " with result "range_response_count:0 size:7" took too long (8.467524258s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417795 W | etcdserver: read-only range request "key:\"/registry/mutatingwebhookconfigurations\" range_end:\"/registry/mutatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (2.972074505s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417876 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (8.570487552s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.417998 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (3.079073718s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.418091 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (8.582640483s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.418179 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.418249 W | etcdserver: failed to revoke 4f0b6e20ca2b4e59 ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.418326 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (3.28446645s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.418617 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (11.882011878s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.418671 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (12.252192369s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.418775 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/prometheuses\" range_end:\"/registry/config.istio.io/prometheuset\" count_only:true " with result "range_response_count:0 size:7" took too long (5.088941703s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.418858 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/noops\" range_end:\"/registry/config.istio.io/noopt\" count_only:true " with result "range_response_count:0 size:7" took too long (13.010554756s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.418930 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (5.170356036s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.419047 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (14.50288904s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.419097 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (5.42969609s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.419302 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (5.622775365s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.419475 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.419560 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (3.506286724s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.419914 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420024 W | etcdserver: failed to revoke 4f0b6e20ca2b4dbb ("lease not found")
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420222 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6259" took too long (3.917668204s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420363 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/coredns-token-hmdjn\" " with result "range_response_count:1 size:2283" took too long (15.798342613s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420391 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (3.774199748s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420461 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-sidecar-injector-8946597f4-dhrdr\" " with result "range_response_count:1 size:2631" took too long (3.493654226s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420575 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/gateways\" range_end:\"/registry/networking.istio.io/gatewayt\" count_only:true " with result "range_response_count:0 size:9" took too long (15.814505523s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420627 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/httpapispecbindings\" range_end:\"/registry/config.istio.io/httpapispecbindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (4.231823848s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420737 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (9.176671086s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420758 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:3989" took too long (15.911785239s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420852 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/solarwindses\" range_end:\"/registry/config.istio.io/solarwindset\" count_only:true " with result "range_response_count:0 size:7" took too long (16.126662664s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.420900 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-6mq7c\" " with result "range_response_count:1 size:2314" took too long (4.465657009s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421013 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kuberneteses\" range_end:\"/registry/config.istio.io/kuberneteset\" count_only:true " with result "range_response_count:0 size:9" took too long (16.389953349s) to execute
Dec 16 15:57:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-16 15:57:12.421062 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/fluentds\" range_end:\"/registry/config.istio.io/fluentdt\" count_only:true " with result "range_response_count:0 size:7" took too long (9.731241958s) to execute
