-- Logs begin at Wed 2019-12-18 15:20:13 UTC, end at Fri 2019-12-20 02:21:07 UTC. --
Dec 20 01:59:21 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 01:59:21.750348 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/authorizations\" range_end:\"/registry/config.istio.io/authorizationt\" count_only:true " with result "range_response_count:0 size:7" took too long (687.416007ms) to execute
Dec 20 02:05:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:05:32.868978 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fsppd\" " with result "range_response_count:1 size:2943" took too long (130.481981ms) to execute
Dec 20 02:05:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:05:32.869873 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (113.365678ms) to execute
Dec 20 02:05:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:05:33.039022 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:6260" took too long (101.140044ms) to execute
Dec 20 02:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:06:04.893986 I | mvcc: store.index: compact 45173284
Dec 20 02:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:06:04.959022 I | mvcc: finished scheduled compaction at 45173284 (took 63.046003ms)
Dec 20 02:06:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:06:06.262510 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.230369051s) to execute
Dec 20 02:06:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:06:06.262849 W | etcdserver: read-only range request "key:\"/registry/authentication.istio.io/policies\" range_end:\"/registry/authentication.istio.io/policiet\" count_only:true " with result "range_response_count:0 size:9" took too long (660.184042ms) to execute
Dec 20 02:06:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:06:06.262945 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (633.236702ms) to execute
Dec 20 02:06:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:06:06.263312 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" limit:500 " with result "range_response_count:6 size:28556" took too long (1.180017337s) to execute
Dec 20 02:06:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:06:06.263582 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-9vt62\" " with result "range_response_count:1 size:2440" took too long (904.592083ms) to execute
Dec 20 02:06:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:06:06.263776 W | etcdserver: request "header:<ID:14919139277708024953 > lease_revoke:<id:4f0b6e20ca5d5bbc>" with result "size:29" took too long (402.849871ms) to execute
Dec 20 02:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:08:33.080646 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1f218b61de47f\" " with result "range_response_count:1 size:485" took too long (130.400353ms) to execute
Dec 20 02:08:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:08:33.080734 W | etcdserver: request "header:<ID:14919139277708026766 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45174612 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (117.353791ms) to execute
Dec 20 02:08:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:08:45.447238 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/istio-system/\" range_end:\"/registry/resourcequotas/istio-system0\" " with result "range_response_count:0 size:7" took too long (127.527414ms) to execute
Dec 20 02:08:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:08:45.682491 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-pilot\" " with result "range_response_count:1 size:536" took too long (135.334119ms) to execute
Dec 20 02:08:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:08:45.682604 W | etcdserver: request "header:<ID:14919139277708026982 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-2pttb\" mod_revision:45174704 > success:<request_put:<key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-2pttb\" value_size:2983 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-2pttb\" > >>" with result "size:20" took too long (131.569987ms) to execute
Dec 20 02:08:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:08:45.697458 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (146.702852ms) to execute
Dec 20 02:11:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:11:04.906994 I | mvcc: store.index: compact 45174148
Dec 20 02:11:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:11:04.917188 I | mvcc: finished scheduled compaction at 45174148 (took 8.402454ms)
Dec 20 02:11:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:11:05.340765 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/fluentds\" range_end:\"/registry/config.istio.io/fluentdt\" count_only:true " with result "range_response_count:0 size:7" took too long (135.139496ms) to execute
Dec 20 02:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:13:19.035735 N | compactor: Starting auto-compaction at revision 45096192
Dec 20 02:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:13:19.036155 N | compactor: Finished auto-compaction at revision 45096192
Dec 20 02:15:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:15:17.808331 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (177.382232ms) to execute
Dec 20 02:15:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:15:17.808460 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (777.716147ms) to execute
Dec 20 02:15:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:15:17.808633 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (443.779992ms) to execute
Dec 20 02:16:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:16:04.920046 I | mvcc: store.index: compact 45175069
Dec 20 02:16:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:16:04.930831 I | mvcc: finished scheduled compaction at 45175069 (took 9.044825ms)
Dec 20 02:16:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:16:05.386051 W | etcdserver: request "header:<ID:14919139277708031744 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:45175724 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4355 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (365.50717ms) to execute
Dec 20 02:16:05 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:16:05.412847 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (214.417051ms) to execute
Dec 20 02:16:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:16:33.566056 W | etcdserver: request "header:<ID:14919139277708032061 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:45174760 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (100.232876ms) to execute
Dec 20 02:16:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:16:33.581166 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-2pttb\" " with result "range_response_count:1 size:3243" took too long (115.546677ms) to execute
Dec 20 02:16:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:16:33.792711 W | etcdserver: request "header:<ID:14919139277708032079 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" mod_revision:45174775 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" value_size:687 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" > >>" with result "size:20" took too long (124.945927ms) to execute
Dec 20 02:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:17:49.581747 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:532" took too long (119.336379ms) to execute
Dec 20 02:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:17:49.620027 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (156.676399ms) to execute
Dec 20 02:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:17:49.823824 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (144.998384ms) to execute
Dec 20 02:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:17:49.855575 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (141.871021ms) to execute
Dec 20 02:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:17:49.855977 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (176.622591ms) to execute
Dec 20 02:17:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:17:49.856239 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (177.071948ms) to execute
Dec 20 02:18:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:18:03.340866 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (207.519539ms) to execute
Dec 20 02:18:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:18:03.340933 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (206.646018ms) to execute
Dec 20 02:18:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 02:18:03.340978 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (207.540526ms) to execute
