-- Logs begin at Mon 2019-12-16 09:46:59 UTC, end at Wed 2019-12-18 00:33:52 UTC. --
Dec 18 00:13:12 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:13:12.496768 N | compactor: Starting auto-compaction at revision 44590561
Dec 18 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:57.131677 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1436" took too long (298.319742ms) to execute
Dec 18 00:14:57 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:57.132049 W | etcdserver: read-only range request "key:\"/registry/ingress\" range_end:\"/registry/ingrest\" count_only:true " with result "range_response_count:0 size:7" took too long (123.583391ms) to execute
Dec 18 00:14:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:59.970380 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (546.464242ms) to execute
Dec 18 00:14:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:59.970568 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-p8fpw.15e14ec712cf14d9\" " with result "range_response_count:1 size:591" took too long (460.948102ms) to execute
Dec 18 00:14:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:14:59.970620 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (546.465232ms) to execute
Dec 18 00:15:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:06.004075 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (875.861299ms) to execute
Dec 18 00:15:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:06.004240 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (837.287332ms) to execute
Dec 18 00:15:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:06.705158 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (142.059098ms) to execute
Dec 18 00:15:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:14.300932 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (121.939537ms) to execute
Dec 18 00:15:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:26.935208 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (134.508561ms) to execute
Dec 18 00:15:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:28.696189 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (127.592414ms) to execute
Dec 18 00:15:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:37.132499 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (132.186298ms) to execute
Dec 18 00:15:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:38.195149 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (520.675709ms) to execute
Dec 18 00:15:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:38.195373 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (879.141012ms) to execute
Dec 18 00:15:38 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:38.195410 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (673.766882ms) to execute
Dec 18 00:15:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:46.444744 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (100.071863ms) to execute
Dec 18 00:15:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:48.319237 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wqpx5\" " with result "range_response_count:1 size:1851" took too long (882.226086ms) to execute
Dec 18 00:15:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:15:48.529854 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (182.995613ms) to execute
Dec 18 00:16:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:09.584519 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (265.436186ms) to execute
Dec 18 00:16:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:19.659045 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (260.112899ms) to execute
Dec 18 00:16:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:19.659307 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p8fpw\" " with result "range_response_count:1 size:1735" took too long (252.231472ms) to execute
Dec 18 00:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:29.169850 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-wqpx5.15e14ec5be46f8e8\" " with result "range_response_count:1 size:589" took too long (736.07732ms) to execute
Dec 18 00:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:29.169954 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (658.579024ms) to execute
Dec 18 00:16:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:29.170165 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (448.141224ms) to execute
Dec 18 00:16:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:46.750573 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (136.175918ms) to execute
Dec 18 00:16:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:52.258598 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.apps\" " with result "range_response_count:1 size:605" took too long (782.855519ms) to execute
Dec 18 00:16:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:52.282439 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.monitoring.coreos.com\" " with result "range_response_count:1 size:659" took too long (804.441417ms) to execute
Dec 18 00:16:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:52.282487 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (771.006826ms) to execute
Dec 18 00:16:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:52.282570 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (806.712529ms) to execute
Dec 18 00:16:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:52.282714 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "range_response_count:1 size:581" took too long (805.574611ms) to execute
Dec 18 00:16:52 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:16:52.282889 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (805.662585ms) to execute
Dec 18 00:17:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:17:59.675642 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (971.339839ms) to execute
Dec 18 00:17:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:17:59.675962 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (453.188525ms) to execute
Dec 18 00:17:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:17:59.676235 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (880.015201ms) to execute
Dec 18 00:17:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:17:59.676386 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (593.892432ms) to execute
Dec 18 00:17:59 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:17:59.677038 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/flannel-token-gkg9c\" " with result "range_response_count:1 size:2283" took too long (321.339359ms) to execute
Dec 18 00:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:09.759052 W | wal: sync duration of 2.171344007s, expected less than 1s
Dec 18 00:18:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:09.763402 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.839753812s) to execute
Dec 18 00:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:10.403611 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.206808007s) to execute
Dec 18 00:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:10.403755 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/alertmanagers\" range_end:\"/registry/monitoring.coreos.com/alertmanagert\" count_only:true " with result "range_response_count:0 size:9" took too long (2.135057643s) to execute
Dec 18 00:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:10.403900 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-4qxfs.15e14f008fb798bd\" " with result "range_response_count:1 size:591" took too long (670.432605ms) to execute
Dec 18 00:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:10.403979 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-2vlrt.15e14f0a2efd30b9\" " with result "range_response_count:1 size:592" took too long (893.510863ms) to execute
Dec 18 00:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:10.404087 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.685287479s) to execute
Dec 18 00:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:10.404237 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (1.16266658s) to execute
Dec 18 00:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:10.404292 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (1.939788923s) to execute
Dec 18 00:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:10.404481 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.204028184s) to execute
Dec 18 00:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:10.404968 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (522.215758ms) to execute
Dec 18 00:18:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:10.405275 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (498.178898ms) to execute
Dec 18 00:18:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:46.506323 W | wal: sync duration of 1.165755404s, expected less than 1s
Dec 18 00:18:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:46.507321 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (272.62763ms) to execute
Dec 18 00:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:47.295726 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (697.554745ms) to execute
Dec 18 00:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:47.295791 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-2vlrt.15e14f0999f6ee73\" " with result "range_response_count:1 size:591" took too long (286.997123ms) to execute
Dec 18 00:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:47.296121 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (739.560011ms) to execute
Dec 18 00:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:47.296197 W | etcdserver: read-only range request "key:\"/registry/pods\" range_end:\"/registry/podt\" count_only:true " with result "range_response_count:0 size:9" took too long (372.753366ms) to execute
Dec 18 00:18:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:47.296309 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (602.749789ms) to execute
Dec 18 00:18:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:49.829903 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (320.237937ms) to execute
Dec 18 00:18:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:49.830045 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-2vlrt.15e14f0a2efd30b9\" " with result "range_response_count:1 size:592" took too long (319.900153ms) to execute
Dec 18 00:18:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:50.229631 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-4qxfs.15e14f0a0a594281\" " with result "range_response_count:1 size:567" took too long (245.15227ms) to execute
Dec 18 00:18:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:50.231642 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (107.177019ms) to execute
Dec 18 00:18:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:50.592526 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-4qxfs.15e14efdd0b02cd4\" " with result "range_response_count:1 size:468" took too long (270.797522ms) to execute
Dec 18 00:18:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:50.592846 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (160.40378ms) to execute
Dec 18 00:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:53.741196 W | wal: sync duration of 1.132014424s, expected less than 1s
Dec 18 00:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:53.744496 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (722.104731ms) to execute
Dec 18 00:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:53.744551 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (372.941536ms) to execute
Dec 18 00:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:53.745004 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (409.15423ms) to execute
Dec 18 00:18:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:18:53.745138 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (122.85548ms) to execute
Dec 18 00:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:26.346722 W | wal: sync duration of 1.079453651s, expected less than 1s
Dec 18 00:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:26.350383 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (451.466064ms) to execute
Dec 18 00:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:26.370070 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (144.235919ms) to execute
Dec 18 00:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:26.370102 W | etcdserver: read-only range request "key:\"/registry/priorityclasses\" range_end:\"/registry/priorityclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (120.269497ms) to execute
Dec 18 00:19:26 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:26.370506 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (376.121946ms) to execute
Dec 18 00:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:30.922097 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-p8fpw\" " with result "range_response_count:1 size:1735" took too long (435.73782ms) to execute
Dec 18 00:19:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:30.922273 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (303.41535ms) to execute
Dec 18 00:19:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:41.932608 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (726.718311ms) to execute
Dec 18 00:19:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:41.932946 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wqpx5\" " with result "range_response_count:1 size:1731" took too long (561.598095ms) to execute
Dec 18 00:19:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:42.215479 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (214.313308ms) to execute
Dec 18 00:19:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:50.744297 I | mvcc: store.index: compact 44671098
Dec 18 00:19:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:50.751592 I | mvcc: finished scheduled compaction at 44671098 (took 5.698877ms)
Dec 18 00:19:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:56.930409 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (277.585202ms) to execute
Dec 18 00:19:56 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:19:56.930462 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (155.711345ms) to execute
Dec 18 00:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:20:03.299143 W | etcdserver: request "header:<ID:14919139277706037682 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:44671912 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (381.028765ms) to execute
Dec 18 00:20:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:20:03.300679 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (340.826007ms) to execute
Dec 18 00:20:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:20:16.795885 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (101.894738ms) to execute
Dec 18 00:20:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:20:55.745473 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (152.876607ms) to execute
Dec 18 00:21:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:21:11.193650 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (166.358643ms) to execute
Dec 18 00:21:11 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-18 00:21:11.193758 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (130.406043ms) to execute
