-- Logs begin at Tue 2019-12-17 13:42:37 UTC, end at Thu 2019-12-19 02:49:45 UTC. --
Dec 19 02:26:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:26:58.619682 I | etcdserver: start to snapshot (applied: 49536091, lastsnap: 49526090)
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.732361 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:683" took too long (847.146396ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.732394 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.networking.k8s.io\" " with result "range_response_count:1 size:644" took too long (847.175335ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.732407 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5rl5m.15e1a4f40faf0605\" " with result "range_response_count:1 size:588" took too long (254.263175ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.732490 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (847.288905ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.732601 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (698.62908ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.732640 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (794.182345ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.732654 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (225.406257ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.732781 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5sr62.15e1a4cd0258c96f\" " with result "range_response_count:1 size:591" took too long (810.714067ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.732879 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (717.474181ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.733290 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (827.783495ms) to execute
Dec 19 02:32:23 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:23.733551 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.policy\" " with result "range_response_count:1 size:625" took too long (848.022232ms) to execute
Dec 19 02:32:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:30.831664 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-5sr62.15e1a4cec1819627\" " with result "range_response_count:1 size:590" took too long (410.008432ms) to execute
Dec 19 02:32:30 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:30.831758 W | etcdserver: read-only range request "key:\"/registry/configmaps\" range_end:\"/registry/configmapt\" count_only:true " with result "range_response_count:0 size:9" took too long (456.589769ms) to execute
Dec 19 02:32:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:36.194083 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (217.677876ms) to execute
Dec 19 02:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:39.163298 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (385.549483ms) to execute
Dec 19 02:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:39.165144 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (123.509507ms) to execute
Dec 19 02:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:39.414133 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-tqn98\" " with result "range_response_count:1 size:1118" took too long (178.818296ms) to execute
Dec 19 02:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:39.414275 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-dmpgp\" " with result "range_response_count:1 size:1121" took too long (179.798078ms) to execute
Dec 19 02:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:39.415036 W | etcdserver: request "header:<ID:14919139277707097634 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e1a4fee3e84bfd\" mod_revision:44937886 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e1a4fee3e84bfd\" value_size:386 lease:5695767240852321710 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e1a4fee3e84bfd\" > >>" with result "size:20" took too long (149.004739ms) to execute
Dec 19 02:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:39.430145 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4k2k4\" " with result "range_response_count:1 size:1121" took too long (167.167425ms) to execute
Dec 19 02:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:39.430201 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (180.720711ms) to execute
Dec 19 02:32:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:39.457373 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7btlw\" " with result "range_response_count:1 size:1121" took too long (137.420991ms) to execute
Dec 19 02:32:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:43.935271 W | wal: sync duration of 1.207980195s, expected less than 1s
Dec 19 02:32:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:43.937431 W | etcdserver: read-only range request "key:\"/registry/leases\" range_end:\"/registry/leaset\" count_only:true " with result "range_response_count:0 size:7" took too long (269.756791ms) to execute
Dec 19 02:32:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:43.941312 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (135.605229ms) to execute
Dec 19 02:32:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:43.941707 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (109.099468ms) to execute
Dec 19 02:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:44.146700 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7btlw\" " with result "range_response_count:1 size:1502" took too long (105.211431ms) to execute
Dec 19 02:32:44 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:44.928172 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-sljxv\" " with result "range_response_count:1 size:1740" took too long (139.972508ms) to execute
Dec 19 02:32:55 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:32:55.710984 W | etcdserver: request "header:<ID:14919139277707097904 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:44937973 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:64 lease:5695767240852322094 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (709.68859ms) to execute
Dec 19 02:33:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:09.783867 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (105.833985ms) to execute
Dec 19 02:33:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:14.228741 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (191.334222ms) to execute
Dec 19 02:33:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:39.914443 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (360.469432ms) to execute
Dec 19 02:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:40.676217 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-shfrq\" " with result "range_response_count:1 size:1121" took too long (682.383343ms) to execute
Dec 19 02:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:40.676469 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xx4xf\" " with result "range_response_count:1 size:1121" took too long (682.831256ms) to execute
Dec 19 02:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:40.676734 W | etcdserver: request "header:<ID:14919139277707098325 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e1a4fee3e84bfd\" mod_revision:44938166 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e1a4fee3e84bfd\" value_size:386 lease:5695767240852322446 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e1a4fee3e84bfd\" > >>" with result "size:20" took too long (657.285572ms) to execute
Dec 19 02:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:40.681012 W | etcdserver: read-only range request "key:\"/registry/networkpolicies\" range_end:\"/registry/networkpoliciet\" count_only:true " with result "range_response_count:0 size:7" took too long (359.61264ms) to execute
Dec 19 02:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:40.681236 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-c6wk5\" " with result "range_response_count:1 size:1121" took too long (668.102544ms) to execute
Dec 19 02:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:40.681398 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r24km\" " with result "range_response_count:1 size:1118" took too long (680.257079ms) to execute
Dec 19 02:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:40.681728 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (175.235352ms) to execute
Dec 19 02:33:40 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:40.682011 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (339.69476ms) to execute
Dec 19 02:33:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:41.092850 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1a4fee3e84bfd\" " with result "range_response_count:1 size:485" took too long (405.763846ms) to execute
Dec 19 02:33:41 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:41.093650 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/generic-garbage-collector\" " with result "range_response_count:1 size:274" took too long (404.062462ms) to execute
Dec 19 02:33:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:42.690394 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-r24km\" " with result "range_response_count:1 size:1498" took too long (325.502323ms) to execute
Dec 19 02:33:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:50.638167 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-shfrq\" " with result "range_response_count:1 size:1743" took too long (270.34147ms) to execute
Dec 19 02:33:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:33:50.638588 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1429" took too long (419.048937ms) to execute
Dec 19 02:34:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:34:01.375447 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (195.045852ms) to execute
Dec 19 02:34:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:34:16.479089 W | wal: sync duration of 1.042384111s, expected less than 1s
Dec 19 02:34:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:34:16.482128 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (833.829486ms) to execute
Dec 19 02:34:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:34:16.482223 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (522.806554ms) to execute
Dec 19 02:34:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:34:16.738565 W | etcdserver: read-only range request "key:\"/registry/masterleases/10.0.0.8\" " with result "range_response_count:1 size:133" took too long (250.902929ms) to execute
Dec 19 02:34:18 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:34:18.671533 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (117.633977ms) to execute
Dec 19 02:34:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:34:46.467669 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (196.148252ms) to execute
Dec 19 02:35:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:35:17.442125 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (525.290803ms) to execute
Dec 19 02:35:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:35:17.444835 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (486.221776ms) to execute
Dec 19 02:35:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:35:43.429913 I | mvcc: store.index: compact 44937498
Dec 19 02:35:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:35:43.435302 I | mvcc: finished scheduled compaction at 44937498 (took 4.645566ms)
Dec 19 02:35:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:35:48.379543 W | etcdserver: request "header:<ID:14919139277707099567 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/masterleases/10.0.0.8\" mod_revision:44938550 > success:<request_put:<key:\"/registry/masterleases/10.0.0.8\" value_size:64 lease:5695767240852323757 >> failure:<request_range:<key:\"/registry/masterleases/10.0.0.8\" > >>" with result "size:20" took too long (508.881539ms) to execute
Dec 19 02:35:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:35:48.379726 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (515.669585ms) to execute
Dec 19 02:35:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:35:48.380212 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (393.45553ms) to execute
Dec 19 02:37:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:37:34.867697 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (526.717528ms) to execute
Dec 19 02:37:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:37:34.877930 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (159.278332ms) to execute
Dec 19 02:37:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:37:34.877986 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (536.988868ms) to execute
Dec 19 02:37:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:37:34.878043 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (116.147475ms) to execute
Dec 19 02:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:37:45.135594 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (201.096931ms) to execute
Dec 19 02:37:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:37:45.146494 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (171.645938ms) to execute
Dec 19 02:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:37:47.582011 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (167.302157ms) to execute
Dec 19 02:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:37:47.582159 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (142.56788ms) to execute
Dec 19 02:37:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:37:47.582428 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (167.32187ms) to execute
Dec 19 02:38:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:38:15.464735 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (250.172798ms) to execute
Dec 19 02:38:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:38:15.473926 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (163.406575ms) to execute
Dec 19 02:38:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 02:38:15.474021 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (133.91661ms) to execute
