-- Logs begin at Tue 2019-10-22 12:00:32 UTC, end at Wed 2019-10-23 07:46:20 UTC. --
Oct 23 07:24:43 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:24:43.327906 W | wal: sync duration of 1.008435597s, expected less than 1s
Oct 23 07:26:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:15.778429 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (735.565189ms) to execute
Oct 23 07:26:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:15.779435 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:9" took too long (309.748785ms) to execute
Oct 23 07:26:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:16.720171 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (864.111897ms) to execute
Oct 23 07:26:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:16.720556 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (541.125093ms) to execute
Oct 23 07:26:20 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:20.678110 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (877.736442ms) to execute
Oct 23 07:26:20 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:20.678306 W | etcdserver: request "header:<ID:14919139082523416898 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:33625596 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5280 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (167.412637ms) to execute
Oct 23 07:26:20 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:20.877907 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (151.726804ms) to execute
Oct 23 07:26:22 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:22.000085 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (197.256519ms) to execute
Oct 23 07:26:22 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:22.402590 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (599.086964ms) to execute
Oct 23 07:26:22 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:22.912338 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (504.654834ms) to execute
Oct 23 07:26:25 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:25.608587 W | wal: sync duration of 1.221286245s, expected less than 1s
Oct 23 07:26:25 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:25.611523 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.203334468s) to execute
Oct 23 07:26:25 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:25.892540 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (916.010785ms) to execute
Oct 23 07:26:25 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:25.892721 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (1.179725046s) to execute
Oct 23 07:26:25 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:25.892904 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (972.825217ms) to execute
Oct 23 07:26:25 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:25.892993 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (416.355682ms) to execute
Oct 23 07:26:25 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:25.893126 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (975.825312ms) to execute
Oct 23 07:26:25 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:25.893305 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (478.883545ms) to execute
Oct 23 07:26:25 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:25.893399 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (400.099557ms) to execute
Oct 23 07:26:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:28.275100 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kube-proxy-token-6ncqr\" " with result "range_response_count:1 size:2304" took too long (235.985169ms) to execute
Oct 23 07:26:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:28.275132 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (315.774123ms) to execute
Oct 23 07:26:28 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:28.275333 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (366.133903ms) to execute
Oct 23 07:26:31 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:31.738740 W | wal: sync duration of 1.02160461s, expected less than 1s
Oct 23 07:26:31 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:31.739136 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (519.697231ms) to execute
Oct 23 07:26:32 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:32.512180 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (785.486881ms) to execute
Oct 23 07:26:32 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:32.828409 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (533.745993ms) to execute
Oct 23 07:26:32 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:32.828495 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/horizontal-pod-autoscaler\" " with result "range_response_count:1 size:274" took too long (312.869468ms) to execute
Oct 23 07:26:32 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:32.828612 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (905.684936ms) to execute
Oct 23 07:26:32 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:32.829087 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/resourcequota-controller\" " with result "range_response_count:1 size:271" took too long (1.083863641s) to execute
Oct 23 07:26:34 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:34.369830 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (279.558588ms) to execute
Oct 23 07:26:34 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:34.634081 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (167.375695ms) to execute
Oct 23 07:26:41 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:41.375343 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (465.510318ms) to execute
Oct 23 07:26:41 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:41.375642 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (303.457558ms) to execute
Oct 23 07:26:46 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:46.101292 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheuses\" range_end:\"/registry/monitoring.coreos.com/prometheuset\" count_only:true " with result "range_response_count:0 size:9" took too long (341.892506ms) to execute
Oct 23 07:26:49 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:49.639114 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (167.198757ms) to execute
Oct 23 07:26:49 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:26:49.639269 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (221.107452ms) to execute
Oct 23 07:27:11 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:11.989685 W | etcdserver: request "header:<ID:14919139082523417290 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:33625689 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (185.552314ms) to execute
Oct 23 07:27:12 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:12.212050 W | etcdserver: request "header:<ID:14919139082523417291 > lease_revoke:<id:4f0b6df358749a63>" with result "size:29" took too long (116.710434ms) to execute
Oct 23 07:27:14 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:14.047190 W | etcdserver: request "header:<ID:14919139082523417316 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:33625694 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (133.103909ms) to execute
Oct 23 07:27:16 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:16.045765 W | etcdserver: request "header:<ID:14919139082523417326 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:33625702 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (160.720861ms) to execute
Oct 23 07:27:22 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:22.256980 W | etcdserver: request "header:<ID:14919139082523417368 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:33625713 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (250.508976ms) to execute
Oct 23 07:27:24 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:24.174608 W | etcdserver: request "header:<ID:14919139082523417411 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:33625717 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (110.494251ms) to execute
Oct 23 07:27:44 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:44.049769 I | mvcc: store.index: compact 33624134
Oct 23 07:27:44 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:44.057288 I | mvcc: finished scheduled compaction at 33624134 (took 4.775206ms)
Oct 23 07:27:44 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:44.341990 W | etcdserver: request "header:<ID:14919139082523417539 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:33625757 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (132.039784ms) to execute
Oct 23 07:27:46 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:46.877204 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.216360526s) to execute
Oct 23 07:27:46 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:46.877284 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (996.509539ms) to execute
Oct 23 07:27:46 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:27:46.877428 W | etcdserver: request "header:<ID:14919139082523417547 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" mod_revision:33625761 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" value_size:6088 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" > >>" with result "size:20" took too long (778.817289ms) to execute
Oct 23 07:28:04 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:28:04.645202 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (120.609681ms) to execute
Oct 23 07:28:19 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:28:19.222070 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (163.414897ms) to execute
Oct 23 07:28:19 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:28:19.222181 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (153.697701ms) to execute
Oct 23 07:28:21 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:28:21.444036 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (395.536493ms) to execute
Oct 23 07:28:21 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:28:21.444080 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (450.555438ms) to execute
Oct 23 07:28:21 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:28:21.444578 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (213.321962ms) to execute
Oct 23 07:28:32 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:28:32.526366 W | wal: sync duration of 1.037213226s, expected less than 1s
Oct 23 07:28:32 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:28:32.532343 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (1.038036503s) to execute
Oct 23 07:28:32 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:28:32.534487 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (423.859943ms) to execute
Oct 23 07:28:32 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:28:32.534683 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (214.786379ms) to execute
Oct 23 07:29:15 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:29:15.874201 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (200.077309ms) to execute
Oct 23 07:29:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:29:33.524113 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (729.117451ms) to execute
Oct 23 07:29:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:29:33.562563 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (303.139383ms) to execute
Oct 23 07:29:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:29:33.562604 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (304.173233ms) to execute
Oct 23 07:29:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:29:33.562792 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (727.737119ms) to execute
Oct 23 07:29:33 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:29:33.563155 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (765.897218ms) to execute
Oct 23 07:29:38 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:29:38.588527 W | wal: sync duration of 1.002713932s, expected less than 1s
Oct 23 07:29:38 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:29:38.591586 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (621.542775ms) to execute
Oct 23 07:29:38 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:29:38.591793 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets\" range_end:\"/registry/poddisruptionbudgett\" count_only:true " with result "range_response_count:0 size:7" took too long (201.393311ms) to execute
Oct 23 07:30:05 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:05.260852 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (501.92354ms) to execute
Oct 23 07:30:05 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:05.264633 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (115.687113ms) to execute
Oct 23 07:30:09 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:09.515491 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z4jwq\" " with result "range_response_count:1 size:1735" took too long (544.849024ms) to execute
Oct 23 07:30:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:17.637791 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (363.483431ms) to execute
Oct 23 07:30:17 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:17.641371 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (318.799582ms) to execute
Oct 23 07:30:20 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:20.595050 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (184.406656ms) to execute
Oct 23 07:30:24 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:24.172467 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (489.263832ms) to execute
Oct 23 07:30:24 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:24.175125 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.rbac.authorization.k8s.io\" " with result "range_response_count:1 size:668" took too long (477.107ms) to execute
Oct 23 07:30:24 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:24.175397 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (310.060824ms) to execute
Oct 23 07:30:24 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:24.175710 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (474.303794ms) to execute
Oct 23 07:30:24 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:24.175992 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v2beta1.autoscaling\" " with result "range_response_count:1 size:640" took too long (477.348709ms) to execute
Oct 23 07:30:24 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:24.176262 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (478.128207ms) to execute
Oct 23 07:30:24 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:24.176554 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (478.486008ms) to execute
Oct 23 07:30:25 openhouse-demo-k8s-master-1 etcd[1781]: 2019-10-23 07:30:25.458409 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-z4jwq.15d035d0bd0e1473\" " with result "range_response_count:1 size:558" took too long (519.582477ms) to execute
