-- Logs begin at Thu 2020-01-30 14:51:24 UTC, end at Sat 2020-02-01 10:05:03 UTC. --
Feb 01 09:41:58 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:41:58.579998 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/000000000000073c-00000000037b5c72.wal successfully
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.218224 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (148.984254ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.219452 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-54lsg\" " with result "range_response_count:1 size:1121" took too long (154.556493ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.219718 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (152.219771ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.219906 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (152.516173ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.435978 W | etcdserver: read-only range request "key:\"/registry/secrets/default/gitlab\" " with result "range_response_count:1 size:442" took too long (187.98447ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.436328 W | etcdserver: read-only range request "key:\"/registry/secrets/default/default-token-zvvdz\" " with result "range_response_count:1 size:2261" took too long (188.457183ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.436545 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-fw6n6\" " with result "range_response_count:1 size:1118" took too long (186.819998ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.440928 W | etcdserver: request "header:<ID:14919139277751167323 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:53160046 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (140.679244ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.451882 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-jx7f5\" " with result "range_response_count:1 size:1121" took too long (179.456725ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.482711 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mpxpm\" " with result "range_response_count:1 size:1121" took too long (183.58235ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.658845 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8mjnk\" " with result "range_response_count:1 size:1121" took too long (138.888348ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.659344 W | etcdserver: request "header:<ID:14919139277751167347 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-wkvld.15ef3dfa05754679\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-wkvld.15ef3dfa05754679\" value_size:389 lease:5695767240896388927 >> failure:<>>" with result "size:20" took too long (117.275974ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.673735 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef3dfa14094c57\" " with result "range_response_count:1 size:485" took too long (134.121153ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.701455 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wd9th\" " with result "range_response_count:1 size:1121" took too long (150.520472ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.866531 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-54lsg\" " with result "range_response_count:1 size:1502" took too long (122.456688ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.866758 W | etcdserver: request "header:<ID:14919139277751167365 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-nbpmm\" mod_revision:53160048 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-nbpmm\" value_size:1425 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-nbpmm\" > >>" with result "size:20" took too long (107.457643ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.866887 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-operator\" " with result "range_response_count:1 size:414" took too long (122.299274ms) to execute
Feb 01 09:42:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:42:18.867203 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef3dfa14094c57\" " with result "range_response_count:1 size:485" took too long (121.969037ms) to execute
Feb 01 09:44:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:44:15.902095 I | mvcc: store.index: compact 53158864
Feb 01 09:44:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:44:15.909217 I | mvcc: finished scheduled compaction at 53158864 (took 5.453771ms)
Feb 01 09:44:48 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:44:48.576691 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (257.201217ms) to execute
Feb 01 09:45:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:45:03.844150 W | etcdserver: request "header:<ID:14919139277751168832 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:53160528 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (145.990974ms) to execute
Feb 01 09:45:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:45:03.844707 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15ef3dfa14094c57\" " with result "range_response_count:1 size:485" took too long (146.746757ms) to execute
Feb 01 09:45:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:45:03.850344 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-n9xjz\" " with result "range_response_count:1 size:1121" took too long (142.236167ms) to execute
Feb 01 09:45:03 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:45:03.850524 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-v4f8t\" " with result "range_response_count:1 size:1121" took too long (145.209063ms) to execute
Feb 01 09:45:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:45:44.393035 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (118.733565ms) to execute
Feb 01 09:46:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:46:22.177768 W | etcdserver: request "header:<ID:14919139277751169537 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f-fw6n6.15ef3e2b03610bcc\" mod_revision:0 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f-fw6n6.15ef3e2b03610bcc\" value_size:459 lease:5695767240896393478 >> failure:<>>" with result "size:20" took too long (105.864988ms) to execute
Feb 01 09:46:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:46:22.494784 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-fw6n6.15ef3df292e7d389\" " with result "range_response_count:1 size:465" took too long (163.36525ms) to execute
Feb 01 09:46:22 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:46:22.495027 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (201.9847ms) to execute
Feb 01 09:48:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:48:07.589181 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (374.013416ms) to execute
Feb 01 09:48:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:48:07.589536 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (589.899392ms) to execute
Feb 01 09:48:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:48:40.636085 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (116.34789ms) to execute
Feb 01 09:49:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:49:15.914563 I | mvcc: store.index: compact 53160441
Feb 01 09:49:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:49:15.927438 I | mvcc: finished scheduled compaction at 53160441 (took 9.641645ms)
Feb 01 09:49:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:49:16.388327 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (144.802572ms) to execute
Feb 01 09:51:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:51:34.425092 I | etcdserver: start to snapshot (applied: 58587377, lastsnap: 58577376)
Feb 01 09:51:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:51:34.540329 I | etcdserver: saved snapshot at index 58587377
Feb 01 09:51:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:51:34.540925 I | etcdserver: compacted raft log at 58582377
Feb 01 09:51:57 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:51:57.949018 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/0000000000000017-00000000037d359c.snap successfully
Feb 01 09:53:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:53:16.095507 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (165.775271ms) to execute
Feb 01 09:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:54:15.930792 I | mvcc: store.index: compact 53161110
Feb 01 09:54:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:54:15.935666 I | mvcc: finished scheduled compaction at 53161110 (took 4.000381ms)
Feb 01 09:54:26 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:54:26.384637 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (124.763972ms) to execute
Feb 01 09:55:46 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:55:46.647895 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (100.576909ms) to execute
Feb 01 09:56:59 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:56:59.667016 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (159.098918ms) to execute
Feb 01 09:58:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:58:44.454131 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (717.954074ms) to execute
Feb 01 09:58:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:58:44.454282 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (179.853337ms) to execute
Feb 01 09:59:15 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:59:15.994384 I | mvcc: store.index: compact 53161635
Feb 01 09:59:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 09:59:16.001107 I | mvcc: finished scheduled compaction at 53161635 (took 5.793245ms)
Feb 01 10:00:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:25.987437 W | wal: sync duration of 1.087300873s, expected less than 1s
Feb 01 10:00:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:25.990347 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.050702741s) to execute
Feb 01 10:00:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:25.990458 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1419" took too long (922.954146ms) to execute
Feb 01 10:00:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:25.990634 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (448.380551ms) to execute
Feb 01 10:00:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:28.578263 W | wal: sync duration of 1.082839074s, expected less than 1s
Feb 01 10:00:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:28.581509 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (581.870519ms) to execute
Feb 01 10:00:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:28.581555 W | etcdserver: read-only range request "key:\"/registry/initializerconfigurations\" range_end:\"/registry/initializerconfigurationt\" count_only:true " with result "range_response_count:0 size:7" took too long (612.648551ms) to execute
Feb 01 10:00:28 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:28.581680 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts\" range_end:\"/registry/serviceaccountt\" count_only:true " with result "range_response_count:0 size:9" took too long (291.030644ms) to execute
Feb 01 10:00:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:31.193668 W | wal: sync duration of 1.025183278s, expected less than 1s
Feb 01 10:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:32.347720 W | etcdserver: request "header:<ID:14919139277751176209 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:53162352 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (1.153395933s) to execute
Feb 01 10:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:32.348066 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (2.173818668s) to execute
Feb 01 10:00:32 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:32.500556 W | wal: sync duration of 1.306629318s, expected less than 1s
Feb 01 10:00:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:33.348295 W | etcdserver: request "header:<ID:14919139277751176211 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:53162357 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (846.930725ms) to execute
Feb 01 10:00:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:33.348532 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (2.427162599s) to execute
Feb 01 10:00:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:33.348715 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (2.09417516s) to execute
Feb 01 10:00:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:33.348742 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (2.755466243s) to execute
Feb 01 10:00:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:33.348830 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (2.5202044s) to execute
Feb 01 10:00:33 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:33.348915 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (3.172512111s) to execute
Feb 01 10:00:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:34.104712 W | wal: sync duration of 1.603939669s, expected less than 1s
Feb 01 10:00:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:34.107784 W | etcdserver: failed to revoke 4f0b6e20ccefcb9e ("lease not found")
Feb 01 10:00:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:34.107852 W | etcdserver: failed to revoke 4f0b6e20ccefcb9e ("lease not found")
Feb 01 10:00:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:34.109010 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (1.757288542s) to execute
Feb 01 10:00:34 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:34.109235 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (1.339883257s) to execute
Feb 01 10:00:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:35.106825 W | wal: sync duration of 1.00179302s, expected less than 1s
Feb 01 10:00:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:35.109805 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (1.749662331s) to execute
Feb 01 10:00:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:35.109954 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (1.752576391s) to execute
Feb 01 10:00:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:35.110303 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (1.749578731s) to execute
Feb 01 10:00:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:35.112776 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (836.892546ms) to execute
Feb 01 10:00:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:35.113098 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (261.485957ms) to execute
Feb 01 10:00:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:35.413837 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/metrics-server-v0.3.1\" " with result "range_response_count:0 size:7" took too long (285.636721ms) to execute
Feb 01 10:00:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:35.413878 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (291.0757ms) to execute
Feb 01 10:00:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:35.414099 W | etcdserver: read-only range request "key:\"/registry/deployments/kube-system/coredns\" " with result "range_response_count:1 size:3542" took too long (289.74958ms) to execute
Feb 01 10:00:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:37.792461 W | wal: sync duration of 1.668068631s, expected less than 1s
Feb 01 10:00:37 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:37.796351 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (910.43272ms) to execute
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.076209 W | wal: sync duration of 1.283489619s, expected less than 1s
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.079190 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (205.883057ms) to execute
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.079271 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (932.745721ms) to execute
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.079651 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-968j5\" " with result "range_response_count:1 size:1740" took too long (419.922553ms) to execute
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.079745 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-968j5.15ef3df29041767a\" " with result "range_response_count:1 size:547" took too long (1.275042336s) to execute
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.079946 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (1.94279559s) to execute
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.080321 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (1.983453958s) to execute
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.738351 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (162.751356ms) to execute
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.738397 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers\" range_end:\"/registry/horizontalpodautoscalert\" count_only:true " with result "range_response_count:0 size:9" took too long (387.50511ms) to execute
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.738602 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/kubernetes-dashboard-token-lvfxb\" " with result "range_response_count:1 size:2374" took too long (234.133162ms) to execute
Feb 01 10:00:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:39.738630 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-968j5.15ef3df2a30f938d\" " with result "range_response_count:1 size:465" took too long (616.72502ms) to execute
Feb 01 10:00:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-01 10:00:42.354961 W | wal: sync duration of 1.251502991s, expected less than 1s
