-- Logs begin at Wed 2019-09-25 21:44:06 UTC, end at Fri 2019-09-27 13:23:22 UTC. --
Sep 27 13:01:39 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:01:39.198792 I | mvcc: store.index: compact 30537471
Sep 27 13:03:11 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:03:11.234484 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (321.461145ms) to execute
Sep 27 13:03:11 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:03:11.243892 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (300.8672ms) to execute
Sep 27 13:03:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:03:21.392710 W | etcdserver: request "header:<ID:14919135698845310740 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" mod_revision:30539606 > success:<request_put:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" value_size:383 >> failure:<request_range:<key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" > >>" with result "size:20" took too long (106.158866ms) to execute
Sep 27 13:03:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:03:52.367101 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (104.021746ms) to execute
Sep 27 13:03:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:03:52.377634 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kubernetesenvs\" range_end:\"/registry/config.istio.io/kubernetesenvt\" count_only:true " with result "range_response_count:0 size:7" took too long (105.096724ms) to execute
Sep 27 13:03:57 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:03:57.677050 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (107.360329ms) to execute
Sep 27 13:04:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:00.047504 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-hb46f\" " with result "range_response_count:1 size:2434" took too long (291.073081ms) to execute
Sep 27 13:04:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:00.047668 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (319.465228ms) to execute
Sep 27 13:04:08 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:08.267487 W | etcdserver: request "header:<ID:14919135698845311208 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:30539689 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (120.365502ms) to execute
Sep 27 13:04:09 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:09.558321 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/endpoint-controller\" " with result "range_response_count:1 size:256" took too long (168.92531ms) to execute
Sep 27 13:04:09 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:09.586121 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (110.674024ms) to execute
Sep 27 13:04:09 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:09.586176 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:5961" took too long (129.619132ms) to execute
Sep 27 13:04:09 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:09.586475 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (187.964613ms) to execute
Sep 27 13:04:09 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:09.586673 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-bs4bn\" " with result "range_response_count:1 size:2738" took too long (168.625794ms) to execute
Sep 27 13:04:09 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:09.792513 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (147.157631ms) to execute
Sep 27 13:04:09 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:09.820715 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (161.490438ms) to execute
Sep 27 13:04:11 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:11.389600 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (164.946944ms) to execute
Sep 27 13:04:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:13.168769 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-policy\" " with result "range_response_count:1 size:926" took too long (247.613154ms) to execute
Sep 27 13:04:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:13.168824 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "range_response_count:0 size:9" took too long (103.640072ms) to execute
Sep 27 13:04:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:13.169104 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-6kkqz.15c84d15556d9c59\" " with result "range_response_count:1 size:550" took too long (335.730133ms) to execute
Sep 27 13:04:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:13.758038 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (114.377306ms) to execute
Sep 27 13:04:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:13.758152 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-6lv9g\" " with result "range_response_count:1 size:3075" took too long (108.737254ms) to execute
Sep 27 13:04:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:13.758467 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (108.89153ms) to execute
Sep 27 13:04:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:24.732415 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1154" took too long (356.498703ms) to execute
Sep 27 13:04:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:24.740129 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (358.342322ms) to execute
Sep 27 13:04:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:24.740191 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:5961" took too long (279.35805ms) to execute
Sep 27 13:04:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:24.740462 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-kdc57\" " with result "range_response_count:1 size:2738" took too long (346.120504ms) to execute
Sep 27 13:04:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:24.740652 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (124.60167ms) to execute
Sep 27 13:04:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:26.364105 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (139.932206ms) to execute
Sep 27 13:04:26 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:26.364258 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (205.662999ms) to execute
Sep 27 13:04:27 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:27.573256 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5394" took too long (573.524044ms) to execute
Sep 27 13:04:27 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:27.573349 W | etcdserver: read-only range request "key:\"/registry/horizontalpodautoscalers/default/\" range_end:\"/registry/horizontalpodautoscalers/default0\" limit:500 " with result "range_response_count:1 size:1419" took too long (528.879674ms) to execute
Sep 27 13:04:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:28.255458 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-zcd5r\" " with result "range_response_count:1 size:2314" took too long (233.398671ms) to execute
Sep 27 13:04:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:28.255630 W | etcdserver: read-only range request "key:\"/registry/pods/default/\" range_end:\"/registry/pods/default0\" limit:500 " with result "range_response_count:11 size:44970" took too long (349.653312ms) to execute
Sep 27 13:04:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:28.256176 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (318.417023ms) to execute
Sep 27 13:04:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:31.989965 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (152.831709ms) to execute
Sep 27 13:04:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:31.990048 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-78996\" " with result "range_response_count:1 size:4030" took too long (359.154264ms) to execute
Sep 27 13:04:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:32.755317 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5394" took too long (158.773745ms) to execute
Sep 27 13:04:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:32.755437 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (482.382068ms) to execute
Sep 27 13:04:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:32.755624 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (239.190075ms) to execute
Sep 27 13:04:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:42.567906 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (269.008511ms) to execute
Sep 27 13:04:51 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:51.195548 W | etcdserver: request "header:<ID:14919135698845311834 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:30539897 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (116.34108ms) to execute
Sep 27 13:04:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:04:56.970465 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5394" took too long (100.390421ms) to execute
Sep 27 13:05:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:01.368858 W | etcdserver: request "header:<ID:14919135698845311944 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:30539910 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (311.096214ms) to execute
Sep 27 13:05:01 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:01.369444 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-vvzvx\" " with result "range_response_count:1 size:4261" took too long (310.616761ms) to execute
Sep 27 13:05:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:02.071905 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (502.276118ms) to execute
Sep 27 13:05:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:02.072013 W | etcdserver: request "header:<ID:14919135698845311955 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:30539917 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5180 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (470.507343ms) to execute
Sep 27 13:05:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:02.072437 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/redisquotas\" range_end:\"/registry/config.istio.io/redisquotat\" count_only:true " with result "range_response_count:0 size:7" took too long (421.409633ms) to execute
Sep 27 13:05:02 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:02.072531 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/statsds\" range_end:\"/registry/config.istio.io/statsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (385.268135ms) to execute
Sep 27 13:05:10 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:10.191310 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (127.313277ms) to execute
Sep 27 13:05:11 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:11.628415 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (123.813899ms) to execute
Sep 27 13:05:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:12.299919 W | etcdserver: request "header:<ID:14919135698845312064 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:30539951 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5180 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (158.785894ms) to execute
Sep 27 13:05:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:12.300071 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (101.394283ms) to execute
Sep 27 13:05:22 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:22.595743 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (252.311149ms) to execute
Sep 27 13:05:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:24.117241 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (156.908864ms) to execute
Sep 27 13:05:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:24.117506 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:5908" took too long (163.731565ms) to execute
Sep 27 13:05:24 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:24.117887 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (157.650955ms) to execute
Sep 27 13:05:30 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:30.915142 W | etcdserver: read-only range request "key:\"/registry/statefulsets\" range_end:\"/registry/statefulsett\" count_only:true " with result "range_response_count:0 size:9" took too long (200.713438ms) to execute
Sep 27 13:05:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:31.400814 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-rh6zm.15c84d153fac4ae9\" " with result "range_response_count:1 size:547" took too long (110.447303ms) to execute
Sep 27 13:05:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:31.401174 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (286.726656ms) to execute
Sep 27 13:05:31 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:31.401458 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rh6zm\" " with result "range_response_count:1 size:4026" took too long (116.760363ms) to execute
Sep 27 13:05:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:32.755634 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-rh6zm\" " with result "range_response_count:1 size:4249" took too long (407.245053ms) to execute
Sep 27 13:05:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:32.756256 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5394" took too long (156.814854ms) to execute
Sep 27 13:05:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:32.756362 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (117.92977ms) to execute
Sep 27 13:05:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:33.901274 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (645.790766ms) to execute
Sep 27 13:05:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:33.901465 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (484.256928ms) to execute
Sep 27 13:05:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:33.901635 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (339.122165ms) to execute
Sep 27 13:05:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:33.901904 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4376" took too long (714.874552ms) to execute
Sep 27 13:05:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:33.901951 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:6 size:13606" took too long (1.037909997s) to execute
Sep 27 13:05:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:34.313187 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (199.688526ms) to execute
Sep 27 13:05:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:46.935210 I | etcdserver: start to snapshot (applied: 33734234, lastsnap: 33724233)
Sep 27 13:05:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:46.980978 I | etcdserver: saved snapshot at index 33734234
Sep 27 13:05:46 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:46.982101 I | etcdserver: compacted raft log at 33729234
Sep 27 13:05:51 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:51.762137 W | etcdserver: request "header:<ID:14919135698845312522 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:30540045 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:7976 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (231.661858ms) to execute
Sep 27 13:05:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:52.522838 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (723.78087ms) to execute
Sep 27 13:05:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:52.522955 W | etcdserver: request "header:<ID:14919135698845312524 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:30540047 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4301 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (653.092262ms) to execute
Sep 27 13:05:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:52.523126 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (370.518747ms) to execute
Sep 27 13:05:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:52.523280 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (516.066413ms) to execute
Sep 27 13:05:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:52.523321 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (180.835169ms) to execute
Sep 27 13:05:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:53.522504 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-cvvpw\" " with result "range_response_count:1 size:2448" took too long (225.088852ms) to execute
Sep 27 13:05:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:53.523281 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (566.066365ms) to execute
Sep 27 13:05:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:53.523332 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (545.361741ms) to execute
Sep 27 13:05:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 13:05:53.523462 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-cvvpw\" " with result "range_response_count:1 size:2448" took too long (351.787215ms) to execute
