-- Logs begin at Wed 2019-09-25 21:44:06 UTC, end at Fri 2019-09-27 16:38:11 UTC. --
Sep 27 16:16:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:16:41.470212 I | mvcc: store.index: compact 30573261
Sep 27 16:21:32 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:21:32.789491 W | etcdserver: read-only range request "key:\"/registry/cronjobs\" range_end:\"/registry/cronjobt\" count_only:true " with result "range_response_count:0 size:7" took too long (540.404189ms) to execute
Sep 27 16:21:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:21:41.542356 I | mvcc: store.index: compact 30574886
Sep 27 16:21:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:21:41.554168 I | mvcc: finished scheduled compaction at 30574886 (took 7.774713ms)
Sep 27 16:22:04 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:22:04.157675 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (267.595545ms) to execute
Sep 27 16:24:15 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:24:15.227617 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (207.752118ms) to execute
Sep 27 16:26:13 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:26:13.079412 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-mxpnv.15c8581d9b15ed1a\" " with result "range_response_count:1 size:591" took too long (193.296868ms) to execute
Sep 27 16:26:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:26:41.633667 I | mvcc: store.index: compact 30575725
Sep 27 16:26:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:26:41.640425 I | mvcc: finished scheduled compaction at 30575725 (took 4.638657ms)
Sep 27 16:29:22 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:29:22.201986 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (179.359957ms) to execute
Sep 27 16:30:30 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:30:30.051856 I | etcdserver: start to snapshot (applied: 33774239, lastsnap: 33764238)
Sep 27 16:30:30 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:30:30.169939 I | etcdserver: saved snapshot at index 33774239
Sep 27 16:30:30 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:30:30.170418 I | etcdserver: compacted raft log at 33769239
Sep 27 16:30:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:30:33.031040 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (252.747822ms) to execute
Sep 27 16:30:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:30:33.035893 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-swqq5\" " with result "range_response_count:1 size:1854" took too long (169.611985ms) to execute
Sep 27 16:30:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:30:33.036282 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:255" took too long (211.136472ms) to execute
Sep 27 16:30:33 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:30:33.036677 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:1456" took too long (211.629693ms) to execute
Sep 27 16:30:42 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:30:42.239603 I | pkg/fileutil: purged file /var/lib/etcd/member/snap/000000000000000b-0000000002029749.snap successfully
Sep 27 16:30:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:30:53.323323 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-cvvpw\" " with result "range_response_count:1 size:2448" took too long (165.826075ms) to execute
Sep 27 16:30:53 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:30:53.323457 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (179.897521ms) to execute
Sep 27 16:31:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:31:41.702574 I | mvcc: store.index: compact 30576607
Sep 27 16:31:41 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:31:41.710572 I | mvcc: finished scheduled compaction at 30576607 (took 6.237216ms)
Sep 27 16:32:25 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:32:25.678944 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-mxpnv\" " with result "range_response_count:1 size:1735" took too long (118.499652ms) to execute
Sep 27 16:33:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:33:48.248497 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.storage.k8s.io\" " with result "range_response_count:1 size:649" took too long (300.750988ms) to execute
Sep 27 16:33:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:33:48.248536 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authorization.k8s.io\" " with result "range_response_count:1 size:653" took too long (300.398697ms) to execute
Sep 27 16:33:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:33:48.248811 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.authentication.k8s.io\" " with result "range_response_count:1 size:670" took too long (300.601881ms) to execute
Sep 27 16:33:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:33:48.249081 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (302.576049ms) to execute
Sep 27 16:33:48 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:33:48.249274 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.apps\" " with result "range_response_count:1 size:605" took too long (301.435043ms) to execute
Sep 27 16:34:00 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:34:00.790176 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (150.59735ms) to execute
Sep 27 16:34:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:34:12.688459 W | etcdserver: request "header:<ID:14919135698845457131 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" mod_revision:30577973 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" value_size:4301 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" > >>" with result "size:20" took too long (324.708634ms) to execute
Sep 27 16:34:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:34:12.772745 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (325.625674ms) to execute
Sep 27 16:34:12 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:34:12.808788 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (351.4885ms) to execute
Sep 27 16:34:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:34:59.363694 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (222.629817ms) to execute
Sep 27 16:34:59 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:34:59.363847 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (194.024441ms) to execute
Sep 27 16:35:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:35:52.740489 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (112.769715ms) to execute
Sep 27 16:36:16 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:36:16.059451 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (422.317807ms) to execute
Sep 27 16:36:16 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:36:16.059662 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (368.088175ms) to execute
Sep 27 16:36:16 openhouse-demo-k8s-master-1 etcd[1548]: 2019-09-27 16:36:16.060230 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (214.824932ms) to execute
