-- Logs begin at Tue 2019-12-17 17:51:17 UTC, end at Thu 2019-12-19 06:16:42 UTC. --
Dec 19 05:54:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 05:54:32.832338 I | etcdserver: start to snapshot (applied: 49576099, lastsnap: 49566098)
Dec 19 06:03:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:03:42.929991 W | etcdserver: request "header:<ID:14919139277707246010 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/backend-844b95fc6f.15e1b08357b904e6\" mod_revision:44975499 > success:<request_put:<key:\"/registry/events/default/backend-844b95fc6f.15e1b08357b904e6\" value_size:386 lease:5695767240852470172 >> failure:<request_range:<key:\"/registry/events/default/backend-844b95fc6f.15e1b08357b904e6\" > >>" with result "size:20" took too long (119.627847ms) to execute
Dec 19 06:03:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:03:42.930786 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-xdf5c\" " with result "range_response_count:1 size:2946" took too long (119.221632ms) to execute
Dec 19 06:03:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:03:42.962525 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (102.600883ms) to execute
Dec 19 06:03:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:03:42.962772 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-wdnmk\" " with result "range_response_count:1 size:2943" took too long (111.629445ms) to execute
Dec 19 06:03:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:03:42.963529 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-qhzwm\" " with result "range_response_count:1 size:2946" took too long (145.117421ms) to execute
Dec 19 06:03:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:03:43.164660 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-dg4lr\" " with result "range_response_count:1 size:2314" took too long (111.377005ms) to execute
Dec 19 06:03:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:03:43.164758 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-hhggc\" " with result "range_response_count:1 size:2943" took too long (119.154599ms) to execute
Dec 19 06:03:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:03:43.165155 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (110.612652ms) to execute
Dec 19 06:05:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:05:48.212520 I | mvcc: store.index: compact 44975142
Dec 19 06:05:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:05:48.220972 I | mvcc: finished scheduled compaction at 44975142 (took 6.964672ms)
Dec 19 06:06:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:06:43.051511 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1b08357b904e6\" " with result "range_response_count:1 size:485" took too long (153.770324ms) to execute
Dec 19 06:06:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:06:43.094984 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-j5x4r\" " with result "range_response_count:1 size:2946" took too long (137.823678ms) to execute
Dec 19 06:06:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:06:43.292838 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (191.084801ms) to execute
Dec 19 06:06:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:06:43.293041 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4430" took too long (167.111463ms) to execute
Dec 19 06:06:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:06:43.293180 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-prh8l\" " with result "range_response_count:1 size:2946" took too long (188.762479ms) to execute
Dec 19 06:06:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:06:43.293389 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f.15e1b08357b904e6\" " with result "range_response_count:1 size:485" took too long (190.885791ms) to execute
Dec 19 06:06:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:06:43.293474 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/disruption-controller\" " with result "range_response_count:1 size:262" took too long (164.0223ms) to execute
Dec 19 06:06:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:06:43.293739 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-gwf48\" " with result "range_response_count:1 size:2946" took too long (137.481929ms) to execute
Dec 19 06:06:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:06:43.294099 W | etcdserver: request "header:<ID:14919139277707248095 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/default/backend-844b95fc6f-6bt76\" mod_revision:44975982 > success:<request_put:<key:\"/registry/pods/default/backend-844b95fc6f-6bt76\" value_size:3503 >> failure:<request_range:<key:\"/registry/pods/default/backend-844b95fc6f-6bt76\" > >>" with result "size:20" took too long (102.444687ms) to execute
Dec 19 06:10:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:10:48.223684 I | mvcc: store.index: compact 44975854
Dec 19 06:10:48 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:10:48.230165 I | mvcc: finished scheduled compaction at 44975854 (took 5.070941ms)
Dec 19 06:11:43 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:11:43.373444 W | etcdserver: request "header:<ID:14919139277707251456 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:44976796 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (118.074416ms) to execute
Dec 19 06:13:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:13:17.644386 N | compactor: Starting auto-compaction at revision 44895325
Dec 19 06:13:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-19 06:13:17.644817 N | compactor: Finished auto-compaction at revision 44895325
