-- Logs begin at Tue 2019-10-29 00:05:09 UTC, end at Fri 2019-11-01 17:36:12 UTC. --
Nov 01 17:14:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:14:45.362803 I | etcdserver: start to snapshot (applied: 39154848, lastsnap: 39144847)
Nov 01 17:16:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:16:35.757319 W | etcdserver: read-only range request "key:\"/registry/deployments/default/\" range_end:\"/registry/deployments/default0\" limit:500 " with result "range_response_count:1 size:1897" took too long (499.162289ms) to execute
Nov 01 17:16:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:16:35.757427 W | etcdserver: request "header:<ID:14919139277657491161 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:35462323 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (201.695863ms) to execute
Nov 01 17:16:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:16:35.757565 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (489.557685ms) to execute
Nov 01 17:16:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:16:35.757776 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-t4gsx.15d3194d2403e675\" " with result "range_response_count:1 size:589" took too long (398.944456ms) to execute
Nov 01 17:16:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:16:35.793366 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-7r66q\" " with result "range_response_count:1 size:1501" took too long (213.039694ms) to execute
Nov 01 17:19:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:19:14.810494 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-4bmcm\" " with result "range_response_count:1 size:1743" took too long (1.486870865s) to execute
Nov 01 17:19:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:19:14.811035 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.430015037s) to execute
Nov 01 17:19:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:19:14.811089 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:9" took too long (780.233005ms) to execute
Nov 01 17:19:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:19:14.811472 W | etcdserver: request "header:<ID:14919139277657492748 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:35462857 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (556.083503ms) to execute
Nov 01 17:19:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:19:14.811775 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (303.288592ms) to execute
Nov 01 17:19:14 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:19:14.811815 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (153.680164ms) to execute
Nov 01 17:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:09.180872 W | etcdserver: read-only range request "key:\"/registry/controllers\" range_end:\"/registry/controllert\" count_only:true " with result "range_response_count:0 size:7" took too long (407.199299ms) to execute
Nov 01 17:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:09.181002 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/prometheusrules\" range_end:\"/registry/monitoring.coreos.com/prometheusrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (181.639987ms) to execute
Nov 01 17:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:09.181206 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (202.680537ms) to execute
Nov 01 17:20:09 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:09.181338 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (112.855226ms) to execute
Nov 01 17:20:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:10.905621 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/servicemonitors\" range_end:\"/registry/monitoring.coreos.com/servicemonitort\" count_only:true " with result "range_response_count:0 size:9" took too long (428.466195ms) to execute
Nov 01 17:20:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:10.905944 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (577.295825ms) to execute
Nov 01 17:20:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:10.906228 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:2101" took too long (426.678518ms) to execute
Nov 01 17:20:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:10.906521 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:256" took too long (429.246512ms) to execute
Nov 01 17:20:10 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:10.906829 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (578.275288ms) to execute
Nov 01 17:20:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:17.070618 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (461.85934ms) to execute
Nov 01 17:20:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:17.624365 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (391.193755ms) to execute
Nov 01 17:20:22 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:22.114183 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (230.202973ms) to execute
Nov 01 17:20:27 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:27.953618 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (164.044089ms) to execute
Nov 01 17:20:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:28.309493 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/metrics-server\" " with result "range_response_count:1 size:603" took too long (342.665584ms) to execute
Nov 01 17:20:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:33.592836 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (303.354845ms) to execute
Nov 01 17:20:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:33.593143 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (212.690859ms) to execute
Nov 01 17:20:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:37.151663 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (148.318091ms) to execute
Nov 01 17:20:37 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:37.206411 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (123.682976ms) to execute
Nov 01 17:20:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:39.428741 W | etcdserver: read-only range request "key:\"/registry/replicasets\" range_end:\"/registry/replicasett\" count_only:true " with result "range_response_count:0 size:9" took too long (483.444839ms) to execute
Nov 01 17:20:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:39.835186 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (108.585947ms) to execute
Nov 01 17:20:45 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:45.941636 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (294.691839ms) to execute
Nov 01 17:20:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:58.197387 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (189.408056ms) to execute
Nov 01 17:20:58 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:20:58.267561 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (247.55402ms) to execute
Nov 01 17:21:06 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:06.836175 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (533.551959ms) to execute
Nov 01 17:21:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:07.518847 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (1.204160424s) to execute
Nov 01 17:21:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:07.522887 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (201.654824ms) to execute
Nov 01 17:21:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:13.640593 W | etcdserver: read-only range request "key:\"/registry/minions/\" range_end:\"/registry/minions0\" " with result "range_response_count:6 size:34725" took too long (122.978273ms) to execute
Nov 01 17:21:13 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:13.644553 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (103.524567ms) to execute
Nov 01 17:21:15 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:15.758247 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (103.403093ms) to execute
Nov 01 17:21:16 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:16.522501 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (126.969952ms) to execute
Nov 01 17:21:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:17.789530 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-h6wwp.15d3199ab8c7d399\" " with result "range_response_count:1 size:591" took too long (852.316001ms) to execute
Nov 01 17:21:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:17.790446 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (372.387867ms) to execute
Nov 01 17:21:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:17.790806 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (549.606896ms) to execute
Nov 01 17:21:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:17.947623 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:1 size:1295" took too long (146.759829ms) to execute
Nov 01 17:21:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:17.948057 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/pod-garbage-collector\" " with result "range_response_count:1 size:262" took too long (151.624647ms) to execute
Nov 01 17:21:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:24.667804 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (247.63994ms) to execute
Nov 01 17:21:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:24.667919 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (247.674957ms) to execute
Nov 01 17:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:28.163317 W | wal: sync duration of 1.302059697s, expected less than 1s
Nov 01 17:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:28.166603 W | etcdserver: failed to revoke 4f0b6e20c75a5121 ("lease not found")
Nov 01 17:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:28.166703 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (911.899485ms) to execute
Nov 01 17:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:28.166926 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h6wwp\" " with result "range_response_count:1 size:1623" took too long (906.351099ms) to execute
Nov 01 17:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:28.167266 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (294.707108ms) to execute
Nov 01 17:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:28.167334 W | etcdserver: read-only range request "key:\"/registry/validatingwebhookconfigurations\" range_end:\"/registry/validatingwebhookconfigurationt\" count_only:true " with result "range_response_count:0 size:9" took too long (210.499236ms) to execute
Nov 01 17:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:28.167438 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (325.161738ms) to execute
Nov 01 17:21:28 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:28.167839 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (209.293574ms) to execute
Nov 01 17:21:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:29.125094 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/cronjob-controller\" " with result "range_response_count:1 size:253" took too long (951.15467ms) to execute
Nov 01 17:21:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:29.407104 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-h6wwp\" " with result "range_response_count:1 size:1846" took too long (1.06676187s) to execute
Nov 01 17:21:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:29.407137 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (296.683837ms) to execute
Nov 01 17:21:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:29.407201 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (787.766286ms) to execute
Nov 01 17:21:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:29.411039 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-h6wwp.15d319522ae2f1e4\" " with result "range_response_count:1 size:561" took too long (276.813678ms) to execute
Nov 01 17:21:29 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:29.411373 W | etcdserver: read-only range request "key:\"/registry/jobs/\" range_end:\"/registry/jobs0\" " with result "range_response_count:1 size:1295" took too long (276.301987ms) to execute
Nov 01 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:34.666339 W | wal: sync duration of 1.343964991s, expected less than 1s
Nov 01 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:34.675881 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (730.409764ms) to execute
Nov 01 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:34.676412 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (1.010095881s) to execute
Nov 01 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:34.676755 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (1.296278647s) to execute
Nov 01 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:34.677093 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (403.08595ms) to execute
Nov 01 17:21:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:34.677387 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (479.986107ms) to execute
Nov 01 17:21:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:35.120511 I | mvcc: store.index: compact 35462373
Nov 01 17:21:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:35.133724 I | mvcc: finished scheduled compaction at 35462373 (took 10.839677ms)
Nov 01 17:21:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:35.703943 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (436.5267ms) to execute
Nov 01 17:21:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:35.704034 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-prometheus-token-bcwsw\" " with result "range_response_count:1 size:2448" took too long (305.625821ms) to execute
Nov 01 17:21:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:35.704340 W | etcdserver: request "header:<ID:14919139277657494020 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:35463230 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5896 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (263.352551ms) to execute
Nov 01 17:21:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:35.975079 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (262.319639ms) to execute
Nov 01 17:21:35 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:35.975236 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/prometheus-operator-prometheus\" " with result "range_response_count:1 size:422" took too long (262.392226ms) to execute
Nov 01 17:21:36 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:36.270988 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (169.525948ms) to execute
Nov 01 17:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:39.816417 W | wal: sync duration of 1.110390386s, expected less than 1s
Nov 01 17:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:39.822095 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (1.030500383s) to execute
Nov 01 17:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:39.897303 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (423.325555ms) to execute
Nov 01 17:21:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:39.897390 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (390.915436ms) to execute
Nov 01 17:21:47 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:47.459904 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (512.014255ms) to execute
Nov 01 17:21:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:50.046714 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (185.701393ms) to execute
Nov 01 17:21:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:50.062396 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (151.984569ms) to execute
Nov 01 17:21:50 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 17:21:50.062647 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (152.241056ms) to execute
