-- Logs begin at Fri 2019-11-01 16:26:07 UTC, end at Mon 2019-11-04 07:16:40 UTC. --
Nov 04 06:54:42 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 06:54:42.211301 I | wal: segmented wal file /var/lib/etcd/member/wal/0000000000000511-00000000025f02c4.wal is created
Nov 04 07:03:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:03:03.777630 W | etcdserver: read-only range request "key:\"/registry/storageclasses\" range_end:\"/registry/storageclasset\" count_only:true " with result "range_response_count:0 size:9" took too long (194.651605ms) to execute
Nov 04 07:03:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:03:03.778033 W | etcdserver: read-only range request "key:\"/registry/rbac.istio.io/servicerolebindings\" range_end:\"/registry/rbac.istio.io/servicerolebindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (100.678167ms) to execute
Nov 04 07:03:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:03:03.778187 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (397.519083ms) to execute
Nov 04 07:03:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:03:03.778466 W | etcdserver: read-only range request "key:\"/registry/events\" range_end:\"/registry/eventt\" count_only:true " with result "range_response_count:0 size:10" took too long (535.054569ms) to execute
Nov 04 07:03:34 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:03:33.998777 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (108.740333ms) to execute
Nov 04 07:03:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:03:53.384766 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (121.173549ms) to execute
Nov 04 07:03:53 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:03:53.384987 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (149.030381ms) to execute
Nov 04 07:04:17 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:04:17.380383 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (161.582805ms) to execute
Nov 04 07:07:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:07:33.076122 I | mvcc: store.index: compact 36040932
Nov 04 07:07:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:07:33.085158 I | mvcc: finished scheduled compaction at 36040932 (took 6.933584ms)
Nov 04 07:12:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:12:33.090408 I | mvcc: store.index: compact 36041615
Nov 04 07:12:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:12:33.097841 I | mvcc: finished scheduled compaction at 36041615 (took 5.924432ms)
Nov 04 07:12:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:12:33.599605 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (218.134679ms) to execute
Nov 04 07:12:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:12:33.599672 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (364.913261ms) to execute
Nov 04 07:12:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:12:33.600046 W | etcdserver: read-only range request "key:\"/registry/clusterroles\" range_end:\"/registry/clusterrolet\" count_only:true " with result "range_response_count:0 size:9" took too long (272.930071ms) to execute
Nov 04 07:12:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-04 07:12:33.600557 W | etcdserver: request "header:<ID:14919139277659902171 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-master-1\" mod_revision:36042260 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" value_size:4682 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-master-1\" > >>" with result "size:20" took too long (206.745907ms) to execute
