-- Logs begin at Wed 2019-12-18 19:54:41 UTC, end at Fri 2019-12-20 08:27:39 UTC. --
Dec 20 08:06:04 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:06:04.785321 I | etcdserver: start to snapshot (applied: 49866129, lastsnap: 49856128)
Dec 20 08:09:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:09:32.864493 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-z2pqx\" " with result "range_response_count:1 size:1118" took too long (185.834208ms) to execute
Dec 20 08:09:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:09:32.865347 W | etcdserver: read-only range request "key:\"/registry/replicasets/default/backend-844b95fc6f\" " with result "range_response_count:1 size:1065" took too long (182.116582ms) to execute
Dec 20 08:09:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:09:32.865402 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (163.36529ms) to execute
Dec 20 08:09:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:09:32.865555 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-stj5d\" " with result "range_response_count:1 size:1121" took too long (179.787042ms) to execute
Dec 20 08:09:46 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:09:46.277833 W | etcdserver: request "header:<ID:14919139277708288648 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:45244091 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (117.247206ms) to execute
Dec 20 08:10:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:10:01.969520 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (106.237906ms) to execute
Dec 20 08:10:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:10:32.639226 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-nr5qs\" " with result "range_response_count:1 size:1121" took too long (113.57412ms) to execute
Dec 20 08:10:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:10:32.639323 W | etcdserver: request "header:<ID:14919139277708289048 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/default/backend-844b95fc6f\" mod_revision:45244193 > success:<request_put:<key:\"/registry/replicasets/default/backend-844b95fc6f\" value_size:988 >> failure:<request_range:<key:\"/registry/replicasets/default/backend-844b95fc6f\" > >>" with result "size:20" took too long (112.370653ms) to execute
Dec 20 08:10:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:10:32.656681 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-8cp8c\" " with result "range_response_count:1 size:1121" took too long (123.517973ms) to execute
Dec 20 08:10:32 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:10:32.682142 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-zfvv7\" " with result "range_response_count:1 size:1121" took too long (133.220217ms) to execute
Dec 20 08:11:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:11:07.549272 I | mvcc: store.index: compact 45243475
Dec 20 08:11:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:11:07.563307 I | mvcc: finished scheduled compaction at 45243475 (took 11.890257ms)
Dec 20 08:11:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:11:07.961488 W | etcdserver: read-only range request "key:\"/registry/monitoring.coreos.com/podmonitors\" range_end:\"/registry/monitoring.coreos.com/podmonitort\" count_only:true " with result "range_response_count:0 size:7" took too long (322.380079ms) to execute
Dec 20 08:11:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:11:54.551227 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.apps\" " with result "range_response_count:1 size:605" took too long (225.86662ms) to execute
Dec 20 08:11:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:11:54.559550 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.\" " with result "range_response_count:1 size:581" took too long (234.10961ms) to execute
Dec 20 08:11:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:11:54.559627 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (234.229032ms) to execute
Dec 20 08:11:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:11:54.559660 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta2.apps\" " with result "range_response_count:1 size:619" took too long (234.262796ms) to execute
Dec 20 08:11:54 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:11:54.559748 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (234.221708ms) to execute
Dec 20 08:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:13:19.707571 N | compactor: Starting auto-compaction at revision 45153924
Dec 20 08:13:19 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:13:19.708065 N | compactor: Finished auto-compaction at revision 45153924
Dec 20 08:16:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:16:07.591001 I | mvcc: store.index: compact 45244306
Dec 20 08:16:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:16:07.597546 I | mvcc: finished scheduled compaction at 45244306 (took 4.086182ms)
Dec 20 08:16:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:16:07.923189 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (181.032555ms) to execute
Dec 20 08:18:01 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:18:01.201345 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (143.561642ms) to execute
Dec 20 08:21:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:21:07.604246 I | mvcc: store.index: compact 45244822
Dec 20 08:21:07 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:21:07.609786 I | mvcc: finished scheduled compaction at 45244822 (took 4.324819ms)
Dec 20 08:24:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:24:33.715489 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:206" took too long (139.614533ms) to execute
Dec 20 08:24:33 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:24:33.715667 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (190.963719ms) to execute
Dec 20 08:25:08 openhouse-demo-k8s-master-1 etcd[6343]: 2019-12-20 08:25:08.822871 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (250.18107ms) to execute
