-- Logs begin at Mon 2019-10-07 09:29:53 UTC, end at Thu 2019-10-10 08:53:21 UTC. --
Oct 10 08:32:18 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:32:18.729477 N | compactor: Starting auto-compaction at revision 32009669
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.651954 W | etcdserver: request "header:<ID:14919138748426606835 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-srdc2.15cc3c0e9ac910b4\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-srdc2.15cc3c0e9ac910b4\" value_size:444 lease:5695766711571830888 >> failure:<>>" with result "size:20" took too long (144.243651ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.652221 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-gkzdm\" " with result "range_response_count:1 size:2738" took too long (122.722222ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.652716 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:676" took too long (156.72367ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.908536 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-sr7zl\" " with result "range_response_count:1 size:2738" took too long (243.862057ms) to execute
Oct 10 08:33:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:23.911539 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (240.917304ms) to execute
Oct 10 08:33:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:38.329258 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (101.538937ms) to execute
Oct 10 08:33:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:38.571374 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (164.016563ms) to execute
Oct 10 08:33:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:38.571487 W | etcdserver: request "header:<ID:14919138748426607056 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-ingressgateway\" mod_revision:32071061 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" value_size:6101 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-ingressgateway\" > >>" with result "size:20" took too long (136.461512ms) to execute
Oct 10 08:33:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:38.571962 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1151" took too long (165.262018ms) to execute
Oct 10 08:33:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:38.585972 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (162.10489ms) to execute
Oct 10 08:33:38 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:33:38.586331 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-ingressgateway-746bdcc7c5\" " with result "range_response_count:1 size:2742" took too long (161.948674ms) to execute
Oct 10 08:34:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:16.496819 W | wal: sync duration of 1.023494559s, expected less than 1s
Oct 10 08:34:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:16.499918 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha2.config.istio.io\" " with result "range_response_count:1 size:659" took too long (599.98078ms) to execute
Oct 10 08:34:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:16.500264 W | etcdserver: read-only range request "key:\"/registry/limitranges\" range_end:\"/registry/limitranget\" count_only:true " with result "range_response_count:0 size:7" took too long (816.771741ms) to execute
Oct 10 08:34:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:16.500483 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha1.authentication.istio.io\" " with result "range_response_count:1 size:683" took too long (599.1438ms) to execute
Oct 10 08:34:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:16.500783 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.coordination.k8s.io\" " with result "range_response_count:1 size:664" took too long (600.379075ms) to execute
Oct 10 08:34:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:16.501005 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (952.585587ms) to execute
Oct 10 08:34:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:16.501212 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.autoscaling\" " with result "range_response_count:1 size:626" took too long (600.471395ms) to execute
Oct 10 08:34:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:16.501442 W | etcdserver: read-only range request "key:\"/registry/namespaces\" range_end:\"/registry/namespacet\" count_only:true " with result "range_response_count:0 size:9" took too long (255.637593ms) to execute
Oct 10 08:34:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:16.501705 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.batch\" " with result "range_response_count:1 size:622" took too long (598.412418ms) to execute
Oct 10 08:34:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:23.781289 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (169.811385ms) to execute
Oct 10 08:34:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:23.781342 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-zzbj9\" " with result "range_response_count:1 size:2314" took too long (111.425505ms) to execute
Oct 10 08:34:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:32.063042 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-operator-token-t4dst\" " with result "range_response_count:1 size:2434" took too long (220.172637ms) to execute
Oct 10 08:34:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:32.063136 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (164.049377ms) to execute
Oct 10 08:34:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:32.063249 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (281.788901ms) to execute
Oct 10 08:34:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:32.063330 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (320.960395ms) to execute
Oct 10 08:34:33 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:33.394123 W | wal: sync duration of 1.133944475s, expected less than 1s
Oct 10 08:34:33 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:33.401499 W | etcdserver: read-only range request "key:\"/registry/jobs\" range_end:\"/registry/jobt\" count_only:true " with result "range_response_count:0 size:9" took too long (985.858667ms) to execute
Oct 10 08:34:33 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:33.401577 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (795.749017ms) to execute
Oct 10 08:34:33 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:33.401857 W | etcdserver: read-only range request "key:\"/registry/certificatesigningrequests\" range_end:\"/registry/certificatesigningrequestt\" count_only:true " with result "range_response_count:0 size:7" took too long (714.243252ms) to execute
Oct 10 08:34:33 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:33.401877 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (668.103699ms) to execute
Oct 10 08:34:33 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:33.402131 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (825.149806ms) to execute
Oct 10 08:34:33 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:33.402793 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/destinationrules\" range_end:\"/registry/networking.istio.io/destinationrulet\" count_only:true " with result "range_response_count:0 size:9" took too long (308.548588ms) to execute
Oct 10 08:34:33 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:33.402917 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (760.92429ms) to execute
Oct 10 08:34:40 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:40.157581 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (270.609853ms) to execute
Oct 10 08:34:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:43.536250 W | wal: sync duration of 1.262308226s, expected less than 1s
Oct 10 08:34:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:43.539133 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (932.621815ms) to execute
Oct 10 08:34:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:43.539358 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (934.155831ms) to execute
Oct 10 08:34:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:43.539726 W | etcdserver: read-only range request "key:\"/registry/services/endpoints\" range_end:\"/registry/services/endpointt\" count_only:true " with result "range_response_count:0 size:9" took too long (781.688264ms) to execute
Oct 10 08:34:43 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:43.539955 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6063" took too long (371.706095ms) to execute
Oct 10 08:34:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:45.867132 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices\" range_end:\"/registry/apiregistration.k8s.io/apiservicet\" count_only:true " with result "range_response_count:0 size:9" took too long (166.613289ms) to execute
Oct 10 08:34:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:45.867419 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (318.357709ms) to execute
Oct 10 08:34:45 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:45.867434 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (311.927384ms) to execute
Oct 10 08:34:48 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:48.672468 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/prometheus-operator-kube-state-metrics-token-52n8d\" " with result "range_response_count:1 size:2504" took too long (323.104191ms) to execute
Oct 10 08:34:56 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:56.567007 W | etcdserver: read-only range request "key:\"/registry/podsecuritypolicy\" range_end:\"/registry/podsecuritypolicz\" count_only:true " with result "range_response_count:0 size:9" took too long (248.915169ms) to execute
Oct 10 08:34:56 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:56.567229 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" " with result "range_response_count:1 size:5971" took too long (119.46446ms) to execute
Oct 10 08:34:56 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:34:56.567330 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (201.80596ms) to execute
Oct 10 08:35:03 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:03.076449 I | wal: segmented wal file /var/lib/etcd/member/wal/000000000000047e-00000000021c9e9a.wal is created
Oct 10 08:35:10 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:10.157319 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (112.803308ms) to execute
Oct 10 08:35:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:12.188016 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-pw47h\" " with result "range_response_count:1 size:4265" took too long (191.311777ms) to execute
Oct 10 08:35:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:12.862349 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (256.185164ms) to execute
Oct 10 08:35:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:12.862705 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/kuberneteses\" range_end:\"/registry/config.istio.io/kuberneteset\" count_only:true " with result "range_response_count:0 size:9" took too long (540.49484ms) to execute
Oct 10 08:35:12 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:12.862943 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:8051" took too long (256.7958ms) to execute
Oct 10 08:35:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:16.076615 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.batch\" " with result "range_response_count:1 size:608" took too long (173.922677ms) to execute
Oct 10 08:35:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:16.076658 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1alpha3.networking.istio.io\" " with result "range_response_count:1 size:671" took too long (174.613681ms) to execute
Oct 10 08:35:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:16.076690 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.metrics.k8s.io\" " with result "range_response_count:1 size:1284" took too long (169.671073ms) to execute
Oct 10 08:35:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:16.076764 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1beta1.extensions\" " with result "range_response_count:1 size:637" took too long (173.343941ms) to execute
Oct 10 08:35:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:16.076782 W | etcdserver: read-only range request "key:\"/registry/resourcequotas\" range_end:\"/registry/resourcequotat\" count_only:true " with result "range_response_count:0 size:7" took too long (221.753165ms) to execute
Oct 10 08:35:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:16.076840 W | etcdserver: read-only range request "key:\"/registry/apiregistration.k8s.io/apiservices/v1.authentication.k8s.io\" " with result "range_response_count:1 size:656" took too long (174.636255ms) to execute
Oct 10 08:35:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:16.076919 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/stdios\" range_end:\"/registry/config.istio.io/stdiot\" count_only:true " with result "range_response_count:0 size:7" took too long (172.845787ms) to execute
Oct 10 08:35:16 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:16.336359 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (117.301389ms) to execute
Oct 10 08:35:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:23.005492 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (454.459084ms) to execute
Oct 10 08:35:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:23.012642 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (406.159503ms) to execute
Oct 10 08:35:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:23.295324 I | pkg/fileutil: purged file /var/lib/etcd/member/wal/0000000000000479-00000000021a7023.wal successfully
Oct 10 08:35:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:23.948362 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2blsl\" " with result "range_response_count:1 size:4140" took too long (215.150532ms) to execute
Oct 10 08:35:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:23.948618 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (280.228966ms) to execute
Oct 10 08:35:23 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:23.949204 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (120.842229ms) to execute
Oct 10 08:35:24 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:24.147168 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:6063" took too long (108.053754ms) to execute
Oct 10 08:35:25 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:25.958952 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-1\" " with result "range_response_count:1 size:5252" took too long (152.408123ms) to execute
Oct 10 08:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:32.850969 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-3\" " with result "range_response_count:1 size:4478" took too long (117.477335ms) to execute
Oct 10 08:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:32.851008 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/replicaset-controller-token-6xc9z\" " with result "range_response_count:1 size:2381" took too long (248.92698ms) to execute
Oct 10 08:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:32.851101 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (248.794882ms) to execute
Oct 10 08:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:32.851197 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/resourcequota-controller-token-zjj84\" " with result "range_response_count:1 size:2402" took too long (118.600253ms) to execute
Oct 10 08:35:32 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:32.851799 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/dns-autoscaler\" " with result "range_response_count:1 size:285" took too long (246.521397ms) to execute
Oct 10 08:35:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:34.603529 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/default-token-mfkvl\" " with result "range_response_count:1 size:2293" took too long (165.750691ms) to execute
Oct 10 08:35:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:34.603887 W | etcdserver: read-only range request "key:\"/registry/clusterrolebindings\" range_end:\"/registry/clusterrolebindingt\" count_only:true " with result "range_response_count:0 size:9" took too long (294.412543ms) to execute
Oct 10 08:35:34 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:34.604075 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (175.741447ms) to execute
Oct 10 08:35:48 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:48.832510 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (164.682809ms) to execute
Oct 10 08:35:48 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:48.832762 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (432.898743ms) to execute
Oct 10 08:35:51 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:51.668601 W | etcdserver: read-only range request "key:\"/registry/daemonsets\" range_end:\"/registry/daemonsett\" count_only:true " with result "range_response_count:0 size:9" took too long (202.851318ms) to execute
Oct 10 08:35:52 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:35:52.085891 W | etcdserver: read-only range request "key:\"/registry/pods/default/backend-844b95fc6f-2blsl\" " with result "range_response_count:1 size:4136" took too long (126.952327ms) to execute
Oct 10 08:36:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:22.944651 W | etcdserver: read-only range request "key:\"/registry/minions\" range_end:\"/registry/miniont\" count_only:true " with result "range_response_count:0 size:9" took too long (201.746293ms) to execute
Oct 10 08:36:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:22.944717 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/gateways\" range_end:\"/registry/networking.istio.io/gatewayt\" count_only:true " with result "range_response_count:0 size:9" took too long (251.053306ms) to execute
Oct 10 08:36:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:22.944812 W | etcdserver: read-only range request "key:\"/registry/volumeattachments\" range_end:\"/registry/volumeattachmentt\" count_only:true " with result "range_response_count:0 size:7" took too long (108.108633ms) to execute
Oct 10 08:36:22 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:22.944920 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/dns-autoscaler-token-8n5tq\" " with result "range_response_count:1 size:2332" took too long (338.789102ms) to execute
Oct 10 08:36:24 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:24.744021 W | etcdserver: read-only range request "key:\"/registry/deployments/default/backend\" " with result "range_response_count:1 size:1897" took too long (523.230164ms) to execute
Oct 10 08:36:24 openhouse-demo-k8s-master-1 etcd[1491]: 2019-10-10 08:36:24.749584 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4755" took too long (116.941052ms) to execute
