-- Logs begin at Fri 2020-01-31 15:46:29 UTC, end at Sun 2020-02-02 04:01:22 UTC. --
Feb 02 03:38:17 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:17.248325 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-sidecar-injector-8946597f4-6br4h.15ef78a806a059df\" " with result "range_response_count:1 size:647" took too long (171.455512ms) to execute
Feb 02 03:38:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:21.023811 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (156.794875ms) to execute
Feb 02 03:38:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:21.023854 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (155.711046ms) to execute
Feb 02 03:38:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:21.023877 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (182.836648ms) to execute
Feb 02 03:38:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:21.023920 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (165.656271ms) to execute
Feb 02 03:38:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:21.023959 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (161.712264ms) to execute
Feb 02 03:38:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:21.023991 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (177.117663ms) to execute
Feb 02 03:38:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:21.024064 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (156.726149ms) to execute
Feb 02 03:38:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:21.024111 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (157.219786ms) to execute
Feb 02 03:38:21 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:21.024222 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (157.280107ms) to execute
Feb 02 03:38:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:25.054616 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges/\" range_end:\"/registry/config.istio.io/edges0\" limit:500 " with result "range_response_count:0 size:7" took too long (103.323848ms) to execute
Feb 02 03:38:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:25.056395 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/edges\" range_end:\"/registry/config.istio.io/edget\" count_only:true " with result "range_response_count:0 size:7" took too long (104.083498ms) to execute
Feb 02 03:38:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:25.266111 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/\" range_end:\"/registry/configmaps/kube-system0\" " with result "range_response_count:27 size:856418" took too long (126.812581ms) to execute
Feb 02 03:38:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:25.266564 W | etcdserver: request "header:<ID:14919139277751879164 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-policy.15ef78b32a8da93d\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-policy.15ef78b32a8da93d\" value_size:473 lease:5695767240897101332 >> failure:<>>" with result "size:20" took too long (112.339135ms) to execute
Feb 02 03:38:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:25.266778 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-telemetry\" " with result "range_response_count:1 size:6148" took too long (108.368345ms) to execute
Feb 02 03:38:25 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:25.267067 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (125.005435ms) to execute
Feb 02 03:38:29 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:29.476998 W | etcdserver: read-only range request "key:\"/registry/configmaps/kube-system/\" range_end:\"/registry/configmaps/kube-system0\" " with result "range_response_count:27 size:856418" took too long (101.406612ms) to execute
Feb 02 03:38:36 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:38:36.169234 W | etcdserver: request "header:<ID:14919139277751879665 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/networking.istio.io/virtualservices/default/backend\" mod_revision:0 > success:<request_put:<key:\"/registry/networking.istio.io/virtualservices/default/backend\" value_size:1149 >> failure:<>>" with result "size:20" took too long (117.928646ms) to execute
Feb 02 03:39:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:39:30.546767 I | mvcc: store.index: compact 53340577
Feb 02 03:39:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:39:30.552739 I | mvcc: finished scheduled compaction at 53340577 (took 4.198344ms)
Feb 02 03:40:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:40:13.608155 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "range_response_count:1 size:4240" took too long (442.609003ms) to execute
Feb 02 03:40:13 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:40:13.623915 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (284.421399ms) to execute
Feb 02 03:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:41:10.436482 W | etcdserver: request "header:<ID:14919139277751881769 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-prqnp\" mod_revision:53342402 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-prqnp\" value_size:2644 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-prqnp\" > >>" with result "size:20" took too long (153.209689ms) to execute
Feb 02 03:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:41:10.437157 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/endpoint-controller-token-lfmgk\" " with result "range_response_count:1 size:2367" took too long (157.77552ms) to execute
Feb 02 03:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:41:10.458534 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "range_response_count:1 size:4181" took too long (143.032796ms) to execute
Feb 02 03:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:41:10.459982 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-policy\" " with result "range_response_count:1 size:5955" took too long (151.716541ms) to execute
Feb 02 03:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:41:10.460124 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (179.241538ms) to execute
Feb 02 03:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:41:10.689034 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (143.923777ms) to execute
Feb 02 03:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:41:10.689135 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-6lz4j\" " with result "range_response_count:1 size:2738" took too long (128.521976ms) to execute
Feb 02 03:41:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:41:10.689235 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-pilot\" " with result "range_response_count:1 size:5928" took too long (146.868843ms) to execute
Feb 02 03:44:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:44:30.560334 I | mvcc: store.index: compact 53342174
Feb 02 03:44:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:44:30.567800 I | mvcc: finished scheduled compaction at 53342174 (took 6.321542ms)
Feb 02 03:44:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:44:31.947077 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.13196829s) to execute
Feb 02 03:44:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:44:31.947195 W | etcdserver: request "header:<ID:14919139277751883859 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" mod_revision:53342796 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" value_size:4105 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" > >>" with result "size:20" took too long (1.037169734s) to execute
Feb 02 03:44:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:44:31.986028 W | wal: sync duration of 1.076141526s, expected less than 1s
Feb 02 03:44:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:44:31.986565 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/bypasses\" range_end:\"/registry/config.istio.io/bypasset\" count_only:true " with result "range_response_count:0 size:7" took too long (1.012382666s) to execute
Feb 02 03:44:31 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:44:31.987564 W | etcdserver: failed to revoke 4f0b6e20ccfa97ae ("lease not found")
Feb 02 03:46:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:10.681086 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:994" took too long (193.944148ms) to execute
Feb 02 03:46:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:10.681657 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (193.034335ms) to execute
Feb 02 03:46:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:10.681929 W | etcdserver: request "header:<ID:14919139277751884929 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-xkhss.15ef791f845a598c\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-xkhss.15ef791f845a598c\" value_size:444 lease:5695767240897109057 >> failure:<>>" with result "size:20" took too long (152.863578ms) to execute
Feb 02 03:46:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:10.696210 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6199" took too long (183.661999ms) to execute
Feb 02 03:46:10 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:10.700868 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-xkhss\" " with result "range_response_count:1 size:2738" took too long (154.373947ms) to execute
Feb 02 03:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:16.943859 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (521.39698ms) to execute
Feb 02 03:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:16.950964 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (244.235708ms) to execute
Feb 02 03:46:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:16.951405 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (198.513016ms) to execute
Feb 02 03:46:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:27.192673 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (183.029765ms) to execute
Feb 02 03:46:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:27.192804 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/kubernetes\" " with result "range_response_count:1 size:211" took too long (223.602936ms) to execute
Feb 02 03:46:27 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:46:27.192922 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (184.201235ms) to execute
Feb 02 03:47:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:47:09.876312 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-master-1\" " with result "range_response_count:1 size:4756" took too long (201.196813ms) to execute
Feb 02 03:47:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:47:09.876344 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (446.770298ms) to execute
Feb 02 03:47:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:47:09.876525 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (466.121359ms) to execute
Feb 02 03:47:09 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:47:09.876835 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/cloudwatches\" range_end:\"/registry/config.istio.io/cloudwatchet\" count_only:true " with result "range_response_count:0 size:7" took too long (487.705324ms) to execute
Feb 02 03:48:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:48:07.678942 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (289.516068ms) to execute
Feb 02 03:48:07 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:48:07.679177 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotas\" range_end:\"/registry/config.istio.io/quotat\" count_only:true " with result "range_response_count:0 size:7" took too long (133.432178ms) to execute
Feb 02 03:48:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:48:47.943133 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.565919201s) to execute
Feb 02 03:48:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:48:47.943299 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (765.33559ms) to execute
Feb 02 03:48:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:48:47.943438 W | etcdserver: request "header:<ID:14919139277751886665 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-1\" mod_revision:53343373 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" value_size:5025 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-1\" > >>" with result "size:20" took too long (453.963921ms) to execute
Feb 02 03:48:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:48:47.943490 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/dogstatsds\" range_end:\"/registry/config.istio.io/dogstatsdt\" count_only:true " with result "range_response_count:0 size:7" took too long (1.207268144s) to execute
Feb 02 03:48:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:48:47.943761 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-b8fgh\" " with result "range_response_count:1 size:2314" took too long (198.697591ms) to execute
Feb 02 03:48:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:48:47.944066 W | etcdserver: read-only range request "key:\"/registry/namespaces/default\" " with result "range_response_count:1 size:205" took too long (188.041921ms) to execute
Feb 02 03:48:47 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:48:47.944581 W | etcdserver: read-only range request "key:\"/registry/persistentvolumes\" range_end:\"/registry/persistentvolumet\" count_only:true " with result "range_response_count:0 size:7" took too long (1.134299613s) to execute
Feb 02 03:49:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:18.559404 W | etcdserver: read-only range request "key:\"/registry/roles\" range_end:\"/registry/rolet\" count_only:true " with result "range_response_count:0 size:9" took too long (149.029627ms) to execute
Feb 02 03:49:18 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:18.559533 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (471.184369ms) to execute
Feb 02 03:49:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:30.571571 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "error:context canceled" took too long (9.999813672s) to execute
Feb 02 03:49:30 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:30.577397 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "error:context canceled" took too long (10.005649282s) to execute
Feb 02 03:49:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:35.133296 W | etcdserver: timed out waiting for read index response
Feb 02 03:49:35 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:35.133535 W | etcdserver: read-only range request "key:\"/registry/deployments\" range_end:\"/registry/deploymentt\" count_only:true " with result "error:etcdserver: request timed out" took too long (15.000427268s) to execute
Feb 02 03:49:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:38.400062 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:38 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:38.900405 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:39.400646 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:39 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:39.900736 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:40.401088 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:40 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:40.901287 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:41.401654 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:41 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:41.901807 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:42.402165 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:42.902390 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:43.002969 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-4\" " with result "error:context canceled" took too long (9.999892664s) to execute
Feb 02 03:49:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:43.117161 W | etcdserver: read-only range request "key:\"/registry/minions/openhouse-demo-k8s-node-nf-2\" " with result "error:context canceled" took too long (10.004059667s) to execute
Feb 02 03:49:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:43.402787 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:43 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:43.902889 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:44.403188 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
Feb 02 03:49:44 openhouse-demo-k8s-master-1 etcd[6343]: 2020-02-02 03:49:44.903579 W | etcdserver: failed to revoke 4f0b6e20ccfaa432 ("etcdserver: request timed out")
