-- Logs begin at Sat 2019-10-26 21:27:07 UTC, end at Fri 2019-11-01 02:56:59 UTC. --
Nov 01 02:36:20 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:36:20.341583 W | etcdserver: request "header:<ID:14919139277656908105 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n48p4\" mod_revision:35305590 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n48p4\" value_size:3034 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-n48p4\" > >>" with result "size:20" took too long (133.009075ms) to execute
Nov 01 02:46:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:46:24.721225 I | mvcc: finished scheduled compaction at 35309888 (took 10.201716ms)
Nov 01 02:51:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:51:24.726271 I | mvcc: store.index: compact 35310484
Nov 01 02:51:24 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:51:24.734952 I | mvcc: finished scheduled compaction at 35310484 (took 6.007201ms)
Nov 01 02:51:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:51:39.422600 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6185" took too long (103.055572ms) to execute
Nov 01 02:51:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:51:39.657105 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" " with result "range_response_count:1 size:771" took too long (141.250102ms) to execute
Nov 01 02:51:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:51:39.657968 W | etcdserver: request "header:<ID:14919139277656917965 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/istio-system/istio-pilot\" mod_revision:35311228 > success:<request_put:<key:\"/registry/deployments/istio-system/istio-pilot\" value_size:5867 >> failure:<request_range:<key:\"/registry/deployments/istio-system/istio-pilot\" > >>" with result "size:20" took too long (133.334796ms) to execute
Nov 01 02:51:39 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:51:39.673217 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-r54xf\" " with result "range_response_count:1 size:2634" took too long (108.711755ms) to execute
Nov 01 02:52:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:52:49.413163 W | wal: sync duration of 1.339415477s, expected less than 1s
Nov 01 02:52:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:52:49.415779 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/prometheus-token-dzvpq\" " with result "range_response_count:1 size:2314" took too long (265.050699ms) to execute
Nov 01 02:52:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:52:49.415859 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (222.758562ms) to execute
Nov 01 02:52:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:52:49.415898 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/horizontal-pod-autoscaler-token-5nhfp\" " with result "range_response_count:1 size:2409" took too long (501.537665ms) to execute
Nov 01 02:52:49 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:52:49.416038 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (967.017975ms) to execute
Nov 01 02:53:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:53:03.844381 W | etcdserver: read-only range request "key:\"/registry/controllerrevisions\" range_end:\"/registry/controllerrevisiont\" count_only:true " with result "range_response_count:0 size:9" took too long (314.51681ms) to execute
Nov 01 02:53:03 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:53:03.844585 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (354.088026ms) to execute
Nov 01 02:54:25 openhouse-demo-k8s-master-1 etcd[6343]: 2019-11-01 02:54:25.732511 W | etcdserver: read-only range request "key:\"/registry/secrets/istio-system/istio-galley-service-account-token-nzvwt\" " with result "range_response_count:1 size:2440" took too long (149.550342ms) to execute
