-- Logs begin at Wed 2020-01-29 14:05:40 UTC, end at Fri 2020-01-31 14:35:19 UTC. --
Jan 31 14:13:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:13:50.341751 I | mvcc: store.index: compact 52965619
Jan 31 14:23:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:01.424838 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/deniers\" range_end:\"/registry/config.istio.io/deniert\" count_only:true " with result "range_response_count:0 size:7" took too long (521.057665ms) to execute
Jan 31 14:23:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:01.425166 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (762.240228ms) to execute
Jan 31 14:23:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:01.425438 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6186" took too long (309.008427ms) to execute
Jan 31 14:23:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:01.425798 W | etcdserver: read-only range request "key:\"/registry/events/default/backend-844b95fc6f-jr4p6.15eefe6c4730fb03\" " with result "range_response_count:1 size:590" took too long (332.11889ms) to execute
Jan 31 14:23:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:01.426206 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:459" took too long (1.205255106s) to execute
Jan 31 14:23:01 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:01.426443 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/generic-garbage-collector-token-j8g64\" " with result "range_response_count:1 size:2409" took too long (1.096554504s) to execute
Jan 31 14:23:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:50.369742 I | mvcc: store.index: compact 52966937
Jan 31 14:23:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:23:50.379833 I | mvcc: finished scheduled compaction at 52966937 (took 8.938983ms)
Jan 31 14:24:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:24:16.733517 N | compactor: Starting auto-compaction at revision 52927800
Jan 31 14:24:16 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:24:16.733829 N | compactor: Finished auto-compaction at revision 52927800
Jan 31 14:28:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:28:50.383606 I | mvcc: store.index: compact 52967630
Jan 31 14:28:50 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:28:50.391590 I | mvcc: finished scheduled compaction at 52967630 (took 5.425211ms)
Jan 31 14:30:42 openhouse-demo-k8s-master-1 etcd[6343]: 2020-01-31 14:30:42.168469 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/quotaspecbindings\" range_end:\"/registry/config.istio.io/quotaspecbindingt\" count_only:true " with result "range_response_count:0 size:7" took too long (124.058024ms) to execute
