-- Logs begin at Sun 2019-09-29 19:03:45 UTC, end at Tue 2019-10-01 16:50:50 UTC. --
Oct 01 16:29:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:29:20.791169 W | etcdserver: request "header:<ID:14919135698848950829 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:31245519 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (121.232943ms) to execute
Oct 01 16:33:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:33:21.156106 W | etcdserver: request "header:<ID:14919135698848953463 > lease_revoke:<id:4f0b6adf85bdb3e9>" with result "size:29" took too long (1.268371464s) to execute
Oct 01 16:33:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:33:21.156783 W | etcdserver: failed to revoke 4f0b6adf85bdb3e9 ("lease not found")
Oct 01 16:33:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:33:21.156920 W | etcdserver: failed to revoke 4f0b6adf85bdb3e9 ("lease not found")
Oct 01 16:33:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:33:21.157109 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (762.762384ms) to execute
Oct 01 16:33:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:33:21.186922 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/cronjob-controller-token-gdz7c\" " with result "range_response_count:1 size:2360" took too long (476.729015ms) to execute
Oct 01 16:33:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:33:21.187464 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (223.040464ms) to execute
Oct 01 16:33:21 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:33:21.187664 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/envoyfilters\" range_end:\"/registry/networking.istio.io/envoyfiltert\" count_only:true " with result "range_response_count:0 size:7" took too long (445.349701ms) to execute
Oct 01 16:35:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:35:52.333780 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/metrics-server-token-25hqp\" " with result "range_response_count:1 size:2332" took too long (396.302958ms) to execute
Oct 01 16:35:52 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:35:52.334199 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (382.003489ms) to execute
Oct 01 16:36:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:36:19.386493 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (112.325811ms) to execute
Oct 01 16:38:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:38:19.769302 I | mvcc: store.index: compact 31246110
Oct 01 16:38:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:38:19.777425 I | mvcc: finished scheduled compaction at 31246110 (took 6.470606ms)
Oct 01 16:38:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:38:20.355602 W | etcdserver: read-only range request "key:\"/registry/networking.istio.io/gateways\" range_end:\"/registry/networking.istio.io/gatewayt\" count_only:true " with result "range_response_count:0 size:9" took too long (235.798553ms) to execute
Oct 01 16:38:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:38:34.521585 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-pilot\" " with result "range_response_count:1 size:536" took too long (126.115116ms) to execute
Oct 01 16:38:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:38:34.521762 W | etcdserver: request "header:<ID:14919135698848957066 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" mod_revision:31246704 > success:<request_put:<key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" value_size:687 >> failure:<request_range:<key:\"/registry/poddisruptionbudgets/istio-system/istio-pilot\" > >>" with result "size:20" took too long (124.923652ms) to execute
Oct 01 16:38:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:38:34.748483 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-pilot-759bbfd844\" " with result "range_response_count:1 size:2549" took too long (144.860971ms) to execute
Oct 01 16:38:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:38:34.748662 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-pilot-759bbfd844-8sjpt\" " with result "range_response_count:1 size:2634" took too long (126.192112ms) to execute
Oct 01 16:38:34 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:38:34.748771 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (108.510081ms) to execute
Oct 01 16:41:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:41:56.587038 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (479.257059ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.308671 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/default/backend\" " with result "range_response_count:1 size:3092" took too long (149.591583ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.341135 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/replicaset-controller\" " with result "range_response_count:1 size:262" took too long (181.282769ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.341174 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (181.596607ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.341408 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-cleanup-secrets-1.1.5-wbnc7\" " with result "range_response_count:1 size:2160" took too long (180.353347ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.539747 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (167.106104ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.540073 W | etcdserver: request "header:<ID:14919135698848959357 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/deployments/default/backend\" mod_revision:31247370 > success:<request_put:<key:\"/registry/deployments/default/backend\" value_size:1831 >> failure:<request_range:<key:\"/registry/deployments/default/backend\" > >>" with result "size:20" took too long (128.85938ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.540110 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/deployment-controller\" " with result "range_response_count:1 size:262" took too long (168.383251ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.555106 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-grafana-post-install-1.1.5-6kj69\" " with result "range_response_count:1 size:2115" took too long (155.4573ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.555160 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (155.176474ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.809120 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (178.097091ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.809221 W | etcdserver: request "header:<ID:14919135698848959378 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-vch9r\" mod_revision:31245946 > success:<request_put:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-vch9r\" value_size:3023 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-ingressgateway-746bdcc7c5-vch9r\" > >>" with result "size:20" took too long (163.824843ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.829146 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1313" took too long (190.448272ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.855832 W | etcdserver: read-only range request "key:\"/registry/events/istio-system/istio-ingressgateway-746bdcc7c5-wx577.15c993260d00449b\" " with result "range_response_count:1 size:657" took too long (188.683457ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.855999 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-scheduler\" " with result "range_response_count:1 size:458" took too long (208.475942ms) to execute
Oct 01 16:42:06 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:06.857447 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-system\" " with result "range_response_count:1 size:180" took too long (132.157235ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.055634 W | etcdserver: read-only range request "key:\"/registry/namespaces/kube-public\" " with result "range_response_count:1 size:180" took too long (187.940346ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.055710 W | etcdserver: read-only range request "key:\"/registry/deployments/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:6199" took too long (179.916426ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.056000 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-init-crd-10-nckkn\" " with result "range_response_count:1 size:1694" took too long (187.047375ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.056155 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:1313" took too long (187.4132ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.056236 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (156.809011ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.333152 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-security-post-install-1.1.5-pssns\" " with result "range_response_count:1 size:2127" took too long (194.015908ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.333373 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-ingressgateway\" " with result "range_response_count:1 size:900" took too long (195.442536ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.591275 W | etcdserver: request "header:<ID:14919135698848959427 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/replicasets/istio-system/istio-tracing-77885fdf8d\" mod_revision:31246747 > success:<request_put:<key:\"/registry/replicasets/istio-system/istio-tracing-77885fdf8d\" value_size:1543 >> failure:<request_range:<key:\"/registry/replicasets/istio-system/istio-tracing-77885fdf8d\" > >>" with result "size:20" took too long (156.685963ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.842060 W | etcdserver: read-only range request "key:\"/registry/serviceaccounts/kube-system/daemon-set-controller\" " with result "range_response_count:1 size:262" took too long (147.943618ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.876152 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/daemon-set-controller-token-xnrf6\" " with result "range_response_count:1 size:2381" took too long (180.335227ms) to execute
Oct 01 16:42:07 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:42:07.876511 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (144.982817ms) to execute
Oct 01 16:43:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:43:19.874683 I | mvcc: store.index: compact 31246859
Oct 01 16:43:19 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:43:19.882968 I | mvcc: finished scheduled compaction at 31246859 (took 6.002363ms)
Oct 01 16:43:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:43:20.226209 W | etcdserver: read-only range request "key:\"/registry/persistentvolumeclaims\" range_end:\"/registry/persistentvolumeclaimt\" count_only:true " with result "range_response_count:0 size:7" took too long (287.11917ms) to execute
Oct 01 16:43:20 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:43:20.226324 W | etcdserver: read-only range request "key:\"/registry/config.istio.io/listentries\" range_end:\"/registry/config.istio.io/listentriet\" count_only:true " with result "range_response_count:0 size:7" took too long (260.259178ms) to execute
Oct 01 16:43:56 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:43:56.808702 W | etcdserver: request "header:<ID:14919135698848960534 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" mod_revision:31247728 > success:<request_put:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" value_size:5319 >> failure:<request_range:<key:\"/registry/minions/openhouse-demo-k8s-node-nf-1\" > >>" with result "size:20" took too long (330.278307ms) to execute
Oct 01 16:44:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:44:37.005838 W | etcdserver: read-only range request "key:\"/registry/secrets\" range_end:\"/registry/secrett\" count_only:true " with result "range_response_count:0 size:10" took too long (531.154338ms) to execute
Oct 01 16:44:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:44:37.036281 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/pod-garbage-collector-token-2gv9p\" " with result "range_response_count:1 size:2381" took too long (204.12079ms) to execute
Oct 01 16:44:37 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:44:37.036364 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (477.945048ms) to execute
Oct 01 16:46:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:28.458105 W | etcdserver: read-only range request "key:\"/registry/limitranges/default/\" range_end:\"/registry/limitranges/default0\" " with result "range_response_count:0 size:7" took too long (100.492639ms) to execute
Oct 01 16:46:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:28.653504 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/grafana-6585df8c56-mh765\" " with result "range_response_count:1 size:3864" took too long (144.072492ms) to execute
Oct 01 16:46:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:28.903714 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/deployment-controller-token-lsgcf\" " with result "range_response_count:1 size:2381" took too long (187.177496ms) to execute
Oct 01 16:46:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:28.903856 W | etcdserver: request "header:<ID:14919135698848961918 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/istio-system/istio-citadel-57cff9f899.15c993bdda9ecac4\" mod_revision:0 > success:<request_put:<key:\"/registry/events/istio-system/istio-citadel-57cff9f899.15c993bdda9ecac4\" value_size:382 lease:5695763661994186098 >> failure:<>>" with result "size:20" took too long (145.929482ms) to execute
Oct 01 16:46:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:28.922953 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-zrjhz\" " with result "range_response_count:1 size:1779" took too long (175.607865ms) to execute
Oct 01 16:46:28 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:28.923234 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-cleanup-secrets-1.1.5-wbnc7\" " with result "range_response_count:1 size:2270" took too long (177.283106ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.153167 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-citadel-57cff9f899\" " with result "range_response_count:1 size:1639" took too long (164.226201ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.157170 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-ws729\" " with result "range_response_count:1 size:3112" took too long (165.728669ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.157409 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-citadel-57cff9f899-zrjhz\" " with result "range_response_count:1 size:1779" took too long (162.63966ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.157599 W | etcdserver: read-only range request "key:\"/registry/secrets/kube-system/disruption-controller-token-dzc52\" " with result "range_response_count:1 size:2381" took too long (164.707787ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.394477 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-galley\" " with result "range_response_count:1 size:784" took too long (182.966532ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.394704 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-cq45p\" " with result "range_response_count:1 size:2753" took too long (183.209371ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.394851 W | etcdserver: request "header:<ID:14919135698848961954 username:\"etcd-node-openhouse-demo-k8s-master-1\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-985bg\" mod_revision:31248038 > success:<request_put:<key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-985bg\" value_size:2554 >> failure:<request_range:<key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-985bg\" > >>" with result "size:20" took too long (140.189996ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.411757 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (173.240541ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.653171 W | etcdserver: read-only range request "key:\"/registry/poddisruptionbudgets/istio-system/istio-egressgateway\" " with result "range_response_count:1 size:889" took too long (184.665463ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.653268 W | etcdserver: read-only range request "key:\"/registry/replicasets/istio-system/istio-egressgateway-54b4586c76\" " with result "range_response_count:1 size:2624" took too long (183.370383ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.668430 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:477" took too long (137.00625ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.668800 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-galley-56c4cc5dc6-xp6bc\" " with result "range_response_count:1 size:2283" took too long (176.625998ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.669226 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-grafana-post-install-1.1.5-6kj69\" " with result "range_response_count:1 size:2242" took too long (180.048583ms) to execute
Oct 01 16:46:29 openhouse-demo-k8s-master-1 etcd[1548]: 2019-10-01 16:46:29.887339 W | etcdserver: read-only range request "key:\"/registry/pods/istio-system/istio-egressgateway-54b4586c76-cq45p\" " with result "range_response_count:1 size:2753" took too long (158.104337ms) to execute
